0_race_WHITE,1_ADAM15.8751,1_ADIPOR1.51094,1_AK7.122481,1_ALAD.210,1_ALG13.79868,1_ALG6.29929,1_ANKRD33.341405,1_ANO4.121601,1_ARHGEF35.445328,1_BRP44.25874,1_C1orf130.400746,1_C20orf152.140894,1_C21orf45.54069,1_C21orf67.84536,1_C22orf41.644186,1_CBR4.84869,1_CCDC122.160857,1_CCL1.6346,1_CD200R1.131450,1_CDCA5.113130,1_CDKN2AIPNL.91368,1_CHRAC1.54108,1_CUL2.8453,1_DEDD2.162989,1_DHH.50846,1_DHRS12.79758,1_DNAJC11.55735,1_DSE.29940,1_FAM92A3.403315,1_FBXO33.254170,1_GALNT12.79695,1_GDF5.8200,1_GSDMC.56169,1_HIGD2A.192286,1_HNRNPA3.220988,1_HOXA13.3209,1_HTR3E.285242,1_ITPRIPL1.150771,1_KCNJ10.3766,1_KRCC1.51315,1_LCE2B.26239,1_LECT2.3950,1_LMOD1.25802,1_LRRC69.100130742,1_LSM14A.26065,1_MAP4K4.9448,1_MARCH5.54708,1_MCHR2.84539,1_MEAF6.64769,1_MLLT4.4301,1_MMP16.4325,1_MYL6.4637,1_NAPSB.256236,1_NOL9.79707,1_NRM.11270,1_ODZ1.10178,1_OPRD1.4985,1_PDE1B.5153,1_PLCG1.5335,1_PPAT.5471,1_PRKAG2.51422,1_PRKCDBP.112464,1_PSMB9.5698,1_PTBP1.5725,1_PTPN20B.26095,1_RIPPLY2.134701,1_RNF39.80352,1_SNORD17.692086,1_TARP.445347,1_TBC1D5.9779,1_TLR4.7099,1_TOP1MT.116447,1_TPSB2.64499,1_USP1.7398
1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
