gen,0_ABCB6,0_ABCC3,0_ABHD11,0_ACE2,0_ACMSD,0_ACO2,0_ACSM2A,0_ACSM2B,0_ACTG1,0_ACTN4,0_ACVR2B,0_ACY1,0_ACY3,0_ADAL,0_ADAM33,0_ADAMTS9,0_ADAMTSL4,0_ADCY2,0_ADCY9,0_ADM,0_ADRB1,0_AFP,0_AFTPH,0_AGA,0_AGTRAP,0_AHCY,0_AHI1,0_AHR,0_AIFM1,0_AKR1C1,0_AKR1C3,0_AKR1E2,0_ALCAM,0_ALDH1A1,0_ALG13,0_ALG1L2,0_ALG3,0_ALG8,0_ALG9,0_AMACR,0_AMBRA1,0_ANAPC5,0_ANAPC7,0_ANK3,0_ANKRD46,0_ANP32E,0_ANXA4,0_ANXA9,0_AP1G2,0_AP2A1,0_AP4S1,0_APBB3,0_APOBEC3A,0_APOLD1,0_APPL2,0_ARFGEF2,0_ARHGEF35,0_ARHGEF5,0_ARHGEF7,0_ARL10,0_ARL13B,0_ARL3,0_ARL6IP4,0_ARMCX1,0_ARNT,0_ARPC2,0_ARRB1,0_ARSD,0_ATF2,0_ATG3,0_ATP1B3,0_ATP6V1B1,0_ATP7A,0_ATP7B,0_ATXN7L3,0_AUP1,0_AURKB,0_AVL9,0_AXIN2,0_AZI2,0_B2M,0_B3GALNT2,0_B4GALT3,0_BACH1,0_BAX,0_BBC3,0_BBOX1,0_BCKDK,0_BCL2,0_BCL2L14,0_BCO2,0_BDH1,0_BET1L,0_BHMT2,0_BIK,0_BIN1,0_BIRC5,0_BIRC6,0_BLM,0_BMI1,0_BRD3,0_BRPF1,0_BST2,0_BTG3,0_C11orf80,0_C17orf75,0_C1orf162,0_C1orf43,0_C21orf91,0_C2orf69,0_C2orf74,0_C3orf14,0_C3orf38,0_C5orf46,0_C6orf118,0_C6orf132,0_CACNA1H,0_CAP2,0_CASK,0_CASP9,0_CBLC,0_CBR4,0_CCDC114,0_CCDC125,0_CCDC57,0_CCDC77,0_CCDC93,0_CCDC96,0_CCNB2,0_CCNG1,0_CCNG2,0_CCNJL,0_CCPG1,0_CCT8,0_CD2AP,0_CDH23,0_CDK5RAP3,0_CDKN2C,0_CDR2L,0_CDT1,0_CECR2,0_CEMP1,0_CEP68,0_CEP72,0_CFHR1,0_CFL2,0_CGGBP1,0_CHCHD6,0_CHD4,0_CHDH,0_CHIA,0_CHP2,0_CHRD,0_CHST12,0_CIB2,0_CLDN2,0_CLDN8,0_CLEC4D,0_CLK2,0_CLK3,0_CLN5,0_CLRN3,0_CLTCL1,0_CMPK2,0_CNDP2,0_CNN3,0_CNST,0_CNTN2,0_CNTNAP1,0_COBL,0_COMMD3,0_COQ9,0_COX5A,0_COX8A,0_COX8C,0_CP,0_CPE,0_CPNE1,0_CPNE5,0_CREB1,0_CRYAB,0_CRYZ,0_CSDE1,0_CSNK2B,0_CSPG4,0_CTBP1,0_CTBS,0_CTR9,0_CTTNBP2,0_CUEDC1,0_CYB561D2,0_CYB5A,0_CYSLTR2,0_DAAM2,0_DACT2,0_DCAF12L2,0_DCLK3,0_DCTN1,0_DDB1,0_DDB2,0_DDR1,0_DDT,0_DDX11,0_DDX19B,0_DDX23,0_DDX58,0_DDX59,0_DEDD,0_DEPDC1,0_DEPDC1B,0_DERL3,0_DHCR7,0_DHTKD1,0_DKK3,0_DMGDH,0_DMTF1,0_DNAJA2,0_DNAL4,0_DOK4,0_DPM2,0_DPM3,0_DPYSL3,0_DPYSL4,0_DSC2,0_DUSP16,0_DUSP6,0_DUSP7,0_DUSP8,0_DYNC2LI1,0_DZIP3,0_E2F1,0_EDIL3,0_EFCAB2,0_EFNB2,0_EID1,0_EIF2B5,0_EIF3C,0_EIF3CL,0_EIF3E,0_EIF3L,0_EIF4E3,0_EIF4EBP1,0_EIF4H,0_EML2,0_ENGASE,0_ENHO,0_ENOPH1,0_ENPP2,0_ENPP3,0_ENTPD1,0_ENTPD6,0_ENY2,0_EPB41L3,0_EPS8,0_ERCC5,0_ESD,0_ESRRA,0_ESYT1,0_ETHE1,0_EXOC4,0_EXOC6,0_EXOC7,0_EZR,0_F2RL1,0_FABP7,0_FAM104B,0_FAM126A,0_FAM13C,0_FAM156A,0_FAM20A,0_FAM50A,0_FAM98B,0_FAS,0_FAT4,0_FBXL5,0_FBXO28,0_FBXO5,0_FCAR,0_FECH,0_FGD4,0_FGFR4,0_FKBP10,0_FLOT1,0_FLRT3,0_FMO4,0_FOSB,0_FOXK1,0_FXYD2,0_FXYD3,0_FZD8,0_G3BP2,0_G6PD,0_GAB3,0_GABARAPL1,0_GART,0_GAS2L1,0_GBP2,0_GBP5,0_GC,0_GCC2,0_GCDH,0_GCHFR,0_GCLC,0_GCNT3,0_GDI1,0_GEN1,0_GGTLC1,0_GGTLC2,0_GIPC2,0_GJA4,0_GLB1L,0_GLCCI1,0_GLE1,0_GLG1,0_GLI3,0_GLRX5,0_GLS,0_GLT8D2,0_GLUD1,0_GLYAT,0_GMCL1,0_GMDS,0_GNL3L,0_GOLGA4,0_GPATCH1,0_GPC6,0_GPHN,0_GPI,0_GPR137B,0_GPR27,0_GPX3,0_GRAMD1B,0_GRHL1,0_GRK6,0_GRTP1,0_GSK3B,0_GSPT2,0_GSTA4,0_GSTCD,0_GTF2B,0_GTF2H1,0_GTF3C6,0_GTPBP2,0_HBB,0_HBS1L,0_HCCS,0_HCFC2,0_HDAC2,0_HDAC3,0_HDDC3,0_HEBP2,0_HERC2,0_HESX1,0_HEXIM1,0_HFE,0_HLA-DQB1,0_HLA-DRB5,0_HM13,0_HMGCR,0_HNF1A,0_HNF1B,0_HP,0_HPCA,0_HPCAL1,0_HPS3,0_HSD17B14,0_HSD17B3,0_HSDL2,0_HSPA1A,0_HSPA1B,0_HSPA8,0_HTN1,0_HTRA4,0_HUNK,0_IAH1,0_ID1,0_IFNG,0_IL15RA,0_IL18,0_IL18R1,0_ILDR1,0_IMMP1L,0_IMPA1,0_IMPA2,0_ING2,0_INPPL1,0_INTS8,0_IP6K1,0_IPP,0_IRAK1,0_ISL1,0_ITGB3,0_JAKMIP2,0_JMJD1C,0_KALRN,0_KANK1,0_KCNJ15,0_KCNQ5,0_KCTD16,0_KDM6A,0_KHDRBS2,0_KHDRBS3,0_KIAA1755,0_KIF11,0_KIF13B,0_KIF18A,0_KLF5,0_KLHDC10,0_KLHDC4,0_KMO,0_KPTN,0_KRT19,0_KRT7,0_LARP4,0_LARS2,0_LATS2,0_LBP,0_LBR,0_LDB2,0_LDHC,0_LEMD2,0_LENG9,0_LFNG,0_LGI4,0_LHX6,0_LIMA1,0_LNX2,0_LPCAT1,0_LRG1,0_LRIG3,0_LRP5,0_LRRC28,0_LRRC3B,0_LRRC59,0_LRRFIP1,0_LRRN3,0_LUC7L,0_LYSMD3,0_LZTS2,0_MACF1,0_MAEA,0_MANEA,0_MAP2K5,0_MAP2K6,0_MAP3K12,0_MBNL1,0_MCM3,0_MCM9,0_MDH1B,0_MED25,0_METTL7B,0_MEX3D,0_MFSD6,0_MFSD9,0_MGAM,0_MGLL,0_MID1,0_MKS1,0_MPI,0_MPP6,0_MPV17L,0_MPZL1,0_MRI1,0_MRPL3,0_MRPL55,0_MRRF,0_MSH6,0_MSTO1,0_MTCH1,0_MTMR1,0_MTMR11,0_MVP,0_MXI1,0_MYO10,0_MYO19,0_MYO1E,0_MYO7B,0_MYOM2,0_N4BP3,0_NAAA,0_NAPSA,0_NAV2,0_NBN,0_NCSTN,0_NDRG1,0_NDUFA12,0_NDUFA4L2,0_NDUFB4,0_NDUFS6,0_NDUFV3,0_NECAB3,0_NGB,0_NIPAL3,0_NIT1,0_NKIRAS1,0_NKX2-2,0_NKX3-2,0_NLGN1,0_NNT,0_NOL6,0_NOSTRIN,0_NOTCH1,0_NOXO1,0_NPLOC4,0_NRBP1,0_NRP2,0_NT5E,0_NUDT12,0_NUDT15,0_NUP153,0_OBSL1,0_OCRL,0_ODC1,0_ONECUT2,0_OSBP,0_OTP,0_OXNAD1,0_P4HA2,0_P4HA3,0_PABPC1,0_PABPC5,0_PABPN1,0_PADI1,0_PAF1,0_PAK1IP1,0_PAPSS2,0_PARP12,0_PARP6,0_PATL1,0_PCDHB7,0_PCDHGA1,0_PCDHGA12,0_PCDHGB1,0_PCYOX1,0_PCYT2,0_PDCD11,0_PDCD7,0_PDE5A,0_PDE9A,0_PDIA5,0_PDK1,0_PDLIM2,0_PDZK1IP1,0_PEG3,0_PEX6,0_PGAM2,0_PGLYRP2,0_PGRMC2,0_PHLPP1,0_PI16,0_PIN4,0_PIR,0_PIWIL4,0_PLCD1,0_PLCE1,0_PLCG1,0_PLCXD1,0_PLEK2,0_PLEKHA2,0_PLEKHG3,0_PLXDC1,0_PNCK,0_PNPLA2,0_PODNL1,0_POFUT1,0_POLG,0_POLH,0_POLR2E,0_POLR3D,0_POP4,0_POU2F1,0_POU2F2,0_PPIP5K1,0_PPP1R11,0_PPP1R3B,0_PPP2CA,0_PPP2CB,0_PPP2R2A,0_PPP2R2C,0_PPP2R3C,0_PPP3R2,0_PRKCD,0_PRODH,0_PROS1,0_PRPF40A,0_PRR15L,0_PRR16,0_PRRT3,0_PSAP,0_PSMB2,0_PSMC4,0_PSMC6,0_PSMF1,0_PSTK,0_PTEN,0_PTGR1,0_PTHLH,0_PTK2B,0_PTPN12,0_PTPN3,0_PTPRJ,0_PTPRU,0_PYCR1,0_RAB30,0_RAB31,0_RAB5B,0_RAB9B,0_RABGGTA,0_RAD1,0_RAD9A,0_RADIL,0_RALGAPB,0_RANBP1,0_RANBP3L,0_RANGAP1,0_RAPGEF3,0_RASAL1,0_RBBP9,0_RBKS,0_RBM17,0_RBM22,0_RBM42,0_RBM5,0_RBM8A,0_RCBTB2,0_RCC1,0_RCE1,0_REC8,0_RECQL,0_REEP6,0_RELL1,0_REN,0_REP15,0_REPIN1,0_RFC3,0_RGPD6,0_RHPN1,0_RILPL1,0_RNASEL,0_RNF113A,0_RNF13,0_RNF180,0_RNF181,0_RNF19B,0_RNF214,0_RPA4,0_RPL12,0_RPL27A,0_RPL9,0_RPS6,0_RRAGA,0_RRM2B,0_RSBN1,0_RUFY2,0_RUNX1,0_S100A10,0_S100A6,0_SAA4,0_SAE1,0_SAP18,0_SCARB2,0_SCFD2,0_SCGN,0_SCML4,0_SDCCAG8,0_SDHA,0_SDR16C5,0_SEC31A,0_SEC61B,0_SEC62,0_SEC63,0_SELL,0_SERAC1,0_SERPINA1,0_SERPINA3,0_SERPINA6,0_SERPINA7,0_SERPINH1,0_SEZ6L2,0_SFT2D2,0_SFXN1,0_SH2B1,0_SH3D19,0_SHC1,0_SHC2,0_SHMT1,0_SHMT2,0_SIK3,0_SIL1,0_SIRPA,0_SLC16A1,0_SLC1A4,0_SLC1A5,0_SLC23A2,0_SLC25A12,0_SLC25A13,0_SLC25A46,0_SLC30A9,0_SLC3A1,0_SLC41A3,0_SLC43A2,0_SLC46A3,0_SLC47A1,0_SLC7A1,0_SMAD2,0_SMAGP,0_SMC4,0_SNAPIN,0_SNRNP27,0_SNRNP35,0_SNRPA1,0_SNRPC,0_SNRPD3,0_SNX11,0_SNX14,0_SNX21,0_SNX33,0_SNX5,0_SORBS1,0_SORCS1,0_SOS2,0_SPAG5,0_SPARC,0_SPATA18,0_SPHKAP,0_SPNS1,0_SPRY2,0_SPTBN1,0_SRD5A1,0_SREBF2,0_SRP72,0_SRR,0_SSBP2,0_ST3GAL2,0_STAM2,0_STAT3,0_STAU1,0_STC2,0_STK35,0_STK36,0_STOM,0_STRADB,0_STX12,0_STX18,0_STX8,0_SUMO4,0_SUN1,0_SV2C,0_SYTL1,0_TACO1,0_TADA2B,0_TAF1,0_TAF12,0_TAF8,0_TAOK3,0_TBC1D1,0_TBC1D14,0_TBC1D16,0_TBC1D22A,0_TBC1D7,0_TBC1D8B,0_TBCE,0_TCF4,0_TCTN1,0_TDRD3,0_TF,0_TFEC,0_TFRC,0_THBS1,0_THEM4,0_TIAM2,0_TIMM17B,0_TIMM44,0_TIPRL,0_TJP2,0_TLE2,0_TLR3,0_TM2D2,0_TM4SF18,0_TMCO1,0_TMEM109,0_TMEM132E,0_TMEM139,0_TMEM14A,0_TMEM18,0_TMEM59L,0_TMEM70,0_TMEM9B,0_TNFAIP3,0_TNFRSF21,0_TNFRSF6B,0_TNFSF13B,0_TNK2,0_TNPO2,0_TOE1,0_TOP2A,0_TP53BP1,0_TP53I3,0_TPK1,0_TPX2,0_TRAF3IP1,0_TRAM1,0_TRAPPC2,0_TRIM35,0_TRIM44,0_TRIM69,0_TRIOBP,0_TRMT12,0_TRMT5,0_TSHR,0_TSKU,0_TSPAN1,0_TTC32,0_TTC9C,0_TUBB8,0_TWF1,0_TXNDC16,0_TXNDC5,0_TXNRD1,0_UBA5,0_UBA52,0_UBE2F,0_UBE2G2,0_UBE2L3,0_UBE2L6,0_UBQLN4,0_UBTF,0_UBXN11,0_UNC5CL,0_UPK1B,0_UPK3B,0_UROC1,0_USF1,0_USP13,0_USP7,0_UTP6,0_VANGL1,0_VBP1,0_VIPR2,0_VPS18,0_VPS52,0_VPS53,0_WARS2,0_WASL,0_WDFY1,0_WDR47,0_WDR48,0_WDR90,0_WIPI1,0_WT1,0_WWTR1,0_XKR9,0_XPA,0_XPC,0_XPNPEP3,0_XRCC6,0_YAF2,0_YIF1A,0_YIPF1,0_YIPF5,0_YKT6,0_YWHAE,0_ZBTB20,0_ZBTB42,0_ZC3H18,0_ZC3HC1,0_ZDHHC14,0_ZDHHC3,0_ZFPM2,0_ZFYVE1,0_ZKSCAN4,0_ZMAT3,0_ZMYM3,0_ZNF217,0_ZNF304,0_ZNF317,0_ZNF337,0_ZNF343,0_ZNF358,0_ZNF436,0_ZNF473,0_ZNF521,0_ZNF594,0_ZNF610,0_ZNF672,0_ZNF677,0_ZNF799,0_ZNF830,0_ZSCAN12
0,0,0,0,0,14,0,0,0,6,0,34,0,0,2,136,11,21,0,0,4,0,0,56,2,0,0,0,13,0,7,69,0,0,0,0,70,0,6,37,6,17,0,0,50,11,0,1,5,0,0,3,0,3,0,24,2,30,0,14,19,12,2,0,35,0,1,13,8,0,4,48,60,0,0,0,0,0,0,39,0,0,0,19,0,0,3,0,13,0,15,0,3,20,4,9,0,0,0,0,30,12,3,4,0,0,9,0,7,16,0,30,6,0,189,48,0,43,0,6,0,1,0,2,23,0,15,0,16,0,0,0,7,0,0,0,27,0,0,0,0,4,0,0,30,19,15,0,10,25,16,0,38,31,0,30,2,22,7,0,0,0,0,0,41,0,10,0,12,0,0,0,0,0,0,6,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,3,20,0,0,0,9,0,17,0,0,0,0,4,0,0,96,38,0,8,18,0,0,0,0,0,0,0,28,0,0,14,0,0,0,0,0,50,65,133,0,0,0,9,0,0,12,0,0,8,0,82,0,0,0,0,0,0,18,1,0,0,16,0,0,16,0,42,0,26,126,0,0,0,0,52,0,0,16,0,0,0,0,2,19,13,0,0,0,0,0,0,0,303,27,14,0,80,0,11,0,10,0,15,0,0,0,0,6,1,18,0,0,0,0,0,0,0,0,0,5,7,28,47,51,0,0,0,0,0,9,4,9,0,0,16,33,10,1,20,2,0,18,133,0,1,13,0,0,18,0,0,0,0,6,0,0,0,0,1,0,0,21,0,31,0,0,0,2,17,20,0,325,0,39,14,0,17,45,0,0,28,23,0,0,0,1,0,35,2,0,25,0,0,0,15,0,22,5,0,0,0,0,7,140,1,8,0,0,0,0,309,0,0,0,30,0,2,0,4,0,0,116,0,0,28,0,0,0,0,2,6,7,0,0,0,0,15,0,0,30,19,0,0,0,0,0,0,0,10,0,0,1,0,30,0,0,0,0,0,30,10,2,0,99,1,319,0,0,7,0,0,0,0,0,14,0,0,21,1,27,0,0,39,0,15,0,31,1,0,18,10,32,0,0,9,12,69,2,0,0,27,0,104,0,0,5,55,14,0,0,38,0,0,31,0,1,0,0,183,0,91,0,0,13,0,1,0,1,0,0,0,0,0,0,21,0,55,10,54,0,0,0,0,5,0,38,0,10,8,26,31,6,0,0,0,0,55,82,6,23,0,0,6,1,0,0,6,32,32,9,0,0,0,0,11,14,12,8,0,27,0,3,65,370,39,0,6,18,40,0,176,0,0,7,0,0,3,35,37,18,18,42,20,0,0,4,0,168,0,19,0,51,0,6,0,33,11,0,3,0,0,0,35,0,70,7,0,0,0,1,0,0,33,0,10,2,104,0,0,0,4,0,0,18,0,35,1,0,0,0,3,0,0,33,0,0,0,55,19,0,0,0,16,0,0,47,15,0,0,0,8,40,27,0,3,0,4,4,0,291,0,0,0,12,5,0,0,0,0,0,0,0,30,0,26,27,24,0,0,16,0,0,0,0,0,20,6,0,18,37,2,0,6,0,0,0,0,0,0,12,50,0,20,0,0,4,391,0,0,9,0,36,0,35,0,0,0,7,0,0,0,0,0,2,0,2,25,0,0,0,26,0,0,5,0,0,0,0,62,0,0,27,0,0,30,0,0,0,40,5,270,0,37,110,4,0,0,0,0,1,0,0,0,24,0,0,54,0,0,6,6,23,0,0,0,24,26,0,0,58,0,14,0,0,0,12,0,33,34,0,50,0,0,0,22,32,284,23,0,27,18,0,0,46,42,0,0,0,0,55,0,22,0,0,30,317,9,0,48,0,0,7,19,50,0,0,0,25,43,25,0,0,0,0,96,0,0,0,59,0,0,20,0,0,0,0,19,54,0,4,10,0,0,0,29,66,0,48,0,0,0,0,57,0,74,0,10,0,0,0,123,0,0,0
100,0,0,10,0,244,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,114,0,0,0,0,0,0,18,1,0,45,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,4,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,159,4,0,0,0,0,0,0,0,1,0,0,126,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,13,0,15,0,1,7,0,1,1,1,0,0,0,0,0,0,0,0,0,47,0,2,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,1,121,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,426,2,0,47,0,9,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,18,0,0,2,0,2,0,3,0,0,0,0,0,0,0,267,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,89,0,0,0,0,0,328,0,0,0,0,0,0,27,1,0,0,1,1,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,246,0,0,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,158,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,138,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,1,0,156,1,0,0,100,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,131,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,39,172,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,3,0,1,0,8,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0
200,0,4,6,0,189,0,0,0,0,0,0,0,7,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,1,131,0,0,1,0,0,0,19,0,1,68,0,0,0,0,0,0,1,0,0,2,0,0,0,12,0,0,0,0,3,9,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,82,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,17,0,0,0,0,0,0,0,1,0,0,0,109,0,1,0,0,0,0,0,0,1,0,0,161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,22,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,29,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,31,1,0,0,0,88,0,0,0,9,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,16,0,0,426,0,1,45,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,37,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,104,0,0,1,0,0,333,0,0,0,0,0,0,28,0,0,0,0,1,8,0,0,0,39,0,0,16,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,270,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,104,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,2,0,3,117,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,91,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,183,0,3,1,73,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,58,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,244,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,3,0,1,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,145,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,2,0,0,0,4,1,0,0,0,2,0,81,0,0,0,0,0,18,0,0
