0_age_at_initial_pathologic_diagnosis,1_ABCC3.8714,1_ACSS3.79611,1_ADCY3.109,1_APOB.338,1_APOBEC3D.140564,1_ARL4C.10123,1_ARSD.414,1_ASPM.259266,1_BMP2.650,1_C14orf106.55320,1_C18orf10.25941,1_CCDC28B.79140,1_CD109.135228,1_CDC6.990,1_CEP135.9662,1_CHST6.4166,1_CRTAC1.55118,1_DEPDC1.55635,1_DGCR2.9993,1_DSCAML1.57453,1_ECT2.1894,1_EEF1A1P9.441032,1_EFHB.151651,1_EIF2AK4.440275,1_EMP3.2014,1_FAM190B.54462,1_FAM46B.115572,1_FERMT1.55612,1_FNDC7.163479,1_G6PD.2539,1_GOLT1A.127845,1_GPR1.2825,1_HJURP.55355,1_HOXA2.3199,1_HOXC10.3226,1_HSPG2.3339,1_IGBP1.3476,1_IGFBP2.3485,1_ITPRIPL1.150771,1_LAMA2.3908,1_LOC100188949.100188949,1_LOC254559.254559,1_MAP1LC3C.440738,1_MAPT.4137,1_MCM4.4173,1_METTL7B.196410,1_MIF4GD.57409,1_MUCL1.118430,1_MYL2.4633,1_NAP1L1.4673,1_NDST4.64579,1_NELL2.4753,1_OSMR.9180,1_PGF.5228,1_PHTF1.10745,1_PLAT.5327,1_PNPLA4.8228,1_POLR2F.5435,1_PROC.5624,1_PTGFRN.5738,1_PUF60.22827,1_RAD18.56852,1_RGPD3.653489,1_RPL23P8.222901,1_SFRP2.6423,1_SHOX2.6474,1_SHROOM3.57619,1_SLC26A2.1836,1_SLC4A3.6508,1_SPRY1.10252,1_SSTR5.6755,1_STX3.6809,1_SULF2.55959,1_SYNPO.11346,1_TCF7L2.6934,1_TPX2.22974,1_TRIM16L.147166,1_TTC22.55001,1_WEE1.7465,1_WISP1.8840,1_ZAK.51776,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
