0_age_at_initial_pathologic_diagnosis,1_ACSM3.6296,1_ALDH5A1.7915,1_ANKRD53.79998,1_ARAP3.64411,1_ARMC9.80210,1_BBS12.166379,1_BCL2L11.10018,1_BICD1.636,1_BID.637,1_BIRC3.330,1_BIRC5.332,1_C17orf96.100170841,1_C1orf61.10485,1_C3orf30.152405,1_C3orf52.79669,1_CCDC8.83987,1_CDHR1.92211,1_CDKN2BAS.100048912,1_CEP55.55165,1_CHAF1B.8208,1_COL8A1.1295,1_CRTAC1.55118,1_CTCF.10664,1_CUEDC2.79004,1_DIAPH1.1729,1_DNAJC22.79962,1_EBF4.57593,1_EEF1G.1937,1_EFHB.151651,1_FLJ36000.284124,1_FREM2.341640,1_GGTA1.2681,1_GNG12.55970,1_GOLT1A.127845,1_GPR1.2825,1_GPRASP1.9737,1_GSTA1.2938,1_GSTA4.2941,1_GSX2.170825,1_HILS1.373861,1_HMX1.3166,1_HOXD13.3239,1_HS2ST1.9653,1_ITSN2.50618,1_KBTBD11.9920,1_KIF2C.11004,1_KRT7.3855,1_LOC100132707.100132707,1_LTB.4050,1_MARCH5.54708,1_MARCKS.4082,1_MCM6.4175,1_MCM8.84515,1_METTL7B.196410,1_MFAP4.4239,1_MORN1.79906,1_MRPL38.64978,1_MRPL46.26589,1_MRPS16.51021,1_NCRNA00152.112597,1_NDST4.64579,1_PASK.23178,1_PHTF1.10745,1_PLCB1.23236,1_PRR3.80742,1_PSPC1.55269,1_PSRC1.84722,1_PTTG3P.26255,1_PYCR1.5831,1_RAD21L1.642636,1_RNF5.6048,1_SCD5.79966,1_SEMA3A.10371,1_SIPA1L3.23094,1_TCF23.150921,1_TDH.157739,1_TLE3.7090,1_TMEFF2.23671,1_TMEM194A.23306,1_TMPPE.643853,1_TRPM8.79054,1_TSSC4.10078,1_TTF2.8458,1_TXN2.25828,1_ULK4.54986,1_UPK2.7379,1_VPS28.51160,1_WEE1.7465,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
