inner_cv_RF_bal_acc,inner_cv_leanness,train_RF_bal_acc,train_leanness,test_RF_bal_acc,test_leanness
0.9702894192775507,0.045454545454545456,1.0,0.045454545454545456,0.8464743589743591,0.045454545454545456
0.9650764063994435,0.047619047619047616,0.9955357142857143,0.047619047619047616,0.8610576923076922,0.047619047619047616
0.9646443787496739,0.058823529411764705,0.9959677419354839,0.058823529411764705,0.8995192307692307,0.058823529411764705
0.9601067298495783,0.0625,0.9955357142857143,0.0625,0.8334134615384616,0.0625
0.9522949091383357,0.06666666666666667,1.0,0.06666666666666667,0.8298076923076924,0.06666666666666667
0.9481379638485543,0.07692307692307693,0.9915034562211982,0.07692307692307693,0.8500801282051282,0.07692307692307693
0.9429889550667092,0.08333333333333333,0.9955357142857143,0.08333333333333333,0.782371794871795,0.08333333333333333
0.9429889550667092,0.08333333333333333,0.9908187331536388,0.08333333333333333,0.8298076923076924,0.08333333333333333
0.9307034895516333,0.09090909090909091,0.9870391705069125,0.09090909090909091,0.7485576923076923,0.09090909090909091
0.9257431720913158,0.1111111111111111,0.9952830188679245,0.1111111111111111,0.8298076923076922,0.1111111111111111
0.9047724714759102,0.125,0.9737009583707696,0.125,0.8995192307692307,0.125
0.8864226178399945,0.14285714285714285,0.9828822252171308,0.14285714285714285,0.8505608974358974,0.14285714285714285
0.883203091035562,0.16666666666666666,0.9702287361485475,0.16666666666666666,0.8338942307692307,0.16666666666666666
0.8351719415702983,0.2,0.9604874334598923,0.2,0.7500801282051283,0.2
0.7843753320967258,0.25,0.9224596411906212,0.25,0.7257211538461539,0.25
0.7103011573872804,0.3333333333333333,0.8995721386546097,0.3333333333333333,0.760576923076923,0.3333333333333333
0.48675537875933494,0.5,0.7386576891864476,0.5,0.40040064102564105,0.5
0.24731182795698925,1.0,0.25,1.0,0.25,1.0
