
OPTIMIZING ON FOLD NUMBER 8
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5786
Features active in total: 5786
Computing active features for outcome survival
Features selected for this outcome: 2941
Features active in total: 5853
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET_OS
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 45
ccRCC: 323
Assigning strata for outcome named survival of type survival
Counts:
censored 0: 135
censored 1: 257
deceased 0: 69
deceased 1: 68
Strata from each outcome has been integrated.
Counts:
ChRCC censored 0: 7
ChRCC censored 1: 37
ChRCC deceased 0: 5
ChRCC deceased 1: 5
PRCC T1 censored 0: 51
PRCC T1 censored 1: 45
PRCC T1 deceased 1: 6
PRCC T2 censored 0: 17
PRCC T2 censored 1: 19
PRCC T2 deceased 0: 7
PRCC T2 deceased 1 + PRCC T1 deceased 0: 7
ccRCC censored 0: 60
ccRCC censored 1: 156
ccRCC deceased 0: 52
ccRCC deceased 1: 55

RUNNING GENETIC ALGORITHM
Generations completed = 67
Generations completed = 134
Generations completed = 194
Generations completed = 252
Generations completed = 303
Generations completed = 351
Generations completed = 397
Generations completed = 458
   	     	         	        	           type naive Bayes balanced accuracy           	                 root leanness                  	       survival SKSurv Cox model concordance index       
   	     	         	        	--------------------------------------------------------	------------------------------------------------	---------------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std     	min     	avg     	max	std     	min     	avg     	max     	std             
0  	500  	4669     	4669    	0.248604	0.745137	0.867992	0.118149	0.140028	0.247302	1  	0.132568	0.470838	0.651631	0.725521	0.0423357       
1  	378  	3822     	4763    	0.25    	0.714503	0.867992	0.132584	0.138675	0.300399	1  	0.14682 	0.470838	0.653136	0.740022	0.0471474       
2  	371  	2397     	4832    	0.25    	0.704178	0.883718	0.136063	0.131306	0.331295	1  	0.150344	0.5     	0.65563 	0.740022	0.0455794       
3  	375  	1861     	4914    	0.25    	0.731612	0.883718	0.113319	0.131306	0.318072	1  	0.135157	0.5     	0.666964	0.747054	0.0447934       
4  	390  	1740     	5006    	0.25    	0.726044	0.883718	0.128127	0.129099	0.337299	1  	0.14761 	0.477765	0.666877	0.761177	0.0501283       
5  	380  	1329     	5074    	0.25    	0.73866 	0.883718	0.12247 	0.131306	0.337617	1  	0.146558	0.5     	0.667721	0.761177	0.0525764       
6  	387  	1321     	5146    	0.25    	0.736283	0.884492	0.116582	0.130189	0.350659	1  	0.143659	0.5     	0.671085	0.761177	0.0524682       
7  	381  	1143     	5208    	0.25    	0.728362	0.884492	0.124602	0.130189	0.359285	1  	0.142082	0.5     	0.672942	0.76509 	0.052002        
8  	384  	1061     	5256    	0.25    	0.732244	0.883718	0.128976	0.129099	0.360472	1  	0.148932	0.491048	0.67629 	0.766481	0.0521848       
9  	385  	1031     	5305    	0.25    	0.746342	0.889288	0.127921	0.129099	0.35131 	1  	0.151989	0.5     	0.681809	0.768555	0.0496166       
10 	364  	957      	5340    	0.25    	0.735682	0.893947	0.131175	0.127   	0.366508	1  	0.156807	0.5     	0.685706	0.771234	0.0505855       
11 	358  	909      	5392    	0.249226	0.738597	0.893947	0.137779	0.125988	0.378683	1  	0.166783	0.5     	0.681749	0.773195	0.0521828       
12 	376  	883      	5425    	0.249226	0.757511	0.89862 	0.134754	0.125988	0.363221	1  	0.165763	0.5     	0.684639	0.773195	0.0555316       
13 	369  	894      	5459    	0.249226	0.767503	0.89862 	0.132041	0.125988	0.358749	1  	0.164886	0.486512	0.687873	0.774056	0.0587181       
14 	371  	890      	5502    	0.249226	0.760327	0.899502	0.133987	0.125   	0.373631	1  	0.161507	0.486512	0.689658	0.776453	0.0583554       
15 	384  	922      	5525    	0.249226	0.762721	0.899502	0.147471	0.125   	0.372621	1  	0.16884 	0.486512	0.691586	0.776453	0.0547033       
16 	387  	866      	5553    	0.249226	0.763527	0.899502	0.144216	0.125988	0.382551	1  	0.161559	0.486512	0.690366	0.784869	0.0552138       
17 	372  	784      	5582    	0.249226	0.765441	0.899502	0.146293	0.125988	0.38703 	1  	0.165993	0.486512	0.689085	0.784869	0.0547761       
18 	365  	758      	5612    	0.249226	0.756127	0.899502	0.155439	0.125988	0.397248	1  	0.172032	0.486512	0.693879	0.784869	0.0524634       
19 	375  	767      	5632    	0.25    	0.760743	0.907206	0.15399 	0.125988	0.393475	1  	0.172579	0.5     	0.699552	0.784869	0.0509726       
20 	366  	738      	5652    	0.25    	0.762322	0.907206	0.150397	0.171499	0.400982	1  	0.168113	0.440205	0.701641	0.784869	0.0531146       
21 	381  	715      	5671    	0.25    	0.754846	0.907206	0.158952	0.171499	0.411496	1  	0.176918	0.440205	0.697785	0.784869	0.0588072       
22 	367  	696      	5682    	0.25    	0.754991	0.907206	0.162909	0.171499	0.410734	1  	0.185344	0.440205	0.702145	0.789979	0.0666973       
23 	378  	693      	5698    	0.25    	0.750135	0.907206	0.16614 	0.171499	0.41951 	1  	0.188319	0.440205	0.702441	0.793954	0.0697787       
24 	376  	700      	5708    	0.25    	0.744755	0.907206	0.171385	0.158114	0.428752	1  	0.189372	0.440205	0.703339	0.791592	0.0719168       
25 	361  	639      	5721    	0.25    	0.746222	0.907206	0.167902	0.154303	0.42898 	1  	0.186105	0.440205	0.703515	0.795762	0.073936        
26 	379  	640      	5728    	0.25    	0.772861	0.907206	0.158173	0.154303	0.391249	1  	0.169246	0.5     	0.715591	0.795762	0.0585238       
27 	383  	654      	5745    	0.25    	0.778522	0.911199	0.151296	0.154303	0.389873	1  	0.171962	0.5     	0.718798	0.795762	0.0599907       
28 	378  	652      	5752    	0.25    	0.787776	0.911199	0.148055	0.150756	0.382608	1  	0.171602	0.5     	0.717328	0.797795	0.0587756       
29 	374  	670      	5764    	0.25    	0.789721	0.915966	0.141686	0.156174	0.391882	1  	0.164468	0.5     	0.717982	0.799604	0.0593663       
30 	357  	672      	5776    	0.25    	0.78766 	0.911199	0.146595	0.164399	0.39166 	1  	0.169759	0.5     	0.720035	0.80145 	0.0587807       
31 	344  	608      	5788    	0.25    	0.797724	0.912747	0.139009	0.164399	0.386293	1  	0.163628	0.5     	0.719598	0.799604	0.0580236       
32 	395  	652      	5790    	0.25    	0.790547	0.912747	0.139702	0.169031	0.397492	1  	0.163839	0.5     	0.719676	0.807415	0.0593849       
33 	379  	677      	5796    	0.25    	0.791343	0.912747	0.146336	0.166667	0.395838	1  	0.171559	0.5     	0.719823	0.811461	0.0611944       
34 	348  	654      	5804    	0.25    	0.803424	0.914295	0.126858	0.166667	0.386066	1  	0.161633	0.5     	0.726093	0.811461	0.0596121       
35 	369  	658      	5809    	0.25    	0.807782	0.913644	0.12291 	0.171499	0.379482	1  	0.158941	0.5     	0.728921	0.811461	0.0586367       
36 	371  	638      	5812    	0.25    	0.804089	0.913644	0.126705	0.171499	0.380985	1  	0.157502	0.5     	0.730972	0.811461	0.0575646       
37 	380  	720      	5814    	0.25    	0.807529	0.914599	0.128726	0.171499	0.375666	1  	0.155514	0.5     	0.73237 	0.811461	0.0564846       
38 	375  	659      	5815    	0.25    	0.805683	0.914599	0.135851	0.171499	0.37654 	1  	0.163646	0.5     	0.730734	0.811461	0.0578884       
39 	365  	669      	5818    	0.25    	0.81086 	0.914599	0.135688	0.169031	0.376387	1  	0.161703	0.5     	0.727219	0.815626	0.0579615       
40 	374  	663      	5820    	0.25    	0.806227	0.920994	0.139433	0.171499	0.383106	1  	0.163146	0.5     	0.726931	0.811461	0.0586086       
41 	381  	656      	5822    	0.25    	0.801982	0.917832	0.139729	0.162221	0.384644	1  	0.161749	0.5     	0.729587	0.811461	0.0579077       
42 	377  	659      	5825    	0.25    	0.798515	0.917832	0.139223	0.162221	0.388511	1  	0.160689	0.5     	0.727725	0.816408	0.0563051       
43 	369  	666      	5829    	0.25    	0.799379	0.917832	0.136192	0.158114	0.39139 	1  	0.156169	0.5     	0.726934	0.816408	0.0562103       
44 	364  	631      	5832    	0.25    	0.798727	0.917832	0.133586	0.158114	0.39262 	1  	0.154473	0.5     	0.728073	0.816408	0.0548438       
45 	384  	631      	5833    	0.25    	0.796599	0.917832	0.13307 	0.156174	0.391734	1  	0.153874	0.5     	0.730364	0.816408	0.0556025       
46 	379  	653      	5835    	0.25    	0.797962	0.917832	0.135405	0.156174	0.387815	1  	0.15714 	0.5     	0.731212	0.816408	0.0561638       
47 	377  	621      	5836    	0.25    	0.798418	0.918563	0.1312  	0.150756	0.386155	1  	0.153836	0.5     	0.732714	0.816408	0.055028        
48 	373  	668      	5839    	0.25    	0.796011	0.924784	0.131662	0.156174	0.391477	1  	0.154449	0.5     	0.729773	0.816408	0.0554622       
49 	381  	684      	5841    	0.25    	0.79683 	0.924784	0.132088	0.164399	0.39263 	1  	0.157612	0.5     	0.728845	0.820521	0.0568878       
50 	361  	646      	5842    	0.25    	0.798182	0.930339	0.131671	0.162221	0.390254	1  	0.156472	0.5     	0.730882	0.820521	0.056426        
51 	372  	659      	5844    	0.25    	0.797705	0.930339	0.133913	0.154303	0.392921	1  	0.158793	0.5     	0.730237	0.820521	0.0579181       
52 	398  	702      	5845    	0.25    	0.80058 	0.930339	0.130634	0.154303	0.387557	1  	0.151703	0.5     	0.732978	0.820521	0.0560645       
53 	364  	639      	5845    	0.25    	0.800914	0.930339	0.125896	0.160128	0.387008	1  	0.148307	0.5     	0.733774	0.820521	0.054748        
