1_hsa.miR.15b.5p,2_ABCA12.26154,2_ALS2CR4.65062,2_ARAP3.64411,2_ARMC9.80210,2_ASB13.79754,2_BCCIP.56647,2_C22orf27.150291,2_C9orf44.158314,2_CASP9.842,2_CCDC19.25790,2_CHAF1B.8208,2_CSDC2.27254,2_CWF19L1.55280,2_DEPDC1.55635,2_DGCR6.8214,2_E2F7.144455,2_EEPD1.80820,2_EMILIN3.90187,2_EMP3.2014,2_FZD6.8323,2_GJC1.10052,2_GLUD1.2746,2_GPR156.165829,2_HILS1.373861,2_IGF2BP2.10644,2_IGFBP5.3488,2_ISL2.64843,2_KIAA1279.26128,2_LAMA2.3908,2_LATS2.26524,2_LOC100132215.100132215,2_LOC254559.254559,2_MARCH5.54708,2_OSR2.116039,2_PLAT.5327,2_RAB42.115273,2_RAD18.56852,2_SAMD11.148398,2_SHOX2.6474,2_STAC.6769,2_SULF2.55959,2_TRIM8.81603,2_ULK4.54986,2_USH1C.10083,2_VAV3.10451,2_WISP1.8840,2_ZAK.51776,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
