0_age_at_initial_pathologic_diagnosis,1_hsa.miR.146b.5p,2_ACBD5.91452,2_ALS2CR4.65062,2_ARSE.415,2_CAPN5.726,2_CASP9.842,2_CCDC85C.317762,2_CCNYL1.151195,2_DEPDC1.55635,2_DIAPH1.1729,2_ELK1.2002,2_FAM110B.90362,2_FAM133A.286499,2_FLJ16779.100192386,2_GAS2L3.283431,2_GLUD1.2746,2_HILS1.373861,2_IGFBP2.3485,2_IQGAP2.10788,2_IQGAP3.128239,2_LATS2.26524,2_LCTL.197021,2_MARCH5.54708,2_NACA.4666,2_NOG.9241,2_NTNG2.84628,2_PEA15.8682,2_PER3.8863,2_POLL.27343,2_RAD18.56852,2_RPS6KA3.6197,2_SFRP2.6423,2_SLC27A3.11000,2_SMS.6611,2_SULF2.55959,2_TNK2.10188,2_TOM1L1.10040,2_TRAF5.7188,2_TRIM16L.147166,2_TTF2.8458,2_TUBGCP2.10844,2_USH1C.10083,2_VAV3.10451,2_WEE1.7465,2_WISP1.8840,2_ZNF32.7580,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
