0_AGR3,0_C2orf40,0_C9orf116,0_CACNB4,0_CDC6,0_CKS2,0_ESR1,0_FAM189A2,0_FOXC1,0_GATA3,0_GPR113,0_HMSD,0_LPIN1,0_MARVELD1,0_MIA,0_TH,0_TMEM35,0_TOPBP1,0_TPX2
1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
