
OPTIMIZING ON FOLD NUMBER 4
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5882
Features active in total: 5882
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 58
Generations completed = 122
Generations completed = 189
Generations completed = 254
Generations completed = 322
Generations completed = 389
Generations completed = 455
   	     	         	        	       type naive Bayes balanced accuracy       	                 root separation                 	                 root leanness                  
   	     	         	        	------------------------------------------------	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std         	min	avg     	max     	std      	min     	avg     	max	std     
0  	500  	3977     	3977    	0.2	0.74516 	0.880458	0.125967    	0  	0.54711 	0.619507	0.0607417	0.140028	0.265086	1  	0.124149
1  	359  	3188     	4132    	0.2	0.694413	0.881696	0.160228    	0  	0.538224	0.624393	0.0702655	0.141421	0.334284	1  	0.143388
2  	378  	1778     	4263    	0.2	0.721233	0.881696	0.145025    	0  	0.549577	0.624393	0.0729912	0.133631	0.337289	1  	0.149298
3  	383  	1479     	4395    	0.2	0.713337	0.881696	0.157756    	0  	0.549025	0.624393	0.0754686	0.133631	0.359473	1  	0.160438
4  	373  	1309     	4520    	0.2	0.709094	0.881696	0.174739    	0  	0.551909	0.624393	0.0792018	0.140028	0.374485	1  	0.169422
5  	372  	1182     	4631    	0.2	0.697004	0.890762	0.172465    	0  	0.552771	0.625533	0.0837566	0.140028	0.403688	1  	0.169864
6  	379  	964      	4725    	0.2	0.715561	0.890762	0.16646     	0  	0.558251	0.633124	0.0824338	0.140028	0.398446	1  	0.176101
7  	376  	973      	4813    	0.2	0.72085 	0.897332	0.168609    	0  	0.565735	0.640239	0.0880035	0.141421	0.399178	1  	0.173353
8  	373  	905      	4904    	0.2	0.729404	0.897332	0.171974    	0  	0.570689	0.640546	0.0937654	0.149071	0.39605 	1  	0.17398 
9  	379  	815      	4996    	0.2	0.764443	0.904168	0.133594    	0  	0.584647	0.640546	0.0822939	0.149071	0.375718	1  	0.149004
