gen,evals,gen_feats,explored,type random forest (msl4) balanced accuracy_min,type random forest (msl4) balanced accuracy_avg,type random forest (msl4) balanced accuracy_max,type random forest (msl4) balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,5126,5126,0.2,0.7455994964690967,0.8606415996565838,0.11793876345545459,0.14002800840280097,0.25011960641568165,1.0,0.1445313310860204
1,364,4029,5188,0.2,0.7305282013578105,0.8606415996565838,0.13663387680082467,0.14002800840280097,0.29454121804305416,1.0,0.15325662695045048
2,365,2728,5241,0.2,0.7239348469582824,0.8735328240630205,0.14433707842696925,0.14002800840280097,0.31928823029198883,1.0,0.1507069086038674
3,378,2185,5289,0.2,0.7299437259072699,0.8735328240630205,0.1482157564130232,0.14002800840280097,0.3291971824618662,1.0,0.15629974426347043
4,368,1846,5336,0.2,0.7176852261868347,0.8778557228131637,0.1713616938255895,0.14002800840280097,0.35474667370826557,1.0,0.1734045358903729
5,365,1420,5370,0.2,0.7338088583656495,0.8786068503812798,0.15468751307378625,0.14002800840280097,0.35460989443017327,1.0,0.16618627280286852
6,373,1360,5407,0.2,0.7370917092638879,0.8878602691888204,0.16245258099268325,0.14002800840280097,0.36263506492571457,1.0,0.17805795617864523
7,376,1276,5437,0.2,0.7398943551299755,0.8878602691888204,0.15976761477225893,0.1386750490563073,0.368317073977365,1.0,0.1787954388420325
8,385,1241,5477,0.2,0.7548564077127908,0.8878602691888204,0.14014115807169267,0.14002800840280097,0.36865679225013265,1.0,0.17160641259513254
9,374,1167,5516,0.2,0.762021351556778,0.8878602691888204,0.1486916937368975,0.1414213562373095,0.36423855864100485,1.0,0.1760532683651283
10,390,1126,5549,0.2,0.7668178180878765,0.8878602691888204,0.1562961348142831,0.14285714285714285,0.3614148490740666,1.0,0.1841724669477859
11,384,1074,5583,0.2,0.7702807966156615,0.8878602691888204,0.15268020513861102,0.14285714285714285,0.36742146081826715,1.0,0.1827829578183565
12,374,979,5610,0.2,0.7576359467420889,0.8878602691888204,0.16972562848065448,0.14285714285714285,0.39061365027617195,1.0,0.1932015019221443
13,378,912,5639,0.2,0.7519886339028752,0.8900605270303442,0.17184812400071245,0.14285714285714285,0.40421389836695504,1.0,0.19502938210389634
14,369,825,5658,0.2,0.770624361783055,0.8927232272240697,0.15318778560814472,0.14285714285714285,0.3927582244976386,1.0,0.18206676997165092
15,381,822,5678,0.2,0.7492846868420502,0.906358138272101,0.1663134479430314,0.14285714285714285,0.4252506765974382,1.0,0.1913248996976209
16,386,754,5695,0.2,0.747438688726817,0.906358138272101,0.16797634137700806,0.14285714285714285,0.4268021440161828,1.0,0.19462941563685066
17,359,769,5704,0.2,0.7771300975199132,0.906358138272101,0.14667909175733793,0.14285714285714285,0.40444025725453797,1.0,0.17496813987266868
18,386,741,5717,0.2,0.7828372967830289,0.9070022606553538,0.14332773658076975,0.15249857033260467,0.4018142245647721,1.0,0.1751284328427589
19,353,735,5729,0.2,0.8010235231810682,0.9070022606553538,0.13921997676008355,0.15249857033260467,0.38406383366002533,1.0,0.17069017786346347
20,373,738,5739,0.2,0.8016938628061339,0.9070022606553538,0.1368370257245285,0.15617376188860607,0.38924356009884814,1.0,0.1731369164312813
21,384,715,5755,0.2,0.7896338982901573,0.9070022606553538,0.14851276822819537,0.18569533817705186,0.40980075535000127,1.0,0.18016264776329288
22,375,713,5770,0.2,0.7957543280338032,0.9108839775089737,0.14914365474461036,0.18257418583505536,0.40236743467092445,1.0,0.18517795163385029
23,365,619,5775,0.2,0.8061437545078808,0.9125557498045772,0.1433716023839622,0.18257418583505536,0.3962708216406695,1.0,0.17906444143959427
24,389,670,5785,0.2,0.8038331803321465,0.9125557498045772,0.1432363927061437,0.18257418583505536,0.4039730509670173,1.0,0.17760976857320684
25,361,629,5793,0.2,0.80989593068546,0.9156979128292667,0.14574778398884972,0.18257418583505536,0.39630424946563025,1.0,0.18352143438432003
26,364,634,5802,0.2,0.7975614028575515,0.9156979128292667,0.14999206435708276,0.18257418583505536,0.42083811285082434,1.0,0.18459014377400004
27,361,621,5811,0.2,0.7882922983601909,0.9156979128292667,0.1621311629980779,0.18257418583505536,0.43300736421980546,1.0,0.19357399652995058
28,395,672,5814,0.2,0.7947266138374212,0.9156979128292667,0.16562137010812505,0.18257418583505536,0.4212317889287137,1.0,0.2028550897215163
29,358,604,5819,0.2,0.8030328384998546,0.9156979128292667,0.1592061111961738,0.19611613513818404,0.4228969252455644,1.0,0.19781123363178313
30,367,586,5823,0.2,0.7966791396532703,0.9156979128292667,0.16769143684450344,0.19611613513818404,0.43444054925654635,1.0,0.20204990145328014
31,355,582,5833,0.2,0.788781179735663,0.9156979128292667,0.177481149453796,0.19611613513818404,0.44687047947733816,1.0,0.21025349717492278
32,386,597,5836,0.2,0.780312862201423,0.9215672603211887,0.1769437418099557,0.1889822365046136,0.4672618650652944,1.0,0.20586225787301984
33,362,604,5837,0.2,0.7914262310747783,0.9215672603211887,0.18578047556890456,0.1889822365046136,0.45109804712272195,1.0,0.2125483122180356
