0_ACMSD,0_CLDN8,0_CSTF3,0_DACT2,0_DNMT3A,0_ENPP3,0_GGTLC1,0_ITGB8,0_NDUFA4L2,0_RABGGTB,0_TAF12,0_TCF4,0_TEK,0_TRIOBP,0_UPK1B
1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
1,1,0,1,0,1,1,1,1,0,0,1,0,1,0
1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
0,1,0,1,1,1,1,0,1,0,0,1,0,1,0
0,1,1,1,0,1,1,0,1,0,0,1,0,1,0
0,1,0,1,0,1,1,0,1,1,0,1,0,1,0
1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
