0_CDK18,0_CLDN2,0_CLEC3B,0_CNTN2,0_DUSP22,0_ENPP3,0_ERAP1,0_GGTLC1,0_LGI4,0_NPC2,0_NRP1,0_PLCG2,0_POLA1,0_PRPF4B,0_RAPGEF6,0_SEC31A,0_STC2,0_TBC1D14,0_TEK,0_TMEM168,0_TTC30A
0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0
1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
