0_BDKRB1,0_CFB,0_EFNB2,0_EPS15L1,0_GTPBP3,0_HYLS1,0_KCTD16,0_PLCG2,0_STC2
1,1,1,0,0,1,0,1,1
0,1,0,0,1,0,1,1,1
0,1,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
