0_ARMC9,0_ASH1L,0_C1orf43,0_CFB,0_CLDN7,0_DYNC2LI1,0_EMCN,0_FAM13C,0_FAM50A,0_NDUFA4L2,0_NPC1,0_PSMB8,0_SAP30,0_SLC9A2,0_SNRNP35,0_USP22
1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1
0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0
0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
