gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,433,433,0.2,0.8087738943660961,0.9271506016448814,0.14471056668967294,0.14002800840280097,0.25740946905448964,1.0,0.16339496774240078
1,536,661,670,0.2,0.8096304086389842,0.9271506016448814,0.1297495607998012,0.12309149097933274,0.27574600059975163,1.0,0.1383169570319372
2,540,688,887,0.2,0.8252958279014654,0.9271506016448814,0.11416780932123047,0.12216944435630522,0.27535643840653323,1.0,0.1363558172400871
3,551,749,1109,0.2,0.831013876235139,0.9271506016448814,0.11025072926314014,0.12216944435630522,0.28078633386047686,1.0,0.13795704745615134
4,542,759,1317,0.2,0.8345851429314352,0.9271506016448814,0.1090475740044684,0.1203858530857692,0.2839522096058051,1.0,0.13860109136083626
5,537,768,1490,0.2,0.840389585086546,0.9271506016448814,0.10506882138152435,0.11867816581938534,0.2845264754504086,1.0,0.13641597279566267
6,548,772,1667,0.2,0.8451766956672477,0.9271506016448814,0.1018083831579049,0.13608276348795434,0.28572917159630207,1.0,0.1356540173162978
7,558,802,1855,0.2,0.8456270125114909,0.9271506016448814,0.10202105543430963,0.13608276348795434,0.291151195832289,1.0,0.13719027171245732
8,551,820,2032,0.2,0.8486765888081264,0.9271506016448814,0.09891112115465234,0.12598815766974242,0.2918223251151299,1.0,0.13701439225485276
9,544,811,2194,0.2,0.8506672765903626,0.93185670137645,0.09737860344180838,0.12598815766974242,0.2948635809010201,1.0,0.13531526378773823
10,550,820,2341,0.2,0.8529535656253261,0.9331449461429557,0.09659824505774424,0.125,0.29494889175450717,1.0,0.1351470534779382
11,551,828,2493,0.2,0.8566520838941848,0.9385650494597337,0.0951695868737466,0.12403473458920845,0.29339466139218656,1.0,0.13594819219041004
12,555,843,2646,0.2,0.8575272511015062,0.9385650494597337,0.09763050139502359,0.13483997249264842,0.29413869794609676,1.0,0.13920668222926377
13,549,849,2790,0.2,0.8590273377758654,0.9385650494597337,0.09622854805965157,0.13483997249264842,0.2976910356882747,1.0,0.1378294792586779
14,559,856,2921,0.2,0.8600288502905358,0.9385650494597337,0.09527622808616515,0.13483997249264842,0.3005149489294401,1.0,0.1384272124102662
15,549,831,3046,0.2,0.8618150096672529,0.9385650494597337,0.0950166601849313,0.13483997249264842,0.3011844951719452,1.0,0.14026097175588753
16,545,833,3166,0.2,0.8625367340300727,0.9435301594973076,0.09639425393656902,0.13245323570650439,0.3034844682633018,1.0,0.14155931625003193
17,538,824,3273,0.2,0.8659531551468671,0.9435301594973076,0.09435317365811856,0.13245323570650439,0.3014592248738069,1.0,0.14008265241741327
18,542,851,3383,0.2,0.8679838229845798,0.9435301594973076,0.0930009260725999,0.13245323570650439,0.30234257322235925,1.0,0.1390276583174162
19,544,841,3485,0.2,0.866251350600844,0.9438322125726339,0.09441136022106632,0.13245323570650439,0.3083903660981436,1.0,0.1391435425677977
20,535,833,3588,0.2,0.8693120493610474,0.9438322125726339,0.09037696103751584,0.13130643285972254,0.30722852442294096,1.0,0.13802520162817325
21,540,833,3676,0.2,0.871948948873198,0.9438322125726339,0.08989165275165016,0.15075567228888181,0.3041023722974774,1.0,0.1378575418426907
22,543,841,3759,0.2,0.8739520718586963,0.9438322125726339,0.08819390865444304,0.15075567228888181,0.30383591269704957,1.0,0.1360394258350668
23,556,872,3849,0.2,0.8739664828369459,0.9438322125726339,0.0884378897607873,0.15075567228888181,0.30609164313426707,1.0,0.1365871419236636
24,544,826,3935,0.2,0.8747364873849945,0.944721684629221,0.08805653929047719,0.14744195615489714,0.3066072593164541,1.0,0.13629653222311156
25,538,856,4028,0.2,0.875375734547528,0.9455174635879369,0.08775277275517053,0.14744195615489714,0.3083558022530729,1.0,0.13540188053035304
26,555,827,4091,0.2,0.8740801382173392,0.9455174635879369,0.08956443503217897,0.15075567228888181,0.31236153084555335,1.0,0.13660802554119003
