1_ADIPOR1.51094,1_ADPRH.141,1_B3GALT4.8705,1_C14orf159.80017,1_C17orf103.256302,1_C17orf44.284029,1_C9orf140.89958,1_CCDC69.26112,1_CCR2.729230,1_CFP.5199,1_CIDEB.27141,1_CLEC10A.10462,1_CTSH.1512,1_CXCR6.10663,1_DHH.50846,1_DHRS12.79758,1_DHRS7B.25979,1_GALNT12.79695,1_GJA5.2702,1_GPR114.221188,1_HMGCS1.3157,1_HNMT.3176,1_HOXA13.3209,1_IDO2.169355,1_IFNG.3458,1_IL18BP.10068,1_LOC441294.441294,1_MANSC1.54682,1_MCOLN1.57192,1_MRO.83876,1_NKX3.2.579,1_NUDT13.25961,1_PEX11G.92960,1_PFKFB2.5208,1_PLCG1.5335,1_RAB7L1.8934,1_RASGRP2.10235,1_SELL.6402,1_SERBP1.26135,1_SERPING1.710,1_TADA2B.93624,1_TARDBP.23435,1_THOC2.57187,1_TRADD.8717,1_TSPAN6.7105,1_UBD.10537,1_VPS18.57617,1_YWHAQ.10971,1_ZNF697.90874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
