1_ADAMTS15.170689,1_APOB.338,1_B3GALT4.8705,1_BCL2L14.79370,1_C1orf135.79000,1_CCDC69.26112,1_CCNDBP1.23582,1_CD1C.911,1_CD1E.913,1_CDC25A.993,1_CENPO.79172,1_CFP.5199,1_DERL1.79139,1_DHRS12.79758,1_FLJ42875.440556,1_GALNT12.79695,1_HDAC2.3066,1_HIST1H3I.8354,1_HMGCR.3156,1_HNRNPA3P1.10151,1_IDO2.169355,1_IGFBP7.3490,1_LACE1.246269,1_LIMS2.55679,1_LOC100130581.100130581,1_MANSC1.54682,1_MRS2P2.729633,1_PEX11G.92960,1_PGCP.10404,1_PIK3C2B.5287,1_PLCG1.5335,1_PRKAG1.5571,1_RAD54L.8438,1_RGMA.56963,1_SDR42E1.93517,1_SFRS1.6426,1_SLC12A3.6559,1_SLC39A2.29986,1_SMOC2.64094,1_SRPK1.6732,1_TAF2.6873,1_TINAGL1.64129,1_TRIM47.91107,1_UBE2CBP.90025,1_UCN2.90226,1_USP24.23358,1_WDHD1.11169,1_XPO5.57510,1_YWHAQ.10971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
