1_B3GNT5.84002,1_BEND3.57673,1_BTG2.7832,1_C1orf163.65260,1_CCL19.6363,1_CDK5R1.8851,1_CFP.5199,1_CLDN23.137075,1_CNN3.1266,1_DHH.50846,1_DHRS12.79758,1_EIF2C2.27161,1_FCER1A.2205,1_GALNT12.79695,1_GLIS1.148979,1_GMEB1.10691,1_GPR18.2841,1_HDAC2.3066,1_HMGB3.3149,1_HOXC6.3223,1_KCNK7.10089,1_KDM1A.23028,1_KHDRBS1.10657,1_LOC388387.388387,1_MAGEA6.4105,1_MOB2.81532,1_MR1.3140,1_NKX3.2.579,1_NUDT13.25961,1_NUDT7.283927,1_PEX11G.92960,1_PITX2.5308,1_PLCG1.5335,1_PRKCDBP.112464,1_RARRES3.5920,1_RASGRP2.10235,1_RIPPLY2.134701,1_RLF.6018,1_RLIM.51132,1_SERBP1.26135,1_SERPING1.710,1_SLC24A4.123041,1_SQLE.6713,1_STOM.2040,1_TINAGL1.64129,1_TMEM176B.28959,1_TPSB2.64499,1_TSPAN6.7105,1_VMAC.400673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
