inner_cv_NB_bal_acc,inner_cv_root_leanness,train_NB_bal_acc,train_root_leanness,test_NB_bal_acc,test_root_leanness
,0.0,0.008416959624792907,0.0,0.030557174923195773,0.0
,0.0,0.013798611024663924,0.0,0.028590904970127097,0.0
,0.0,0.011940344812469465,0.0,0.033512814955339996,0.0
,0.0,0.009527941858963303,0.0,0.03510163865752105,0.0
,0.0,0.009050180859015133,0.0,0.02856414090761308,0.0
,0.0,0.00901141233396247,0.0,0.02856414090761308,0.0
,0.0,0.008487725331573924,0.0,0.032816633776616096,0.0
,0.0,0.00911036357563938,0.0,0.039787105440127306,0.0
,0.0,0.011288028697690725,0.0,0.04028127443426638,0.0
,0.0,0.00880156312904517,0.0,0.03203443163484524,0.0
,0.0,0.009188430986811135,0.0,0.03203443163484524,0.0
,0.0,0.010281097384696665,0.0,0.03206978417663875,0.0
,0.0,0.011529196443513554,0.0,0.03549517558514762,0.0
,0.0,0.01056462871977536,0.0,0.021191284313878563,0.0
,0.0,0.00848381575723002,0.0,0.04129456351744655,0.0
,0.0,0.010774713158612947,0.0,0.037339548833631206,0.0
,0.0,0.010679817645862845,0.0,0.0427149969363986,0.0
,0.0,0.018851616461690947,0.0,0.031246906687527373,0.0
,0.0,0.007518233228159569,0.0,0.020706886036221787,0.0
,0.0,0.020293172046807334,0.0,0.022614445937871097,0.0
,0.0,0.0,0.0,0.0,0.0
