0_ACSL3,0_AKR1C3,0_ALDH1A1,0_ALDH1A2,0_C1GALT1,0_CAND2,0_CDK18,0_CLEC4D,0_DCP1A,0_DDB2,0_DGKA,0_GSTA4,0_HDHD2,0_HNF1B,0_IL18R1,0_KCNS3,0_LAYN,0_LIMA1,0_MLLT1,0_MPI,0_MST1R,0_MYOM2,0_NDUFA4L2,0_NID2,0_NLGN1,0_NTN1,0_ODC1,0_PI16,0_PLCG2,0_POFUT1,0_SBDS,0_SCARB2,0_SQSTM1,0_TAF8,0_TIMM8A,0_TPK1,0_TRAPPC3,0_VTI1A,0_WNK4,0_WWC1
1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
