0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_AR.367,1_ARFGAP1.55738,1_ARHGDIG.398,1_AUP1.550,1_BCL2L12.83596,1_C12orf45.121053,1_C17orf90.339229,1_C22orf39.128977,1_C6orf186.728464,1_DNASE1L3.1776,1_DONSON.29980,1_DUSP9.1852,1_EMCN.51705,1_F2RL1.2150,1_FKBP4.2288,1_HOXA2.3199,1_HYAL1.3373,1_IQCF6.440956,1_ITPRIPL2.162073,1_JTB.10899,1_LIN54.132660,1_LOC100134713.100134713,1_LOC283050.283050,1_LOC388796.388796,1_MARS.4141,1_MRAP.56246,1_NFIB.4781,1_OLIG3.167826,1_OTUD7A.161725,1_PAEP.5047,1_PIPSL.266971,1_PODXL.5420,1_PTTG2.10744,1_ROBLD3.28956,1_RORA.6095,1_SIM2.6493,1_SIPA1L1.26037,1_SORBS2.8470,1_STON1.GTF2A1L.286749,1_TBCE.6905,1_TJP2.9414,1_TMEM200C.645369,1_TMEM63C.57156,1_TTLL9.164395,1_VPS45.11311,1_WDR7.23335,1_ZPBP.11055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
