0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage II,0_ajcc_pathologic_tumor_stage_Stage IV,1_ABCG2.9429,1_AKAP6.9472,1_ANAPC5.51433,1_ANAPC7.51434,1_ANGPTL6.83854,1_ANKRD33.341405,1_ANKRD56.345079,1_ARL15.54622,1_C19orf77.284422,1_C7orf53.286006,1_CCNF.899,1_CDCA3.83461,1_CPNE1.8904,1_CWF19L2.143884,1_CYP3A7.1551,1_DBF4.10926,1_DDAH1.23576,1_DHRS12.79758,1_DKFZP434L187.26082,1_FAM73A.374986,1_GDF5.8200,1_HIST1H4C.8364,1_HMGN1.3150,1_HOXA2.3199,1_HOXB13.10481,1_IQGAP2.10788,1_IYD.389434,1_LIMCH1.22998,1_LZTS2.84445,1_MAST4.375449,1_MLLT11.10962,1_MPP5.64398,1_NLGN2.57555,1_NPLOC4.55666,1_PAEP.5047,1_PRC1.9055,1_PRKCE.5581,1_PTCD3.55037,1_RLN3.117579,1_SALL1.6299,1_SEMA3G.56920,1_SH3RF1.57630,1_SLC10A6.345274,1_SOS2.6655,1_STON1.GTF2A1L.286749,1_STRADA.92335,1_UBE2T.29089,1_VWA5B1.127731,1_WDR72.256764,1_ZPBP.11055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
