0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_AKAP6.9472,1_ANKRD56.345079,1_AP1AR.55435,1_B3GNTL1.146712,1_BBOX1.8424,1_BCL3.602,1_C17orf62.79415,1_C6orf1.221491,1_C6orf186.728464,1_CMAS.55907,1_CSNK1D.1453,1_DDAH1.23576,1_DLX4.1748,1_F2RL1.2150,1_FKBP11.51303,1_FOXP4.116113,1_GIPC2.54810,1_GOLGA3.2802,1_GPSM1.26086,1_GTPBP2.54676,1_H2AFX.3014,1_HOXA2.3199,1_IQGAP2.10788,1_NBEA.26960,1_NME1.4830,1_OTX1.5013,1_PIPSL.266971,1_PPP1R1A.5502,1_PPP2R2C.5522,1_PSMD13.5719,1_PTPRG.5793,1_PUS1.80324,1_RORA.6095,1_SAA1.6288,1_SEMA3G.56920,1_SIPA1L1.26037,1_SLC25A32.81034,1_SNF8.11267,1_STRADA.92335,1_TARBP2.6895,1_TOMM6.100188893,1_TUBA1C.84790,1_UBE2C.11065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
