0_AURKA,0_C2orf40,0_C6orf97,0_ESR1,0_FAM47E,0_FMOD,0_FOXC1,0_GINS3,0_GPR77,0_MANF,0_MIA,0_MLPH,0_THSD4,0_TPX2,0_WDR67
1,1,0,1,1,0,1,1,1,0,0,0,0,0,1
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
