0_BUB1,0_C6orf97,0_CEP55,0_FOXC1,0_IGF1R,0_KIF2C,0_NOSTRIN,0_SCGB3A2,0_ZNF12
1,1,0,1,0,0,0,1,1
0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
