0_C6orf97,0_CDC25A,0_CEP55,0_ERBB2,0_FAM171A1,0_GDF5,0_GPR77,0_KRT5,0_SFRP1,0_WDR67
0,1,0,1,0,1,1,1,0,0
0,0,0,1,0,0,1,1,0,1
1,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
