0_C15orf23,0_C6orf97,0_CCNB1,0_ERBB2,0_ESR1,0_FOXC1,0_KRT5,0_PDE2A,0_SPRY4
0,0,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,0
1,0,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
