0_ABCC2,0_ANKRD37,0_AP1AR,0_ARSG,0_AR,0_ASCC3,0_ATXN7,0_AXIN1,0_BOLA2,0_C15orf32,0_C6orf97,0_CAP2,0_CCL24,0_CCNB2,0_CD1E,0_CDC25A,0_CNTD2,0_CPA4,0_CYP3A7,0_DEFB1,0_DLG3,0_ERBB2,0_FAM149A,0_FAM72D,0_FOXC1,0_FSCN1,0_GABBR2,0_GSG2,0_KATNAL2,0_LASS2,0_LOC145837,0_LOC84856,0_MBD3,0_MGC3771,0_MIB2,0_MOSC2,0_MRPL3,0_MYO18B,0_NAPG,0_NCRNA00081,0_NEFL,0_NNAT,0_NRL,0_NUBP2,0_NUP93,0_ORMDL3,0_PALMD,0_PGLS,0_PHF15,0_PHKA2,0_PITPNM3,0_PTGR1,0_RBM27,0_RCCD1,0_SCN3B,0_SERPINA6,0_SFRP1,0_SGOL1,0_SOX17,0_SPAG16,0_SPSB3,0_TCF19,0_THSD4,0_TMEM14B,0_TMEM194B,0_USP17L2,0_USP26,0_VIPR1,0_WDR67,0_WDR81,0_ZNF804B
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
