0_age_at_initial_pathologic_diagnosis,1_hsa.miR.10b.3p,1_hsa.miR.15b.5p,1_hsa.miR.16.2.3p,1_hsa.miR.222.5p,1_hsa.miR.335.3p,1_hsa.miR.9.5p,2_ASCC1.51008,2_CCDC46.201134,2_CCNB1.891,2_CENPN.55839,2_CKAP2L.150468,2_CUL7.9820,2_DLL3.10683,2_FAM171A1.221061,2_FNDC3B.64778,2_FXYD6.53826,2_GLUD1.2746,2_HILS1.373861,2_HS3ST3B1.9953,2_IQGAP1.8826,2_IQGAP2.10788,2_IQGAP3.128239,2_NCAPG.64151,2_NDST4.64579,2_PLA2G6.8398,2_RGR.5995,2_RPS6.6194,2_SEL1L3.23231,2_SEMA4G.57715,2_SERPINE1.5054,2_SIPA1L3.23094,2_SMS.6611,2_SP5.389058,2_TAGLN2.8407,2_TCF25.22980,2_TMPRSS3.64699,2_TPX2.22974,2_TRIM8.81603,2_TRPM8.79054,2_WEE1.7465,2_ZDHHC22.283576,2_ZNF32.7580,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
