0_age_at_initial_pathologic_diagnosis,1_hsa.miR.10b.3p,1_hsa.miR.15b.5p,2_ART3.419,2_ASCC1.51008,2_C12orf34.84915,2_CEACAM1.634,2_CSMD3.114788,2_CUTC.51076,2_FAM110B.90362,2_FAM126A.84668,2_GALNS.2588,2_GGT8P.645367,2_GMPR2.51292,2_GPR1.2825,2_IQGAP1.8826,2_ISL2.64843,2_ITGB3BP.23421,2_KLRC2.3822,2_LATS2.26524,2_LOC145837.145837,2_MUCL1.118430,2_NTNG2.84628,2_OAT.4942,2_OSMR.9180,2_OSR2.116039,2_PON1.5444,2_PTGFRN.5738,2_SARDH.1757,2_SCMH1.22955,2_SERP2.387923,2_SERPING1.710,2_SFRP2.6423,2_SGOL2.151246,2_SLC26A2.1836,2_SNX32.254122,2_SPRY1.10252,2_SULF2.55959,2_TEF.7008,2_TNFRSF11B.4982,2_TPX2.22974,2_UBXN1.51035,2_UPF3A.65110,2_WEE1.7465,2_ZC3HAV1.56829,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
