0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.miR.1226.3p,1_hsa.miR.150.5p,1_hsa.miR.186.5p,1_hsa.miR.301a.3p,1_hsa.miR.3074.5p,1_hsa.miR.3170,1_hsa.miR.3605.3p,1_hsa.miR.3677.3p,1_hsa.miR.3678.5p,1_hsa.miR.940,2_ABHD12B.145447,2_ADCY2.108,2_BIN2.51411,2_BRP44.25874,2_C12orf23.90488,2_C21orf67.84536,2_CCDC53.51019,2_CCL23.6368,2_CDKN2AIPNL.91368,2_CTAGE9.643854,2_DSCR9.257203,2_GALNT12.79695,2_HSD11B1L.374875,2_HTR3A.3359,2_IFITM3.10410,2_KIAA0146.23514,2_KLHL12.59349,2_LOC401463.401463,2_NCRNA00169.400508,2_NDUFAF1.51103,2_NUDT13.25961,2_OPTN.10133,2_PFKFB2.5208,2_PGM1.5236,2_PGRMC1.10857,2_PSMG2.56984,2_RPS8.6202,2_SH3D20.201175,2_SLC12A3.6559,2_TADA2B.93624,2_TMEM79.84283,2_TRIP4.9325,2_TSN.7247,2_UBE2E1.7324,2_VNN2.8875,2_ZNF679.168417,2_ZNF703.80139,2_ZNF883.169834
1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
