inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
0.9710689011547853,0.21320071635561044,0.9599367571686788,0.21320071635561044,0.4757451636882279,0.21320071635561044
0.9707502844610023,0.21821789023599236,0.957871230698231,0.21821789023599236,0.4849725322874048,0.21821789023599236
0.9703213028838514,0.22360679774997896,0.957871230698231,0.22360679774997896,0.4849725322874048,0.22360679774997896
0.9688811453024752,0.22941573387056177,0.957991340793976,0.22941573387056177,0.5090116156091546,0.22941573387056177
0.9709144437367803,0.23570226039551584,0.9568897924530086,0.23570226039551584,0.5090116156091546,0.23570226039551584
0.9560415039348295,0.24253562503633297,0.9360331886861024,0.24253562503633297,0.4183779847341162,0.24253562503633297
0.9523872046594856,0.25,0.9331832037642349,0.25,0.3981017362978721,0.25
0.9516627352171662,0.2581988897471611,0.9335747946926771,0.2581988897471611,0.41900708821784244,0.2581988897471611
0.9423828028749384,0.2672612419124244,0.9232954458530847,0.2672612419124244,0.3978089137407466,0.2672612419124244
0.9385757641462659,0.2773500981126146,0.9182401946186163,0.2773500981126146,0.3529594070514775,0.2773500981126146
0.9356271936512249,0.28867513459481287,0.9129005310683527,0.28867513459481287,0.3687238557508202,0.28867513459481287
0.9228735118459237,0.30151134457776363,0.8949893240414857,0.30151134457776363,0.3396781284681147,0.30151134457776363
0.9303907487996274,0.31622776601683794,0.873849194570753,0.31622776601683794,0.3807426858527682,0.31622776601683794
0.921358133503477,0.3333333333333333,0.8567522167368556,0.3333333333333333,0.3390241411271144,0.3333333333333333
0.8980113252547168,0.3535533905932738,0.8570353811087954,0.3535533905932738,0.3978285790943571,0.3535533905932738
0.9011621612857235,0.3779644730092272,0.8199551308979555,0.3779644730092272,0.4268795288486526,0.3779644730092272
0.8656433368062759,0.408248290463863,0.835191590305138,0.408248290463863,0.3163173652694611,0.408248290463863
0.8616834112791179,0.4472135954999579,0.7823689269366922,0.4472135954999579,0.3314624687632609,0.4472135954999579
0.8514938585515993,0.5,0.7180482256354047,0.5,0.27728348940101993,0.5
0.790029166311561,0.5773502691896257,0.6806325705942816,0.5773502691896257,0.4544367956999387,0.5773502691896257
0.7344023332422361,0.7071067811865476,0.6379969387080839,0.7071067811865476,0.4321009627297286,0.7071067811865476
0.5,1.0,0.5,1.0,0.5,1.0
