0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ADH5.128,1_C19orf48.84798,1_C19orf53.28974,1_C1orf77.26097,1_C6orf186.728464,1_C8orf59.401466,1_CCT3.7203,1_DAZAP1.26528,1_DKFZp686O24166.374383,1_DSCR9.257203,1_F2RL1.2150,1_FLAD1.80308,1_GYG2.8908,1_HIPK3.10114,1_KIAA1671.85379,1_LIMCH1.22998,1_MKS1.54903,1_MRPL14.64928,1_MRPL51.51258,1_NARF.26502,1_OTUD7A.161725,1_PA2G4P4.647033,1_PCGF5.84333,1_PCNX.22990,1_PIK3C2A.5286,1_PIPSL.266971,1_PODXL.5420,1_PRKRIP1.79706,1_PSMD3.5709,1_PTTG2.10744,1_RNF152.220441,1_SAA1.6288,1_SGCB.6443,1_SHROOM4.57477,1_SIPA1L1.26037,1_SNRPC.6631,1_SPTBN1.6711,1_SRP19.6728,1_SSFA2.6744,1_SUV420H2.84787,1_TAGLN2.8407,1_TBCE.6905,1_TNFRSF19.55504,1_UBE2S.27338,1_ZGPAT.84619,1_ZNF570.148268,1_ZNF598.90850
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
