0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ACTN2.88,1_ADAMTS14.140766,1_ANKRD56.345079,1_ARHGAP5.394,1_ASGR1.432,1_BARX1.56033,1_C11orf73.51501,1_C15orf42.90381,1_CBX4.8535,1_CHFR.55743,1_CKAP4.10970,1_CLCN5.1184,1_CYP3A7.1551,1_DAP3.7818,1_DDAH1.23576,1_DNTTIP1.116092,1_EMX2.2018,1_FAM160A1.729830,1_GIPC2.54810,1_HN1.51155,1_IGDCC4.57722,1_LIMCH1.22998,1_LOC286467.286467,1_LRFN1.57622,1_MEA1.4201,1_MID1IP1.58526,1_MSTO1.55154,1_NCOA4.8031,1_NME1.4830,1_NOP56.10528,1_PFDN4.5203,1_PIPSL.266971,1_PLEKHA9.51054,1_PLK1.5347,1_PLXNB3.5365,1_PPPDE2.27351,1_SH3BGRL3.83442,1_SLC1A1.6505,1_STAT2.6773,1_STON1.GTF2A1L.286749,1_SUCLA2.8803,1_SYNJ2BP.55333,1_TRIP13.9319,1_WDR7.23335,1_ZNF613.79898,1_ZNF780A.284323
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
