0_ajcc_pathologic_tumor_stage_Stage IV,1_AKAP6.9472,1_ANO4.121601,1_ATP8B3.148229,1_AUP1.550,1_BARX1.56033,1_BHMT.635,1_C14orf34.645687,1_CCDC121.79635,1_CENPF.1063,1_CNNM2.54805,1_COL4A4.1286,1_CUBN.8029,1_CYP3A7.1551,1_DEPDC1.55635,1_DPP3.10072,1_DSCR9.257203,1_FAM104A.84923,1_FAM54A.113115,1_FAM72A.729533,1_FNBP1L.54874,1_GRIN3B.116444,1_GTPBP2.54676,1_GYG2.8908,1_IGDCC4.57722,1_IGF2BP3.10643,1_IGFN1.91156,1_IL1RN.3557,1_LBP.3929,1_LCTL.197021,1_LOC286467.286467,1_LPAR2.9170,1_MRPL47.57129,1_MYBL2.4605,1_NARF.26502,1_ONECUT2.9480,1_OR13A1.79290,1_PPP1R1A.5502,1_PPP2R2C.5522,1_RECQL4.9401,1_SERPINA4.5267,1_TRAF7.84231,1_YARS2.51067,1_YKT6.10652,1_ZFYVE1.53349,1_ZNF570.148268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
