0_ABCG1,0_ADAM8,0_APOD,0_BCLAF1,0_BFAR,0_BNC1,0_C11orf92,0_C17orf51,0_C1orf97,0_C21orf29,0_C4orf26,0_C6orf142,0_CBX1,0_CCDC153,0_CCDC78,0_CD80,0_CEL,0_CLEC6A,0_CORO7,0_CRISP3,0_CRTAC1,0_CTTNBP2,0_DES,0_DIO3OS,0_DKK3,0_DNAH2,0_EDA2R,0_EGFR,0_EHD3,0_F13A1,0_FAM9C,0_FLJ42289,0_FOXD2,0_FOXQ1,0_GAD1,0_GPR18,0_GPRC5B,0_GRIA3,0_GRIK1,0_HBB,0_HES5,0_HIST2H2AA3,0_IGSF9,0_KIAA0427,0_KIF1A,0_KLHL30,0_L1CAM,0_LOC100130386,0_LOC647946,0_LPL,0_MMP12,0_MYOT,0_NFE2,0_NIPSNAP3B,0_NKAIN1,0_NOLC1,0_PER2,0_PLEKHO1,0_ROBO2,0_ROD1,0_SEPT12,0_SERPINA1,0_SFTPA1,0_SILV,0_SLAMF6,0_SLC14A2,0_SLC16A7,0_SLC25A41,0_SLC4A4,0_SLC6A3,0_SLITRK3,0_SMR3B,0_SNORA20,0_SNRPD1,0_SNW1,0_TAC1,0_TAF6,0_TIMP2,0_TMEM31,0_TNNI3,0_TPI1P2,0_TRMT2A,0_TTYH1,0_TYRP1,0_VAT1L,0_WASF3,0_WHAMML1,0_ZP1
0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1
0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
