0_BAMBI,0_C18orf56,0_C6orf81,0_CFHR3,0_CHMP4A,0_CHRNA9,0_CPB2,0_CRYAB,0_CST1,0_CYP3A5,0_ENAM,0_F2RL2,0_FAM111A,0_FCER2,0_GCAT,0_GOSR2,0_HCRT,0_HES5,0_HTR4,0_KCNH5,0_KCNJ11,0_KDM5B,0_KRTAP5-1,0_L1CAM,0_LDLRAD3,0_LYVE1,0_MAB21L2,0_MYH11,0_NBR2,0_PCDHGB5,0_PCYT2,0_PLK4,0_PSENEN,0_PSMB3,0_PTPRQ,0_RGNEF,0_S100A12,0_SCAF1,0_SCGB3A2,0_SEPT12,0_SLC25A41,0_SLC39A8,0_SLITRK3,0_SLMO1,0_SNX4,0_SOX30,0_STXBP1,0_TAPBPL,0_TMPPE,0_TOP1P1,0_TUBA3D,0_TYRP1,0_VSIG8,0_WDR75
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
