0_BRSK1,0_CCL25,0_DDAH1,0_DSTN,0_KCNJ11,0_L1CAM,0_SLC39A8,0_TMEM31,0_ZNF681
1,1,0,0,0,1,0,1,1
0,1,1,1,0,0,1,0,0
0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
