gen,0_A2BP1,0_ABCB5,0_ABCC6,0_ACAD11,0_ACAD8,0_ACER2,0_ACSS3,0_ACTG1,0_ACVR2A,0_ACYP1,0_ADAT2,0_ADCYAP1,0_ADH5,0_ADRA2C,0_ADRM1,0_AFAP1,0_AGMAT,0_AGPAT9,0_AGXT,0_AHCY,0_AIFM2,0_AIM1,0_AKAP1,0_AKR1C3,0_ALB,0_ALDH18A1,0_ALG1,0_ALG8,0_ALKBH1,0_AMY2B,0_ANKAR,0_ANKRD13B,0_ANKRD19,0_ANO7,0_ANP32C,0_ANXA3,0_AOC2,0_APCDD1,0_APOA1,0_APOBEC4,0_APOC2,0_APOD,0_APOL2,0_ARC,0_ARFIP2,0_ARHGDIB,0_ARRDC4,0_ARRDC5,0_ARSI,0_ASPHD2,0_ASTL,0_ATAD3A,0_ATHL1,0_ATOH8,0_ATP1A2,0_ATP1A3,0_ATP1B4,0_ATP5I,0_ATP6V0D2,0_ATP7A,0_ATPAF2,0_AVPI1,0_AZI1,0_B3GAT1,0_BAGE2,0_BAHCC1,0_BAI2,0_BAMBI,0_BCAS3,0_BCL2A1,0_BCL2L14,0_BCL6,0_BFAR,0_BICC1,0_BMX,0_BPIL1,0_BRD4,0_BRMS1L,0_BRP44L,0_BTBD17,0_BTF3L4,0_BUB1,0_C10orf108,0_C10orf10,0_C11orf54,0_C11orf59,0_C11orf92,0_C12orf39,0_C12orf52,0_C14orf119,0_C14orf139,0_C14orf80,0_C15orf53,0_C16orf88,0_C17orf37,0_C17orf62,0_C17orf75,0_C17orf89,0_C19orf38,0_C1QL2,0_C1QTNF9B,0_C1orf115,0_C1orf172,0_C1orf228,0_C1orf61,0_C20orf11,0_C20orf202,0_C20orf24,0_C21orf29,0_C21orf71,0_C21orf82,0_C22orf39,0_C3orf50,0_C3orf55,0_C6orf103,0_C6orf141,0_C6orf142,0_C6orf58,0_C6orf59,0_C6orf89,0_C7orf29,0_C8orf71,0_C9orf150,0_C9orf171,0_C9orf3,0_C9orf79,0_C9orf98,0_CACNA1C,0_CALCR,0_CALY,0_CAPRIN1,0_CAT,0_CAV2,0_CCDC102B,0_CCDC111,0_CCDC116,0_CCDC135,0_CCDC137,0_CCDC141,0_CCDC72,0_CCDC78,0_CCDC88C,0_CCDC8,0_CCDC97,0_CCL14,0_CCL1,0_CCL2,0_CCS,0_CCT3,0_CD163L1,0_CD300LF,0_CD302,0_CD72,0_CD83,0_CDC40,0_CDC42EP3,0_CDC42,0_CDC45,0_CDKN2D,0_CDX1,0_CEL,0_CENPI,0_CENPO,0_CES1,0_CFHR1,0_CGRRF1,0_CHGB,0_CHRM1,0_CHRNA9,0_CHST11,0_CHST3,0_CKMT2,0_CLDN11,0_CLEC4M,0_CLEC6A,0_CLU,0_CLYBL,0_CMYA5,0_CNIH2,0_CNTD2,0_CNTF,0_COL11A1,0_COMP,0_COPB2,0_COTL1,0_CPA3,0_CR1,0_CRADD,0_CRBN,0_CRIP1,0_CRIPAK,0_CRISP2,0_CRISP3,0_CRISPLD1,0_CRTAC1,0_CRTAP,0_CSDE1,0_CSE1L,0_CSNK2A2,0_CST4,0_CTNNA3,0_CTTNBP2,0_CUBN,0_CUTC,0_CXCL13,0_CXCL2,0_CXCR3,0_CYP1A1,0_CYP1A2,0_CYP24A1,0_CYP2C19,0_CYP4B1,0_CYP4F11,0_CYP8B1,0_CYTL1,0_DAB2IP,0_DCAF10,0_DCDC2,0_DDIT4,0_DDX3X,0_DDX41,0_DDX49,0_DEFB1,0_DENND1C,0_DENND2D,0_DENND4C,0_DGKI,0_DHRS13,0_DIRC3,0_DISP1,0_DIXDC1,0_DKK2,0_DKK3,0_DLK1,0_DNAH2,0_DPH3B,0_DSCAML1,0_DSCR6,0_DTX4,0_DUOX2,0_E2F2,0_ECEL1,0_EDA2R,0_EDN3,0_EFNB1,0_EGFR,0_EGLN2,0_EGR1,0_EIF1B,0_ELOVL2,0_ELOVL3,0_EMID2,0_ENAM,0_ENSA,0_ENTPD6,0_ENTPD7,0_EPC2,0_EPHA7,0_ERCC6L,0_ERH,0_ESPL1,0_F5,0_F8,0_FAHD1,0_FAHD2A,0_FAIM3,0_FAM125B,0_FAM128A,0_FAM13AOS,0_FAM173A,0_FAM184B,0_FAM190B,0_FAM196B,0_FAM200B,0_FAM3D,0_FAM46B,0_FAM55B,0_FAM57B,0_FAM72D,0_FAM92A3,0_FAM95B1,0_FAM9C,0_FANCD2,0_FBF1,0_FBP1,0_FBXO31,0_FBXO6,0_FCF1,0_FCGR1B,0_FGD6,0_FGF16,0_FHAD1,0_FKBP2,0_FLI1,0_FLJ35776,0_FLJ42289,0_FLJ42709,0_FLJ43950,0_FOLR1,0_FOXD4L1,0_FOXQ1,0_FREM1,0_FRMPD2,0_FSTL1,0_FXYD3,0_FYCO1,0_GABRA4,0_GABRD,0_GAD1,0_GALE,0_GALR1,0_GAPDH,0_GAPT,0_GAS2L2,0_GCFC1,0_GCK,0_GCOM1,0_GDPD5,0_GEMIN8P4,0_GEM,0_GFOD1,0_GINS4,0_GJA3,0_GK3P,0_GMPPA,0_GMPS,0_GPER,0_GPLD1,0_GPR126,0_GPR15,0_GPR34,0_GPR87,0_GPRC5A,0_GPSM3,0_GREB1L,0_GRIK1,0_GRK4,0_GRM4,0_GSDMD,0_GSTZ1,0_H1FX,0_H3F3A,0_HAGHL,0_HARBI1,0_HAS1,0_HBA1,0_HBB,0_HCG22,0_HCG2P7,0_HDAC1,0_HDAC4,0_HEATR2,0_HEG1,0_HEPN1,0_HERC2P2,0_HERC3,0_HES5,0_HEY1,0_HEY2,0_HIC2,0_HIRA,0_HIST1H1D,0_HIST1H2AJ,0_HIST1H2BC,0_HIST1H2BF,0_HIST1H4D,0_HIST1H4J,0_HIST3H2A,0_HK1,0_HLA-DPB2,0_HLA-DQB1,0_HLA-G,0_HLF,0_HMGB3,0_HMOX2,0_HNRNPAB,0_HNRNPL,0_HOXB13,0_HPN,0_HPSE2,0_HR,0_HSD3B2,0_HSPA12A,0_HTR1D,0_HTR3A,0_HUNK,0_IER5L,0_IGFBP1,0_IGFL2,0_IGFL3,0_IGSF9,0_IKBKE,0_IL1RAPL2,0_IL1RL2,0_IL6R,0_ILF3,0_ING3,0_INS-IGF2,0_IPO9,0_IQCJ,0_IQSEC1,0_IRX1,0_IRX2,0_IRX4,0_ISLR2,0_ISY1,0_ITGB1BP1,0_ITPR1,0_JMJD1C,0_JMJD4,0_KCNA1,0_KCNJ11,0_KCNJ13,0_KCNK3,0_KCNMA1,0_KCTD5,0_KIAA0467,0_KIAA1614,0_KIAA2022,0_KIF1A,0_KIF20A,0_KIF25,0_KLF1,0_KLF4,0_KLF7,0_KLHL31,0_KRT1,0_KRT37,0_KRT40,0_KRT74,0_KRTCAP2,0_KY,0_L1CAM,0_LACE1,0_LAGE3,0_LAMC1,0_LCP2,0_LDHAL6A,0_LEP,0_LGR4,0_LHX4,0_LIFR,0_LILRB4,0_LMBRD1,0_LMX1A,0_LOC100126784,0_LOC149837,0_LOC150776,0_LOC201651,0_LOC285847,0_LOC338758,0_LOC341056,0_LOC388387,0_LOC642597,0_LOC647946,0_LOC728264,0_LOC728643,0_LOC729467,0_LOC732275,0_LPA,0_LPCAT4,0_LQK1,0_LRP4,0_LRP5,0_LRRFIP2,0_LRRN4CL,0_LRRTM2,0_LRRTM3,0_LRRTM4,0_LSM14B,0_LYVE1,0_MAB21L2,0_MAD2L1BP,0_MAGEA1,0_MAP1LC3C,0_MAPK8IP2,0_MAPKAPK2,0_MAPRE2,0_MARCH10,0_MAVS,0_MCM4,0_MECP2,0_MED12,0_MEOX1,0_MERTK,0_METTL1,0_MET,0_MEX3A,0_MIA2,0_MID1,0_MIOS,0_MLXIPL,0_MLYCD,0_MMP11,0_MMP12,0_MMP25,0_MORC4,0_MRPL28,0_MRPL51,0_MRPS30,0_MS4A15,0_MS4A4A,0_MSX1,0_MT3,0_MTA1,0_MTG1,0_MTX1,0_MUCL1,0_MYADM,0_MYCBP,0_MYL2,0_MYO16,0_MYOC,0_MYOZ2,0_NAALAD2,0_NAGK,0_NAP1L2,0_NAP1L6,0_NASP,0_NAT10,0_NAT8B,0_NBR2,0_NCALD,0_NCOA4,0_NCRNA00052,0_NCRNA00162,0_NDUFAB1,0_NDUFB10,0_NDUFB1,0_NDUFB7,0_NELL2,0_NEUROG2,0_NFASC,0_NFE2L2,0_NFE2,0_NFKBIB,0_NKAIN1,0_NLGN4X,0_NLRP13,0_NLRP7,0_NME2,0_NMU,0_NOV,0_NPM1,0_NPR3,0_NRK,0_NTN4,0_NUAK1,0_NUBP1,0_OAS1,0_OBFC1,0_OIT3,0_OLFM4,0_OLIG3,0_OLR1,0_OR10A4,0_OR10V1,0_OR11A1,0_OR13F1,0_OR14C36,0_OR1E1,0_OR3A1,0_OR4C45,0_OR52B6,0_OR6C68,0_OST4,0_OTX1,0_OXR1,0_OXSM,0_PAAF1,0_PACSIN1,0_PAFAH1B1,0_PAK3,0_PAMR1,0_PAQR9,0_PARD3B,0_PARP9,0_PARS2,0_PART1,0_PASK,0_PAX1,0_PCDH10,0_PCDH15,0_PCDHA6,0_PCDHB17,0_PCDHGA1,0_PCDHGA7,0_PCDHGB2,0_PCOLCE2,0_PDE11A,0_PDE3B,0_PDGFD,0_PDPN,0_PDSS2,0_PELI1,0_PEX13,0_PEX16,0_PGA3,0_PGLYRP1,0_PGRMC2,0_PHF16,0_PHF23,0_PIF1,0_PL-5283,0_PLA2G4A,0_PLAC1,0_PLCXD3,0_PLEK2,0_PLEKHA9,0_PLEKHH2,0_PLXND1,0_PNLIPRP2,0_PNPLA2,0_PODN,0_POGK,0_POLD1,0_POLE3,0_PON3,0_POP7,0_PPAN,0_PPAPDC3,0_PPARA,0_PPCDC,0_PPCS,0_PPEF1,0_PPIAL4D,0_PPP1R15B,0_PPP1R3E,0_PQLC2,0_PRIMA1,0_PRNP,0_PROK1,0_PRPF4,0_PRPS2,0_PRR15,0_PRUNE,0_PSG6,0_PSMD8,0_PTCH2,0_PTCHD3,0_PTGES2,0_PTH1R,0_PTPN11,0_PTPN7,0_PTRF,0_PTX3,0_PUS1,0_PUSL1,0_PVRIG,0_PXT1,0_QKI,0_RAB28,0_RAB3A,0_RAB3C,0_RAB41,0_RABEP2,0_RABIF,0_RACGAP1,0_RAD52,0_RAG1AP1,0_RAG1,0_RAMP1,0_RAPGEF3,0_RAPGEFL1,0_RASD1,0_RAVER1,0_RBKS,0_RBMS1,0_RCBTB2,0_RCCD1,0_REV3L,0_RGAG4,0_RGS8,0_RHBDD3,0_RHBDF2,0_RNF112,0_RNF34,0_RNF38,0_RNF39,0_ROBO2,0_ROR1,0_RORB,0_RPL23AP53,0_RPL38,0_RPS2,0_RPS4Y1,0_RPS6KA4,0_RRP12,0_S100A4,0_S100B,0_SAAL1,0_SAP130,0_SATB2,0_SC65,0_SCG3,0_SCGB1D2,0_SCN2B,0_SCO2,0_SCRG1,0_SDR39U1,0_SDSL,0_SDS,0_SEC61A2,0_SEMA3D,0_SENP6,0_SEPT10,0_SEPT12,0_SERPINA1,0_SFRS2,0_SFTPA1,0_SFTPA2,0_SFTPB,0_SFTPD,0_SH2B2,0_SH2D7,0_SH3BP2,0_SH3BP5L,0_SHQ1,0_SIAH2,0_SILV,0_SKA1,0_SLC10A6,0_SLC12A3,0_SLC14A2,0_SLC16A12,0_SLC17A5,0_SLC19A2,0_SLC23A1,0_SLC25A25,0_SLC25A26,0_SLC25A30,0_SLC25A41,0_SLC25A42,0_SLC29A4,0_SLC2A1,0_SLC35F3,0_SLC5A11,0_SLC6A3,0_SLITRK3,0_SLITRK5,0_SMARCA1,0_SMR3B,0_SMUG1,0_SNED1,0_SNHG5,0_SNN,0_SNORA20,0_SNORD116-4,0_SNRNP25,0_SNRNP35,0_SNRPD2,0_SNTN,0_SNX22,0_SNX29,0_SORBS1,0_SPG21,0_SPINK4,0_SPNS2,0_SPP1,0_SRC,0_SRP54,0_SRP9,0_SS18L2,0_SSNA1,0_SSTR2,0_ST3GAL6,0_ST8SIA1,0_STAB1,0_STAU1,0_STK32A,0_STON1-GTF2A1L,0_STRA13,0_STUB1,0_SUN2,0_SUSD3,0_SUSD4,0_SVEP1,0_SVIP,0_SYCE2,0_SYT1,0_SYT4,0_TAC1,0_TAF7,0_TARS2,0_TAS2R38,0_TBC1D10B,0_TBC1D3H,0_TBR1,0_TCF21,0_TCN2,0_TCTEX1D1,0_TDGF3,0_TDP1,0_TDRD5,0_TECTB,0_TEKT5,0_TFAP4,0_THOC4,0_THSD1,0_THSD7B,0_TIFAB,0_TIGIT,0_TIMM10,0_TIMM17A,0_TIRAP,0_TKTL1,0_TMCC3,0_TMEM132A,0_TMEM141,0_TMEM155,0_TMEM164,0_TMEM170B,0_TMEM186,0_TMEM31,0_TMEM35,0_TMEM82,0_TNFAIP8L2,0_TNFRSF4,0_TNMD,0_TNNI3,0_TNNT1,0_TOP1,0_TOX3,0_TPI1P2,0_TPRG1L,0_TRAFD1,0_TRAPPC3,0_TRAPPC5,0_TRIM28,0_TRIM50,0_TRIM59,0_TRIM66,0_TRIM67,0_TRIM68,0_TRPS1,0_TRY6,0_TSPAN10,0_TSPAN1,0_TSPAN8,0_TTC4,0_TTYH1,0_TUBB3,0_TUBGCP5,0_TUFM,0_TYRP1,0_UBQLNL,0_UBTF,0_UFSP2,0_UGT2B4,0_UNC13B,0_UQCR10,0_USP14,0_USP25,0_USP29,0_USP45,0_USP5,0_VAT1L,0_VAV3,0_VGLL1,0_VIP,0_VSIG1,0_VWA1,0_VWCE,0_VWDE,0_WASF3,0_WBP4,0_WDHD1,0_WDR18,0_WDR74,0_WDR83,0_WISP1,0_WRNIP1,0_WSB1,0_XG,0_XPA,0_ZBP1,0_ZBTB17,0_ZBTB20,0_ZBTB44,0_ZC3H12C,0_ZC3H6,0_ZDHHC15,0_ZFP90,0_ZFYVE20,0_ZNF107,0_ZNF138,0_ZNF157,0_ZNF189,0_ZNF200,0_ZNF282,0_ZNF295,0_ZNF334,0_ZNF407,0_ZNF410,0_ZNF483,0_ZNF487,0_ZNF48,0_ZNF501,0_ZNF579,0_ZNF581,0_ZNF676,0_ZNF691,0_ZNF717,0_ZNF75D,0_ZNF778,0_ZNF804B,0_ZP1,0_ZSCAN1
0,0,35,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,62,0,0,13,0,22,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,10,0,22,82,71,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,161,84,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,31,138,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,79,114,0,0,0,55,0,0,178,0,112,62,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,120,9,30,0,0,0,0,0,0,40,0,0,91,151,0,112,0,54,0,130,28,0,50,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,26,58,0,0,0,0,0,0,78,151,0,0,49,0,0,0,79,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,106,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,120,70,0,0,0,0,40,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,42,57,0,0,0,0,115,121,0,24,0,0,0,0,3,0,22,32,0,0,123,0,0,0,0,0,0,0,207,0,0,0,0,0,0,26,0,0,0,32,0,177,0,112,0,17,0,0,0,7,7,0,61,0,0,113,0,0,0,0,0,34,170,0,29,0,0,0,0,0,0,0,0,0,0,33,229,0,0,0,0,0,145,21,0,86,0,0,0,0,0,121,0,0,0,0,0,0,125,0,0,0,0,0,228,0,0,0,0,0,0,44,0,54,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,69,92,0,0,150,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,90,0,0,0,104,0,0,26,0,49,0,0,0,0,0,0,22,0,0,0,0,0,0,79,84,12,0,0,0,0,36,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,4,0,0,0,0,0,0,0,43,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,197,169,0,165,0,0,40,0,0,0,0,0,0,177,40,0,71,90,0,0,0,75,0,0,0,229,0,0,0,0,59,79,153,0,0,134,0,0,149,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,118,0,0,0,0,0,93,0,0,0,0,0,0,0,0,30,0,19,0,0,0,0,9,0,0,0,0,0,0,26,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,37,0,0,0,166,0,84,0,0,0,31,14,0,108,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,68,0,0,0,130,0,0,0,151,0,0,0,0,0,0,0,69,0,0,0,139,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,220,112
100,1,0,0,0,0,1,7,10,0,0,0,17,5,3,0,1,0,0,0,6,1,0,0,64,2,4,0,0,0,0,0,0,0,157,0,0,0,0,0,3,1,145,0,0,0,0,31,0,0,0,0,0,0,2,4,2,0,46,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,4,0,4,0,88,0,21,0,0,0,0,1,11,0,0,22,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,29,5,1,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,1,2,0,0,2,0,3,6,0,1,0,50,0,27,1,0,0,112,0,0,0,5,0,0,0,0,0,463,0,1,2,0,1,11,0,0,9,0,0,0,0,1,0,24,0,119,0,0,0,0,0,0,0,0,0,0,1,0,140,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,18,0,0,22,0,0,0,0,3,0,8,0,0,324,0,0,0,4,1,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,1,1,22,0,1,1,2,0,0,0,1,3,2,0,1,12,0,1,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,36,0,0,1,24,434,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,2,0,29,0,0,0,4,0,2,0,0,106,0,0,0,0,0,0,1,0,0,0,5,0,0,281,0,0,0,0,1,0,1,257,0,13,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,1,0,384,0,0,1,3,0,0,0,0,0,3,0,0,0,379,4,0,0,0,0,0,14,4,0,0,0,0,0,11,361,0,0,0,0,0,0,0,0,2,0,0,1,463,2,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,66,0,0,0,0,0,0,3,1,0,0,0,0,22,78,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,3,0,0,4,4,0,57,0,1,0,4,0,0,47,0,157,0,0,0,0,4,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,32,1,1,0,10,0,0,0,0,0,0,5,0,0,0,0,0,56,0,346,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,2,0,2,0,0,1,0,4,2,2,0,108,0,0,0,1,0,0,0,3,0,0,0,21,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,114,0,1,0,0,0,2,11,0,2,0,1,132,3,0,0,0,3,8,0,0,0,0,0,0,0,0,1,15,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,2,4,1,13,0,0,1,0,0,0,190,0,0,3,0,8,1,1,0,0,288,0,0,0,0,17,0,1,0,0,0,0,0,1,0,0,1,432,33,0,304,1,7,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,316,56,0,0,0,0,4,0,0,0,0,0,1,398,2,50,4,0,0,0,0,1,0,0,2,0,1,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,165,19,0,0,0,1,0,0,1,0,1,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,424,0,323,1,0,0,0,0,2,1,0,0,0,1,2,0,1,0,0,0,3,4,0,3,0,1,0,53,0,0,0,269,1,0,0,290,0,0,0,0,0,2,0,1,0,0,0,313,0,0,0,169,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,40,0,0,1,0,1,0,0,75,0,0,0,0,4,1,3,1,0,1,4,4,398,0
200,0,0,1,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,34,217,0,0,0,2,20,2,0,0,2,146,0,0,0,0,0,0,0,215,84,2,0,0,43,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,0,0,6,0,1,54,0,9,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,83,0,1,4,0,0,0,1,0,41,12,0,0,2,1,71,1,0,0,0,0,0,0,1,0,1,0,1,10,0,0,17,1,3,0,1,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,2,52,6,1,0,0,0,202,0,0,1,1,0,0,0,0,0,445,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,105,0,0,0,0,0,0,0,0,0,28,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,325,5,0,21,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,448,0,0,1,0,0,0,0,0,1,1,16,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,140,0,3,12,0,0,1,0,0,0,0,1,0,0,298,0,0,0,0,0,0,0,186,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,19,0,0,398,0,0,0,0,0,0,0,0,1,0,0,113,0,387,0,0,2,0,2,0,7,0,0,0,0,0,3,131,313,0,2,0,1,0,0,0,0,0,0,0,0,466,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,53,0,1,0,1,0,0,48,0,0,0,0,0,37,184,1,1,0,0,0,0,1,3,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,4,0,101,0,271,0,21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,212,0,4,0,0,0,0,0,2,2,0,2,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,166,1,1,0,0,0,1,0,91,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,257,1,0,0,0,1,0,43,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,89,1,0,0,23,0,1,225,1,0,0,2,0,0,0,0,0,209,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,362,2,5,0,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,1,13,2,303,115,0,5,0,0,0,77,0,0,0,0,0,422,0,221,0,0,0,71,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,223,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,33,0,4,0,2,437,0,375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,201,0,0,0,341,0,0,0,1,0,0,1,0,0,0,0,348,0,0,0,225,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,4,1,0,93,1,0,0,1,0,1,1,215,0,1,0,0,0,0,0,0,0,0,0,40,431,0
