gen,evals,gen_feats,explored,survival SKSurv Cox model adjusted concordance index_min,survival SKSurv Cox model adjusted concordance index_avg,survival SKSurv Cox model adjusted concordance index_max,survival SKSurv Cox model adjusted concordance index_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
0,500,379,379,0.356424940338839,0.5312529929412737,0.6889320892917793,0.06643223170010755,0.14002800840280097,0.2541134464121526,1.0,0.14684914904861593
1,505,620,625,0.356424940338839,0.5550171063181943,0.6903911787728505,0.06624213659890557,0.1336306209562122,0.2728921016159739,1.0,0.14087400056537272
2,500,633,831,0.356424940338839,0.5711543981941806,0.6903911787728505,0.06114104053186631,0.14002800840280097,0.26943259686760584,1.0,0.1366168821296805
3,500,709,1062,0.356424940338839,0.5803882633194526,0.6903911787728505,0.062260277762555806,0.1386750490563073,0.2715414546330669,1.0,0.1379103171432346
4,500,743,1289,0.356424940338839,0.587147659679124,0.7026891612153157,0.06129339813221184,0.13736056394868904,0.2753134715731411,1.0,0.13833375625999392
5,500,721,1476,0.356424940338839,0.5949322242380508,0.7026891612153157,0.06053918939032521,0.1336306209562122,0.2725933847639177,1.0,0.13776759007529127
6,500,741,1642,0.356424940338839,0.6017655243723189,0.7026891612153157,0.06084709544007822,0.1336306209562122,0.27079675223062316,1.0,0.1383033707999309
7,500,764,1822,0.356424940338839,0.6100991570979643,0.7026891612153157,0.05971251696600845,0.13130643285972254,0.26715257756460015,1.0,0.13837043822878145
8,500,744,1976,0.356424940338839,0.6128739329535103,0.7026891612153157,0.06037805610307346,0.125,0.271086360778937,1.0,0.13871292630622484
9,500,746,2116,0.356424940338839,0.6192053783461412,0.7077498996973661,0.058942622023597395,0.125,0.26645927483749515,1.0,0.1360949049160537
10,500,761,2237,0.356424940338839,0.6253612900673581,0.7190707741308542,0.05977652645164019,0.12403473458920845,0.26251821275684983,1.0,0.1372160998866047
11,500,769,2371,0.356424940338839,0.6276502324986949,0.7215181549409277,0.06032867437555134,0.12403473458920845,0.2649458575532892,1.0,0.13644361838041866
12,500,775,2502,0.356424940338839,0.6316086675583826,0.7241619297374691,0.0591276448563043,0.12403473458920845,0.2630556893107996,1.0,0.13316024962162323
13,500,757,2604,0.356424940338839,0.6342631509391599,0.7241619297374691,0.06006629093785882,0.12309149097933274,0.26358946839617753,1.0,0.13347999790896775
14,500,776,2716,0.356424940338839,0.6381415059093751,0.7241619297374691,0.060501897499424494,0.12309149097933274,0.26212537698257077,1.0,0.13408624870384428
15,500,788,2816,0.356424940338839,0.6413981690898095,0.7268741742442233,0.06066723833529225,0.12309149097933274,0.26102169441275613,1.0,0.13390082997537503
16,500,785,2915,0.356424940338839,0.6478740775131923,0.7298080085630654,0.060226543367104535,0.12216944435630522,0.2539724189606555,1.0,0.13300556425280535
17,500,799,3018,0.356424940338839,0.6468634988320779,0.7298080085630654,0.06203389308403258,0.12216944435630522,0.260939664894619,1.0,0.13501026684415607
18,500,777,3117,0.356424940338839,0.6496880096295315,0.7298080085630654,0.06140964677973859,0.12216944435630522,0.25998978379103754,1.0,0.13348389668355692
19,500,799,3220,0.356424940338839,0.6551873118490549,0.7298080085630654,0.06139565863852322,0.12216944435630522,0.2550520186244151,1.0,0.13312289892754803
20,500,789,3309,0.356424940338839,0.6544657937738363,0.7313437429687811,0.06348170875664955,0.12216944435630522,0.2612085729826491,1.0,0.1358611100442695
21,500,800,3400,0.356424940338839,0.6579596237314108,0.7313437429687811,0.06284085593052631,0.12126781251816648,0.2583822390597611,1.0,0.13484413834421888
22,500,790,3459,0.356424940338839,0.6583714304852829,0.7353419791047895,0.06340070430642963,0.12126781251816648,0.26183274724079014,1.0,0.135037791970758
23,500,799,3523,0.356424940338839,0.6592970997178927,0.7379383393237144,0.06322542020771134,0.12126781251816648,0.2637506853133781,1.0,0.13380765754144047
24,500,793,3595,0.356424940338839,0.6631184058408439,0.7379383393237144,0.06392552592726894,0.12126781251816648,0.2613877877223276,1.0,0.13476903105714955
25,500,800,3665,0.356424940338839,0.6637142801317878,0.7379383393237144,0.06391351665760592,0.12126781251816648,0.26376149967317963,1.0,0.1340787654138159
26,500,798,3729,0.356424940338839,0.6658468265904647,0.7379383393237144,0.06422034078736127,0.12126781251816648,0.26317763723268617,1.0,0.1339882609642411
27,500,778,3789,0.356424940338839,0.6707010553015237,0.7393160093773053,0.06255085215621614,0.12126781251816648,0.257588876751336,1.0,0.13167515257689585
28,500,793,3852,0.356424940338839,0.6716029934776905,0.7393160093773053,0.0623999197116418,0.12126781251816648,0.2585040742157997,1.0,0.13116719866572552
29,500,779,3901,0.356424940338839,0.6721219071848474,0.7393160093773053,0.06405212055419872,0.12126781251816648,0.2607809517733555,1.0,0.13335533300503594
30,500,789,3951,0.356424940338839,0.674253014493131,0.7435233648127811,0.0631710172198563,0.12126781251816648,0.25966374880376064,1.0,0.1317015372495924
31,500,795,3992,0.356424940338839,0.6755953631142578,0.7435233648127811,0.0628165902260036,0.12126781251816648,0.259379792352501,1.0,0.1306210778471699
32,500,800,4034,0.356424940338839,0.6772077365866512,0.7437696985877984,0.06314207205942841,0.12126781251816648,0.2590293973975104,1.0,0.13136567442189867
33,500,777,4074,0.356424940338839,0.6782412311475646,0.7442283809759364,0.06306329758362769,0.12126781251816648,0.25907622929758267,1.0,0.13134899646152756
34,500,765,4111,0.356424940338839,0.6791370557937284,0.7442283809759364,0.0636933068801871,0.12126781251816648,0.25975141251602474,1.0,0.13225646900425247
35,500,803,4160,0.356424940338839,0.6777291720869796,0.7470661879909479,0.06481100809242643,0.12216944435630522,0.26549345925762224,1.0,0.13269687916403325
36,500,774,4195,0.356424940338839,0.6793730393638655,0.7470661879909479,0.06480352370954706,0.12309149097933274,0.2646600083707982,1.0,0.13227453807214415
37,500,772,4239,0.356424940338839,0.6803538908214657,0.7470661879909479,0.06500551725143806,0.12216944435630522,0.2650486472452428,1.0,0.13289273879937702
38,500,802,4278,0.356424940338839,0.6811879720830443,0.747553774969909,0.06543295088946323,0.12216944435630522,0.2651675546339188,1.0,0.13338562678571647
39,500,773,4308,0.356424940338839,0.6843280534659626,0.747553774969909,0.06496731605337012,0.12216944435630522,0.26128284368586663,1.0,0.13339290563738396
40,500,759,4332,0.356424940338839,0.6855213559057314,0.747553774969909,0.06440363718344626,0.12216944435630522,0.2602496901463618,1.0,0.13235288111846621
41,500,807,4360,0.356424940338839,0.6852451118032205,0.747553774969909,0.06558408001789232,0.12216944435630522,0.2623320809000146,1.0,0.13363352379917698
42,500,791,4387,0.356424940338839,0.6877985116458157,0.747553774969909,0.06389740743807931,0.12216944435630522,0.25948402736680687,1.0,0.13113645243675723
43,500,797,4410,0.356424940338839,0.6882871552427985,0.747553774969909,0.06383327979015078,0.12216944435630522,0.2600430668854494,1.0,0.13082889425857722
44,500,769,4437,0.356424940338839,0.6894613508455221,0.7541538348963815,0.06414851044254732,0.1270001270001905,0.2589382512727011,1.0,0.1313378223940107
45,500,778,4455,0.356424940338839,0.6920769530889946,0.7541538348963815,0.06287067174525783,0.1270001270001905,0.25529204797244287,1.0,0.12889198624876294
46,500,811,4480,0.356424940338839,0.6900939197050926,0.7541538348963815,0.06401400783266069,0.1270001270001905,0.26086302952207063,1.0,0.1301765239597742
47,500,798,4503,0.356424940338839,0.6909442729758554,0.7581120953236754,0.06428907159405581,0.1270001270001905,0.2602196380490445,1.0,0.13062632937642107
48,500,791,4520,0.356424940338839,0.691225887312348,0.7581120953236754,0.06421778481544027,0.1270001270001905,0.26139593390474936,1.0,0.1298455066132264
49,500,773,4536,0.356424940338839,0.6917285464829066,0.7581120953236754,0.06439869821300145,0.12598815766974242,0.26162162670519473,1.0,0.1296670765505352
50,500,770,4554,0.356424940338839,0.6925136747696596,0.7581120953236754,0.06464904885001116,0.12403473458920845,0.2610605020650702,1.0,0.12995936061746388
51,500,817,4583,0.356424940338839,0.6929339439833002,0.7581120953236754,0.06477593249792125,0.12403473458920845,0.26142573233319694,1.0,0.12974487366050708
52,500,796,4595,0.356424940338839,0.6935633938091281,0.7581120953236754,0.06482926686771852,0.12598815766974242,0.2614754736669228,1.0,0.12970444853619925
53,500,788,4623,0.356424940338839,0.6938607706742786,0.7581120953236754,0.06485830889961439,0.12126781251816648,0.26212616143632006,1.0,0.1292658398534061
54,500,785,4637,0.356424940338839,0.6942348074406878,0.7581120953236754,0.06491292193619201,0.12126781251816648,0.26300650244192275,1.0,0.12860467562148797
55,500,745,4650,0.356424940338839,0.6947181916510903,0.7581120953236754,0.06504486277463653,0.11952286093343936,0.26305114957161974,1.0,0.12857811727061752
56,500,771,4664,0.356424940338839,0.6954680347320639,0.7581120953236754,0.06527725338433545,0.11952286093343936,0.26265558252602594,1.0,0.1288338124266173
57,500,768,4679,0.356424940338839,0.6958287339917677,0.7581120953236754,0.06536962306468147,0.11952286093343936,0.26297201051160607,1.0,0.1286405201185187
58,500,759,4689,0.356424940338839,0.6964102612517473,0.7590465806594505,0.06561029534609202,0.11952286093343936,0.26287247000231484,1.0,0.128739305071742
59,500,725,4699,0.356424940338839,0.697050527924823,0.7602035145422571,0.06578034181687638,0.12126781251816648,0.26281877798730874,1.0,0.12879194537481709
60,500,754,4711,0.356424940338839,0.6957009249440499,0.7602035145422571,0.06720962461537765,0.12126781251816648,0.2664298694940267,1.0,0.1307973077221287
61,500,735,4721,0.356424940338839,0.6966828254022107,0.7608758936974441,0.06675102167945972,0.12126781251816648,0.26551639729342813,1.0,0.12952778895632594
62,500,742,4727,0.356424940338839,0.6983193280021764,0.7626165206927024,0.06609792013157764,0.13736056394868904,0.26361205574381746,1.0,0.12821899079549456
63,500,759,4736,0.356424940338839,0.6988980264528872,0.7626165206927024,0.06629118552307296,0.1386750490563073,0.26326727554548274,1.0,0.12833639260176646
64,500,704,4746,0.356424940338839,0.6993261590545344,0.7626165206927024,0.06652611795374193,0.1386750490563073,0.2633581225063646,1.0,0.1283254696867198
65,500,751,4757,0.356424940338839,0.7003405503675111,0.7626165206927024,0.06686341459626985,0.1386750490563073,0.26219545599840627,1.0,0.12872885798350597
66,500,715,4766,0.356424940338839,0.7014687776298003,0.7644757607463006,0.06688190811087132,0.1386750490563073,0.2608731335755835,1.0,0.12855419121022735
67,500,719,4776,0.356424940338839,0.7016760344503762,0.7644757607463006,0.06691924389840659,0.1386750490563073,0.2613132737995599,1.0,0.1283557678636544
68,500,738,4780,0.356424940338839,0.7029089247748248,0.7644757607463006,0.06668110333355852,0.13608276348795434,0.2596166783558103,1.0,0.12787214029437868
69,500,732,4784,0.356424940338839,0.7032342347909657,0.7644757607463006,0.06730786868359483,0.13608276348795434,0.2594313220645247,1.0,0.1288205538311841
70,500,759,4792,0.356424940338839,0.7052464389216027,0.7644757607463006,0.06584326412724974,0.13608276348795434,0.2560915966268741,1.0,0.12638616650819992
71,500,768,4799,0.356424940338839,0.7053960681649658,0.7644757607463006,0.06591592160441817,0.1336306209562122,0.25622869621324357,1.0,0.1263077081184949
