0_ajcc_pathologic_tumor_stage_Stage IV,2_ABI3BP.25890,2_ADCY2.108,2_APPL1.26060,2_ARPC1B.10095,2_BARX1.56033,2_BCAR1.9564,2_C19orf76.199800,2_C1orf92.149499,2_C21orf125.284836,2_C4orf26.152816,2_C7orf42.55069,2_CACNB3.784,2_CD200R1L.344807,2_CLGN.1047,2_CLNK.116449,2_CNGA4.1262,2_CYP2D6.1565,2_CYP3A7.1551,2_DDHD2.23259,2_DKK2.27123,2_DNMBP.23268,2_DPP6.1804,2_FKBP4.2288,2_GAL3ST2.64090,2_GGN.199720,2_GJD4.219770,2_H2AFV.94239,2_HS6ST2.90161,2_ICT1.3396,2_IL11.3589,2_IL1B.3553,2_LOC100132354.100132354,2_LOC121952.121952,2_LONRF3.79836,2_LRRC29.26231,2_LYG1.129530,2_MAP3K12.7786,2_MEIS2.4212,2_MFAP2.4237,2_MFSD5.84975,2_MMP1.4312,2_MRPL38.64978,2_MUM1L1.139221,2_NKX2.2.4821,2_ODF3.113746,2_OPCML.4978,2_PAQR6.79957,2_PCDHA12.56137,2_PDF.64146,2_PTPRG.5793,2_RAB11FIP5.26056,2_REG3A.5068,2_RPL3.6122,2_RUNDC3A.10900,2_SAA1.6288,2_SARNP.84324,2_SEMA7A.8482,2_SKA2.348235,2_SLC22A13.9390,2_SLC30A1.7779,2_SLC39A5.283375,2_SPAG5.10615,2_TM6SF2.53345,2_TMC1.117531,2_UPK3B.80761,2_ZNF117.51351,2_ZNF365.22891,2_ZPBP.11055
1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1
1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1
1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1
1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0
1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
