0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.3065.5p,1_hsa.miR.30b.5p,1_hsa.miR.3648,2_ALG12.79087,2_BARX1.56033,2_BCL2L12.83596,2_BTG2.7832,2_C11orf31.280636,2_CDH22.64405,2_CEBPA.1050,2_CTSE.1510,2_CYP2J2.1573,2_CYP3A7.1551,2_DUSP9.1852,2_EIF5AL1.143244,2_FABP1.2168,2_FAM7A3.89837,2_FLAD1.80308,2_GAL3ST2.64090,2_HHLA2.11148,2_HIAT1.64645,2_HNF4A.3172,2_IGF2BP1.10642,2_ITPRIPL2.162073,2_KCNIP2.30819,2_LCA5L.150082,2_LTF.4057,2_LTV1.84946,2_MIOX.55586,2_MMP1.4312,2_MPPED2.744,2_MRPL34.64981,2_NAP1L6.645996,2_NFE2L2.4780,2_NOSTRIN.115677,2_PEX6.5190,2_PLN.5350,2_POLR2J2.246721,2_PREB.10113,2_PYGO2.90780,2_RAB40A.142684,2_REEP4.80346,2_SAA1.6288,2_SLC25A37.51312,2_SPC25.57405,2_STON1.GTF2A1L.286749,2_SYNC.81493,2_TTLL1.25809,2_UPK3B.80761,2_USP2.9099,2_ZNF74.7625
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
