0_ajcc_pathologic_tumor_stage_Stage IV,2_ABCD3.5825,2_AHI1.54806,2_ATP1A1.476,2_BARX1.56033,2_BCAS1.8537,2_C10orf81.79949,2_C20orf54.113278,2_C9orf41.138199,2_CASKIN1.57524,2_CCDC134.79879,2_CD19.930,2_CD36.948,2_CHI3L2.1117,2_CIDECP.152302,2_CSNK1G2.1455,2_CST5.1473,2_DEGS1.8560,2_DKK2.27123,2_DKKL1.27120,2_DPP6.1804,2_EN2.2020,2_ERCC3.2071,2_EWSR1.2130,2_GBAP1.2630,2_GIPC1.10755,2_HOXA2.3199,2_KAAG1.353219,2_KRT16.3868,2_KRTAP5.5.439915,2_LCTL.197021,2_LDLRAD1.388633,2_LIN37.55957,2_LOC100288778.100288778,2_LOC285359.285359,2_LOC55908.55908,2_LYSMD3.116068,2_MEF2B.100271849,2_MGAM.8972,2_MPP5.64398,2_MRTO4.51154,2_MUM1L1.139221,2_MYCN.4613,2_NAP1L6.645996,2_PADI1.29943,2_PEBP4.157310,2_PLD6.201164,2_POLA2.23649,2_RALY.22913,2_RLN1.6013,2_ROBO4.54538,2_S1PR2.9294,2_SBSN.374897,2_SIGLEC6.946,2_SLC38A3.10991,2_SLC47A1.55244,2_SPAG5.10615,2_STON1.GTF2A1L.286749,2_SYT12.91683,2_TBX18.9096,2_TM6SF2.53345,2_TNFRSF6B.8771,2_TRAF6.7189,2_TUBB2B.347733,2_ZFPL1.7542
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1
1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
