0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.1269a,1_hsa.miR.15b.5p,1_hsa.miR.425.5p,1_hsa.miR.590.3p,2_ALDH4A1.8659,2_ALS2CR11.151254,2_BARX1.56033,2_BUB1.699,2_C6orf147.387097,2_CCDC45.90799,2_CELA2B.51032,2_CPXM2.119587,2_CXorf30.645090,2_CYP3A7.1551,2_DDC.1644,2_DPP6.1804,2_DRD5.1816,2_EPB41L1.2036,2_GPR173.54328,2_GTF2IRD1.9569,2_HS6ST2.90161,2_HS6ST3.266722,2_IMPACT.55364,2_LYPD5.284348,2_MAGEH1.28986,2_MMP1.4312,2_MUM1L1.139221,2_NEK2.4751,2_PCDHGC5.56097,2_PGK2.5232,2_RANBP10.57610,2_RAVER2.55225,2_RORC.6097,2_RPL21P44.402176,2_RUNDC2C.440352,2_SLC12A8.84561,2_SMAD4.4089,2_SNHG8.100093630,2_SNORA6.574040,2_SORBS2.8470,2_SSTR1.6751,2_STON1.GTF2A1L.286749,2_TBC1D3G.654341,2_TM6SF2.53345,2_TRIM42.287015,2_USHBP1.83878,2_WDR85.92715,2_WIPI2.26100,2_ZNF828.283489,2_ZPBP.11055
0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
