gen,evals,gen_feats,explored,Pam50 svm balanced accuracy_min,Pam50 svm balanced accuracy_avg,Pam50 svm balanced accuracy_max,Pam50 svm balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,931,931,0.2,0.689658335277497,0.8586892005462758,0.14111284996627554,0.0196078431372549,0.08599133740325762,1.0,0.14582263230904968
1,507,1151,1192,0.2,0.6952091451751317,0.8586892005462758,0.14354665622491652,0.015384615384615385,0.09396388989878082,1.0,0.11287549324656439
2,500,1197,1444,0.2,0.7176411463811952,0.865127865424312,0.13538903822082837,0.015384615384615385,0.0952016419116097,1.0,0.1147536928843001
3,500,1210,1676,0.2,0.7367950496307454,0.8654161686879147,0.12555658173765646,0.017241379310344827,0.09239344476371272,1.0,0.11086749586375544
4,500,1182,1902,0.2,0.7472698777428056,0.8825834532234234,0.12582594277653178,0.014492753623188406,0.09507845248091835,1.0,0.11363988424565151
5,500,1245,2129,0.2,0.7603247136963257,0.9059835728406483,0.12086853908321417,0.014084507042253521,0.09460907688491885,1.0,0.11327718410376658
6,500,1251,2352,0.2,0.7731837894187702,0.9059835728406483,0.11426320282094332,0.013888888888888888,0.0923617034074735,1.0,0.11139103523566565
7,500,1234,2583,0.2,0.7851829251527704,0.9059835728406483,0.10909985396466092,0.013888888888888888,0.0895174784101584,1.0,0.10919427220038781
8,500,1234,2795,0.2,0.7891064638835794,0.9059835728406483,0.11061371596443692,0.013333333333333334,0.09150490666182895,1.0,0.11165093222351197
9,500,1246,3013,0.2,0.7995646085221901,0.9059835728406483,0.10414120331534407,0.013333333333333334,0.08829650598528392,1.0,0.10948735362948624
10,500,1262,3228,0.2,0.8062946177279754,0.9141118821823202,0.1031476816199782,0.013333333333333334,0.08764528640315662,1.0,0.10968232055188874
11,500,1275,3459,0.2,0.8084337788367216,0.9141118821823202,0.10490057437925346,0.012987012987012988,0.09037204838664374,1.0,0.11146127036028869
12,500,1258,3655,0.2,0.8155524756706681,0.9141118821823202,0.10099360163159923,0.01282051282051282,0.08845441621285949,1.0,0.10912519082998332
13,500,1257,3851,0.2,0.8161509818623177,0.9217460414100029,0.10282213518559817,0.01282051282051282,0.09286611303698585,1.0,0.11115812171641458
14,500,1237,4047,0.2,0.8206007590253533,0.9217460414100029,0.10083565488663013,0.0125,0.09367104276471118,1.0,0.11083086964714321
15,500,1260,4218,0.2,0.8269783182780032,0.9217460414100029,0.09909108983044636,0.0125,0.09181508498093033,1.0,0.11056087207787545
