0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.194.3p,1_hsa.miR.21.5p,2_ACADM.34,2_ADAMTS14.140766,2_ASXL3.80816,2_AUP1.550,2_B3GNTL1.146712,2_BARX1.56033,2_BOP1.23246,2_BTG3.10950,2_C14orf80.283643,2_C16orf59.80178,2_C17orf89.284184,2_C8orf47.203111,2_CCNA2.890,2_CCNE1.898,2_CCNF.899,2_CCT3.7203,2_CDCA3.83461,2_CDCA5.113130,2_CENPM.79019,2_CRYL1.51084,2_CYP3A7.1551,2_DDX47.51202,2_DEPDC1.55635,2_DNAJB11.51726,2_DVL3.1857,2_EMX2.2018,2_F2RL1.2150,2_FAM83A.84985,2_FGF5.2250,2_FOXA2.3170,2_FREM2.341640,2_GDF5.8200,2_GFPT2.9945,2_HDAC1.3065,2_HHIPL2.79802,2_HHLA2.11148,2_HMGN1.3150,2_IL6.3569,2_JTB.10899,2_KCNN4.3783,2_KIAA1161.57462,2_LASS5.91012,2_LOC100130932.100130932,2_LOC100134713.100134713,2_LOC150197.150197,2_LRP5.4041,2_MAGED4.728239,2_MGC12982.84793,2_MRPL9.65005,2_MTMR10.54893,2_ORC6L.23594,2_P2RY11.5032,2_PAIP2B.400961,2_PKMYT1.9088,2_PL.5283.647087,2_PLP2.5355,2_PLXNB3.5365,2_PPP2R2C.5522,2_PSMA7.5688,2_PSMD13.5719,2_PSMD3.5709,2_PTPRH.5794,2_RASSF6.166824,2_RBM47.54502,2_RCC2.55920,2_SAA1.6288,2_SEC24B.10427,2_SHROOM3.57619,2_SIM2.6493,2_SIX5.147912,2_SLC16A9.220963,2_SLC2A6.11182,2_SLC35C2.51006,2_SLC4A3.6508,2_SNRPF.6636,2_STON1.GTF2A1L.286749,2_TMEM27.57393,2_TNNT1.7138,2_TOR3A.64222,2_TRIB3.57761,2_TRIM65.201292,2_TRIP13.9319,2_TRNP1.388610,2_TTC22.55001,2_UCK2.7371,2_USP2.9099,2_WDR72.256764,2_ZIC2.7546,2_ZNF14.7561,2_ZNF189.7743,2_ZNF420.147923,2_ZNF844.284391,2_ZXDA.7789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
