0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.139.5p,1_hsa.miR.18a.5p,1_hsa.miR.296.5p,2_ADAMTS14.140766,2_ALG3.10195,2_AMOT.154796,2_ANKRD56.345079,2_BARX1.56033,2_C17orf53.78995,2_C20orf20.55257,2_C6orf186.728464,2_C8orf76.84933,2_CARS.833,2_CDC14C.168448,2_CDCA3.83461,2_CENPW.387103,2_COQ3.51805,2_COX6B2.125965,2_CYP3A4.1576,2_CYP3A7.1551,2_DYRK4.8798,2_EHHADH.1962,2_EIF5A.1984,2_ELF1.1997,2_EME1.146956,2_EXOSC4.54512,2_FAHD2A.51011,2_FAM179B.23116,2_FBXL3.26224,2_FBXL4.26235,2_FKBP11.51303,2_FLAD1.80308,2_FOXN3.1112,2_GGA1.26088,2_GOLGA3.2802,2_GRB10.2887,2_HMGN1.3150,2_IFT27.11020,2_IGFN1.91156,2_ITGAE.3682,2_ITPA.3704,2_JAK1.3716,2_KATNB1.10300,2_KCTD17.79734,2_KIAA0494.9813,2_KRTCAP2.200185,2_LIMCH1.22998,2_LOC283050.283050,2_LOC286467.286467,2_LSM2.57819,2_MAN2A1.4124,2_MARS.4141,2_MEF2A.4205,2_MID1IP1.58526,2_MRPL9.65005,2_MRPS25.64432,2_MRS2P2.729633,2_MTM1.4534,2_MXD3.83463,2_NIPAL3.57185,2_NME1.4830,2_NUTF2.10204,2_OR13A1.79290,2_ORC6L.23594,2_OSBPL1A.114876,2_PDGFD.80310,2_PDZD11.51248,2_PFDN6.10471,2_PITX1.5307,2_PSMC5.5705,2_PTTG2.10744,2_RASSF6.166824,2_RHBDF1.64285,2_RORA.6095,2_SAA1.6288,2_SCAMP3.10067,2_SCNM1.79005,2_SEC61A2.55176,2_SGMS2.166929,2_SLC1A1.6505,2_SLC35C2.51006,2_SLC39A9.55334,2_SNRPD2.6633,2_SNX30.401548,2_SPC25.57405,2_SPTBN1.6711,2_SRP19.6728,2_STON1.GTF2A1L.286749,2_SUV420H2.84787,2_TBC1D8B.54885,2_TIAF1.9220,2_TLR3.7098,2_TNNT1.7138,2_TOMM6.100188893,2_UPK3B.80761,2_YKT6.10652,2_ZNF428.126299,2_ZNF649.65251
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
