inner_cv_NB_bal_acc,inner_cv_root_leanness,train_NB_bal_acc,train_root_leanness,test_NB_bal_acc,test_root_leanness
0.9500168499421906,0.18569533817705186,0.9596968724516308,0.18569533817705186,0.8230926780428113,0.18569533817705186
0.9483452448561888,0.1889822365046136,0.9701974791685501,0.1889822365046136,0.8355041540284753,0.1889822365046136
0.9488902695139332,0.20851441405707477,0.9670784579797752,0.20851441405707477,0.8473221666727423,0.20851441405707477
0.9482553438374518,0.21320071635561044,0.9519191410023881,0.21320071635561044,0.8473221666727423,0.21320071635561044
0.9481343097909434,0.21320071635561044,0.9525169931410311,0.21320071635561044,0.846494764410521,0.21320071635561044
0.9448396935670873,0.21821789023599236,0.9605162640472171,0.21821789023599236,0.8411996008258837,0.21821789023599236
0.944870473898236,0.21821789023599236,0.9643619914648429,0.21821789023599236,0.8473221666727423,0.21821789023599236
0.9449985148359147,0.25,0.955671491632159,0.25,0.8400249807818047,0.25
0.9399048756762235,0.2581988897471611,0.9399691995961472,0.2581988897471611,0.8400249807818047,0.2581988897471611
0.9350099153557879,0.2773500981126146,0.93624991459226,0.2773500981126146,0.8563885014649082,0.2773500981126146
0.9291488562602986,0.28867513459481287,0.9331765676129691,0.28867513459481287,0.8594336665236417,0.28867513459481287
0.920457552191396,0.30151134457776363,0.9360130378673907,0.30151134457776363,0.8636489376822151,0.30151134457776363
0.9171560093294271,0.31622776601683794,0.9296948597905215,0.31622776601683794,0.8356645227612711,0.31622776601683794
0.9140416133407101,0.3333333333333333,0.9127214353901344,0.3333333333333333,0.8115831483741458,0.3333333333333333
0.9032712401899189,0.3535533905932738,0.9069753639124862,0.3535533905932738,0.8102886696627833,0.3535533905932738
0.8936614442211465,0.3779644730092272,0.8993165379019405,0.3779644730092272,0.7894246326449781,0.3779644730092272
0.8812821275821193,0.408248290463863,0.8793366952690881,0.408248290463863,0.7959272011308053,0.408248290463863
0.8781655123969572,0.4472135954999579,0.8749787560321072,0.4472135954999579,0.832715032922698,0.4472135954999579
0.852933543675719,0.5,0.8628343127248294,0.5,0.7889323804206252,0.5
0.7720976646633598,0.5773502691896257,0.7658450927222704,0.5773502691896257,0.7598115082988406,0.5773502691896257
0.5556537326116469,0.7071067811865476,0.5619586736435069,0.7071067811865476,0.5597964471540867,0.7071067811865476
0.20000000000000004,1.0,0.2,1.0,0.2,1.0
