gen,0_age_at_initial_pathologic_diagnosis,1_hsa.let.7a.2.3p,1_hsa.let.7a.5p,1_hsa.let.7c.5p,1_hsa.let.7d.5p,1_hsa.let.7e.5p,1_hsa.let.7f.5p,1_hsa.let.7g.5p,1_hsa.let.7i.5p,1_hsa.miR.100.5p,1_hsa.miR.105.5p,1_hsa.miR.106b.3p,1_hsa.miR.106b.5p,1_hsa.miR.107,1_hsa.miR.10a.3p,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1228.3p,1_hsa.miR.1254,1_hsa.miR.125a.3p,1_hsa.miR.125a.5p,1_hsa.miR.125b.1.3p,1_hsa.miR.1269a,1_hsa.miR.1287.5p,1_hsa.miR.1292.5p,1_hsa.miR.1296.5p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.135b.5p,1_hsa.miR.138.1.3p,1_hsa.miR.139.5p,1_hsa.miR.141.3p,1_hsa.miR.142.5p,1_hsa.miR.143.5p,1_hsa.miR.144.3p,1_hsa.miR.145.3p,1_hsa.miR.146b.3p,1_hsa.miR.146b.5p,1_hsa.miR.148a.3p,1_hsa.miR.148a.5p,1_hsa.miR.148b.3p,1_hsa.miR.149.3p,1_hsa.miR.149.5p,1_hsa.miR.150.3p,1_hsa.miR.150.5p,1_hsa.miR.1537.5p,1_hsa.miR.155.5p,1_hsa.miR.15a.5p,1_hsa.miR.15b.3p,1_hsa.miR.15b.5p,1_hsa.miR.16.1.3p,1_hsa.miR.16.2.3p,1_hsa.miR.16.5p,1_hsa.miR.181a.2.3p,1_hsa.miR.187.3p,1_hsa.miR.18a.5p,1_hsa.miR.190a.5p,1_hsa.miR.193a.3p,1_hsa.miR.193a.5p,1_hsa.miR.193b.5p,1_hsa.miR.196a.5p,1_hsa.miR.196b.5p,1_hsa.miR.1976,1_hsa.miR.199a.3p,1_hsa.miR.199a.5p,1_hsa.miR.199b.3p,1_hsa.miR.200a.3p,1_hsa.miR.200a.5p,1_hsa.miR.200b.5p,1_hsa.miR.200c.3p,1_hsa.miR.204.3p,1_hsa.miR.204.5p,1_hsa.miR.20b.3p,1_hsa.miR.21.3p,1_hsa.miR.214.3p,1_hsa.miR.214.5p,1_hsa.miR.215.5p,1_hsa.miR.21.5p,1_hsa.miR.216a.3p,1_hsa.miR.216a.5p,1_hsa.miR.216b.5p,1_hsa.miR.217,1_hsa.miR.219a.2.3p,1_hsa.miR.221.3p,1_hsa.miR.222.3p,1_hsa.miR.222.5p,1_hsa.miR.223.3p,1_hsa.miR.223.5p,1_hsa.miR.22.3p,1_hsa.miR.224.5p,1_hsa.miR.22.5p,1_hsa.miR.23a.3p,1_hsa.miR.23a.5p,1_hsa.miR.23b.3p,1_hsa.miR.23b.5p,1_hsa.miR.24.2.5p,1_hsa.miR.24.3p,1_hsa.miR.25.5p,1_hsa.miR.26a.2.3p,1_hsa.miR.26a.5p,1_hsa.miR.27a.3p,1_hsa.miR.27a.5p,1_hsa.miR.27b.3p,1_hsa.miR.27b.5p,1_hsa.miR.28.5p,1_hsa.miR.301b,1_hsa.miR.3074.5p,1_hsa.miR.30e.5p,1_hsa.miR.3131,1_hsa.miR.3136.5p,1_hsa.miR.31.3p,1_hsa.miR.3154,1_hsa.miR.3157.3p,1_hsa.miR.31.5p,1_hsa.miR.3200.3p,1_hsa.miR.320a,1_hsa.miR.320b,1_hsa.miR.320c,1_hsa.miR.320d,1_hsa.miR.324.3p,1_hsa.miR.331.3p,1_hsa.miR.335.3p,1_hsa.miR.335.5p,1_hsa.miR.339.5p,1_hsa.miR.340.3p,1_hsa.miR.346,1_hsa.miR.34a.5p,1_hsa.miR.3609,1_hsa.miR.3613.3p,1_hsa.miR.3613.5p,1_hsa.miR.361.3p,1_hsa.miR.3614.5p,1_hsa.miR.361.5p,1_hsa.miR.362.3p,1_hsa.miR.365b.5p,1_hsa.miR.3677.3p,1_hsa.miR.378a.3p,1_hsa.miR.378c,1_hsa.miR.378d,1_hsa.miR.3923,1_hsa.miR.3940.3p,1_hsa.miR.412.5p,1_hsa.miR.423.5p,1_hsa.miR.424.5p,1_hsa.miR.429,1_hsa.miR.431.5p,1_hsa.miR.4431,1_hsa.miR.449a,1_hsa.miR.450b.5p,1_hsa.miR.4521,1_hsa.miR.452.3p,1_hsa.miR.452.5p,1_hsa.miR.455.3p,1_hsa.miR.455.5p,1_hsa.miR.4709.3p,1_hsa.miR.4724.5p,1_hsa.miR.4758.3p,1_hsa.miR.4772.3p,1_hsa.miR.483.3p,1_hsa.miR.483.5p,1_hsa.miR.501.3p,1_hsa.miR.501.5p,1_hsa.miR.502.3p,1_hsa.miR.503.5p,1_hsa.miR.504.5p,1_hsa.miR.505.3p,1_hsa.miR.542.3p,1_hsa.miR.542.5p,1_hsa.miR.548d.3p,1_hsa.miR.548f.3p,1_hsa.miR.550a.3p,1_hsa.miR.550a.5p,1_hsa.miR.551b.3p,1_hsa.miR.574.3p,1_hsa.miR.590.3p,1_hsa.miR.615.3p,1_hsa.miR.616.3p,1_hsa.miR.618,1_hsa.miR.628.3p,1_hsa.miR.6502.5p,1_hsa.miR.6503.3p,1_hsa.miR.6503.5p,1_hsa.miR.6509.5p,1_hsa.miR.653.5p,1_hsa.miR.664a.3p,1_hsa.miR.664a.5p,1_hsa.miR.6715a.3p,1_hsa.miR.671.5p,1_hsa.miR.6720.3p,1_hsa.miR.675.3p,1_hsa.miR.6806.3p,1_hsa.miR.6892.5p,1_hsa.miR.760,1_hsa.miR.767.5p,1_hsa.miR.7974,1_hsa.miR.877.5p,1_hsa.miR.887.5p,1_hsa.miR.92b.5p,1_hsa.miR.937.3p,1_hsa.miR.942.5p,1_hsa.miR.944,1_hsa.miR.9.5p,1_hsa.miR.98.3p,1_hsa.miR.98.5p,1_hsa.miR.99b.5p,1_hsa.miR.373.3p,1_hsa.miR.513a.3p,1_hsa.miR.519e.3p
0,277,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,418,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,296,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,387,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,295,413,0,404,0,0,399,415,0,0,0,0,0,0,0,0,0,308,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,349,0,222,0,0,328,0,0,0,318,0,0,279,0,0,0,0,0,364,0,0,0,0,0,399,350,0,0,0,0,0,0,0,0,0,0,396,0
100,461,0,1,7,4,129,6,0,0,1,14,0,0,1,1,1,13,3,3,0,1,1,2,0,0,0,1,0,56,0,49,0,3,2,2,1,24,1,1,6,21,1,0,4,1,0,2,1,7,317,0,2,1,0,2,0,25,4,0,0,2,395,1,6,12,1,0,0,6,3,26,0,0,4,1,45,273,31,7,3,433,4,12,0,1,269,0,0,15,0,2,18,2,1,258,7,1,0,204,1,0,0,13,1,3,3,342,1,241,0,0,217,190,0,0,2,1,51,5,0,0,14,34,1,1,256,0,0,0,3,3,1,2,1,114,1,0,2,2,0,26,0,0,29,46,1,4,1,1,2,1,0,0,2,0,0,1,8,8,3,110,2,1,1,0,26,2,1,0,1,291,1,8,1,0,1,5,0,1,4,2,9,3,0,4,10,0,3,0,12,0,1,1,1,269,0,1,3,0,27,20,3,1,2,1,0,392,257
200,461,2,25,1,1,129,9,2,0,0,55,1,1,6,0,1,6,1,3,1,9,4,1,14,1,1,1,0,179,0,8,0,1,0,1,1,2,5,2,7,23,0,0,5,0,8,2,0,7,328,0,3,0,2,4,1,24,0,1,1,3,416,0,3,5,0,3,1,1,0,5,21,2,1,0,101,257,16,27,4,402,6,4,2,0,253,2,1,9,5,6,4,1,0,245,0,0,0,200,0,0,0,1,0,2,0,329,5,230,2,0,203,187,1,3,0,1,0,3,0,2,32,41,0,4,246,3,1,2,61,5,1,2,0,112,2,0,0,1,7,15,2,10,29,24,0,0,0,2,4,0,0,0,4,2,1,16,6,10,1,130,0,0,0,16,7,1,1,1,2,314,0,20,0,0,5,4,0,0,2,1,0,0,0,1,5,1,0,0,25,1,1,0,1,248,1,8,1,2,22,20,1,4,0,0,1,398,246
299,464,5,59,3,3,134,9,5,3,0,59,0,8,8,0,2,9,1,2,2,9,0,0,10,1,4,0,1,250,1,3,1,1,1,0,0,3,5,0,6,23,0,1,18,0,27,1,12,6,341,2,1,1,1,3,0,18,0,1,1,4,393,1,5,4,1,10,0,6,2,4,45,0,2,3,113,259,10,18,5,351,3,4,4,1,213,3,1,1,1,22,2,6,0,259,0,0,1,145,0,5,2,3,1,3,0,326,0,265,0,2,254,214,1,2,0,0,2,7,3,0,18,42,0,0,263,6,0,1,130,3,1,2,0,121,3,1,1,3,0,11,8,10,54,26,0,0,0,4,4,0,0,1,0,3,6,23,6,1,0,161,0,1,0,21,29,0,1,1,5,323,0,14,3,3,2,10,1,0,4,0,0,0,1,2,8,1,2,0,2,0,1,0,5,211,0,3,6,1,25,12,2,9,0,2,0,406,265
