0_AURKA,0_CIITA,0_GMFG,0_HLA-DQB2,0_HSP90B1,0_KIF3B,0_MACC1,0_NTRK2,0_ODAM,0_ORC1L,0_PHF6,0_PITPNM1,0_TP63,0_TSPAN4,0_UHRF1BP1,0_UNC5CL,0_ZBED3
0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1
0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
