0_ADH1B,0_ATP8A1,0_BLM,0_CBR1,0_CD274,0_DHX33,0_HLA-DPA1,0_KRT16,0_LASS3,0_RRM2,0_SLC16A4,0_SLC47A1,0_TP63,0_ZWINT
0,1,1,1,1,1,1,0,1,0,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0,0,0
0,0,1,1,0,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
