0_ACVR2B,0_AKR1C1,0_ARRB1,0_C11orf85,0_HNF1B,0_ITGB2,0_KRT6A,0_LILRB2,0_MAL,0_NAP1L1,0_PLA2G4F,0_S100A8,0_TRMT2A,0_WDHD1
1,1,0,1,1,0,1,1,1,0,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,1,1
0,1,0,0,1,1,1,1,0,0,1,0,0,1
0,1,0,0,1,0,1,1,0,0,1,0,0,1
0,1,0,0,1,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
