0_ABHD14B,0_ACOX2,0_ADAM23,0_C21orf128,0_C9orf5,0_CDKN3,0_CSTB,0_EFHA2,0_FABP5,0_FAM190A,0_FOXE1,0_FXYD5,0_GPX2,0_PDE5A,0_PDLIM4,0_PLAU,0_RAC2,0_SLC41A2,0_TOX3,0_TP63
1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0
0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0
0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0
0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0
0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
