gen,0_AAAS,0_AASDH,0_ABCA3,0_ABLIM1,0_ABTB2,0_ACAA2,0_ACADL,0_ACADM,0_ACADS,0_ACCS,0_ACE2,0_ACOT2,0_ACOX1,0_ACSL3,0_ACSS1,0_ACTN4,0_ADA,0_ADAM33,0_ADAM8,0_ADAR,0_ADCY3,0_ADCY9,0_ADD1,0_ADM,0_ADRM1,0_AGL,0_AGPAT4,0_AK7,0_AKAP1,0_AKR1C1,0_AKTIP,0_ALAD,0_ALDH1A1,0_ALDH1L1,0_ALDH1L2,0_ALDH5A1,0_ALG13,0_ALG1L2,0_ALG6,0_AMIGO1,0_ANAPC4,0_ANAPC7,0_ANK3,0_ANLN,0_ANXA5,0_AP1B1,0_AP1G1,0_AP2B1,0_AP4B1,0_AP4M1,0_APBB3,0_APCS,0_APLP2,0_APOOL,0_AQP1,0_ARAP1,0_ARFGEF2,0_ARFIP1,0_ARHGAP12,0_ARHGAP30,0_ARHGEF10L,0_ARHGEF2,0_ARID5A,0_ARNT,0_ARPC3,0_ARRDC4,0_ASAH1,0_ASB8,0_ATAD3B,0_ATF4,0_ATF7IP2,0_ATG5,0_ATP10D,0_ATP2B3,0_ATP2B4,0_ATP6V1D,0_ATP8A1,0_AWAT2,0_B3GAT3,0_B4GALNT1,0_B4GALNT2,0_BANF1,0_BAZ1A,0_BCAR3,0_BCKDK,0_BCL2L12,0_BCL2L14,0_BCS1L,0_BDH1,0_BEX2,0_BGN,0_BICD1,0_BIRC3,0_BPHL,0_BRD8,0_BRIP1,0_BST2,0_BYSL,0_C18orf32,0_C1orf116,0_C1orf226,0_C2orf49,0_C4BPA,0_C5orf24,0_C9orf78,0_CAMSAP1,0_CARD8,0_CARHSP1,0_CASK,0_CASP10,0_CASP9,0_CBLB,0_CBR1,0_CBX1,0_CCDC127,0_CCDC59,0_CCM2,0_CCNA2,0_CCNL2,0_CCR6,0_CCT5,0_CDC123,0_CDC20,0_CDC45,0_CDC6,0_CDCA5,0_CDCA8,0_CDH16,0_CDK1,0_CDK4,0_CDK5RAP3,0_CDKN2AIP,0_CDKN2C,0_CDT1,0_CELSR3,0_CENPA,0_CEP350,0_CEP55,0_CEP72,0_CFB,0_CFHR1,0_CHCHD3,0_CHDH,0_CHEK2,0_CHPF2,0_CHRDL1,0_CHRNB1,0_CHST11,0_CHST6,0_CHUK,0_CIR1,0_CISH,0_CKS1B,0_CLDN8,0_CLK2,0_CLK3,0_CLPB,0_CLPX,0_CMAS,0_CMPK1,0_CMTM1,0_CMTM3,0_CNOT1,0_CNOT2,0_CNOT3,0_CNPY2,0_CNTNAP1,0_COBLL1,0_COIL,0_COMMD8,0_COPA,0_COQ9,0_COX10,0_COX18,0_COX4I1,0_COX5A,0_COX8A,0_COX8C,0_CP,0_CPE,0_CRBN,0_CRIM1,0_CRISP3,0_CS,0_CSGALNACT2,0_CSPG4,0_CTCF,0_CTNNBL1,0_CTSD,0_CTSZ,0_CUL4B,0_CUL5,0_CYB5D2,0_CYC1,0_CYFIP2,0_DCBLD2,0_DDX19B,0_DDX47,0_DECR1,0_DEF8,0_DERL2,0_DERL3,0_DFFA,0_DFFB,0_DGCR8,0_DGKD,0_DHODH,0_DHTKD1,0_DIAPH1,0_DKK3,0_DLX5,0_DMXL2,0_DNAJA3,0_DNAJB14,0_DNAJC10,0_DNAJC12,0_DNAJC25,0_DNAJC5,0_DNAL1,0_DNASE1L3,0_DNMT3A,0_DPAGT1,0_DPY30,0_DPYSL3,0_DSC1,0_DSC2,0_DSG2,0_DSN1,0_DUSP14,0_DUSP16,0_DUSP23,0_E2F1,0_EAPP,0_EBNA1BP2,0_ECHS1,0_ECM2,0_ECSIT,0_EDEM2,0_EEF1G,0_EFTUD2,0_EGFL7,0_EIF2B1,0_EIF2S2,0_EIF2S3,0_EIF3E,0_EIF4E,0_EIF4ENIF1,0_ELAC1,0_ELMO3,0_ELOVL5,0_EMCN,0_EME1,0_ENAH,0_ENGASE,0_ENPP3,0_ENPP5,0_ENY2,0_EP400,0_EPHA3,0_EPS8,0_EPSTI1,0_ERCC1,0_ERCC3,0_ERLIN2,0_ERN2,0_ESRP1,0_ESRRA,0_ETV5,0_EWSR1,0_EXOC6B,0_EXTL3,0_F2RL1,0_FABP7,0_FADS1,0_FAM111A,0_FAM122A,0_FAM20A,0_FAM83H,0_FAM89B,0_FANCG,0_FBLL1,0_FBXL14,0_FBXL2,0_FBXO21,0_FBXO33,0_FBXO44,0_FBXO5,0_FBXW7,0_FCAR,0_FCRL1,0_FEN1,0_FER,0_FGB,0_FGD6,0_FGF9,0_FGG,0_FH,0_FIGN,0_FIGNL1,0_FKBP5,0_FKTN,0_FLOT1,0_FNIP2,0_FOXO1,0_FRRS1,0_FTH1,0_FUBP3,0_FXR2,0_FXYD2,0_FZD4,0_GABPA,0_GALT,0_GCSH,0_GEM,0_GEMIN6,0_GGCX,0_GIGYF1,0_GLI2,0_GLOD4,0_GLRX2,0_GLRX5,0_GLT8D2,0_GMFB,0_GMPR2,0_GNA12,0_GNAT1,0_GNRH1,0_GOT1,0_GOT2,0_GPHN,0_GPR107,0_GPR132,0_GRB7,0_GREM2,0_GRHPR,0_GRK5,0_GSTA1,0_GTF2E2,0_GTF2I,0_GTF3C6,0_GTPBP10,0_GTPBP2,0_GUF1,0_HADH,0_HADHB,0_HAPLN3,0_HAUS1,0_HBP1,0_HDAC1,0_HDAC2,0_HDAC5,0_HDGF,0_HDHD2,0_HEBP2,0_HECTD1,0_HELQ,0_HEYL,0_HHAT,0_HIF3A,0_HIPK2,0_HIRA,0_HMGA2,0_HMGN1,0_HMGXB4,0_HNF1B,0_HNRNPA2B1,0_HNRNPA3,0_HNRNPAB,0_HNRNPC,0_HNRNPL,0_HSD17B12,0_HSD17B3,0_HSD17B6,0_HSD17B8,0_HSDL2,0_HSP90B1,0_HTATIP2,0_HTR2B,0_HTRA3,0_IDH3G,0_IDO1,0_IER5,0_IFI35,0_IFNGR2,0_IFRD1,0_IFT20,0_IGF1R,0_IK,0_IL15RA,0_IL17RD,0_ILF3,0_ING1,0_IRF1,0_ISCA2,0_ITGB3BP,0_IWS1,0_JMJD6,0_JPH2,0_JTB,0_KANK2,0_KATNAL2,0_KCNA5,0_KCND1,0_KCNE3,0_KCNE4,0_KCNG1,0_KCNJ15,0_KCNJ2,0_KCNK6,0_KCTD16,0_KDELR2,0_KIAA1614,0_KIAA1755,0_KIAA1958,0_KIF16B,0_KIF18A,0_KIF21A,0_KIF21B,0_KISS1R,0_KLHDC2,0_KLHL36,0_KLK5,0_KMO,0_KPTN,0_KRBA1,0_KRI1,0_KRT19,0_KRT8,0_LACTB2,0_LAMP1,0_LARS2,0_LBR,0_LDHB,0_LDHD,0_LEMD2,0_LENG8,0_LGALS8,0_LGI4,0_LIMA1,0_LMCD1,0_LMNB1,0_LMO4,0_LPIN3,0_LRBA,0_LRCH2,0_LRFN3,0_LRPAP1,0_LRPPRC,0_LRRC45,0_LRRC59,0_LRSAM1,0_LSM6,0_LTBP4,0_LZTS2,0_MACROD2,0_MAGEA4,0_MAGOH,0_MAML1,0_MAPK13,0_MAPKAPK2,0_MARCKS,0_MAZ,0_MCAT,0_MCCC1,0_MCCC2,0_MCM7,0_MCM9,0_MDH2,0_MED12,0_MEP1A,0_MFSD6,0_MGAM,0_MGAT3,0_MGST1,0_MICAL2,0_MID1,0_MIPEP,0_MKNK1,0_MLPH,0_MLX,0_MMP2,0_MORF4L2,0_MPPE1,0_MPV17L,0_MRPL1,0_MRPL16,0_MRPL46,0_MRPS35,0_MRPS9,0_MSH2,0_MSI2,0_MSRA,0_MSTO1,0_MT1A,0_MTAP,0_MTDH,0_MTG1,0_MTMR11,0_MTPAP,0_MTRR,0_MTSS1,0_MYD88,0_MYO5B,0_MYO9B,0_N4BP2L1,0_N4BP3,0_NAA25,0_NAALADL1,0_NAF1,0_NAPA,0_NAPSA,0_NASP,0_NAT10,0_NAV1,0_NCAPH,0_NCEH1,0_NCKAP5L,0_NCL,0_NCSTN,0_NDRG2,0_NDUFA4,0_NDUFA8,0_NDUFB8,0_NDUFS2,0_NDUFS4,0_NDUFV1,0_NEDD1,0_NFE2,0_NFE2L2,0_NFKB2,0_NFKBIE,0_NID2,0_NKX2-2,0_NKX3-2,0_NLRX1,0_NMB,0_NNMT,0_NONO,0_NOS1AP,0_NPEPL1,0_NPLOC4,0_NPM3,0_NPR3,0_NRBP1,0_NSL1,0_NT5DC2,0_NTRK3,0_NUP35,0_NUP43,0_NUS1,0_NXF1,0_ONECUT2,0_ORM1,0_OSBPL1A,0_PABPC1,0_PADI1,0_PAFAH1B1,0_PARD6A,0_PARP3,0_PATZ1,0_PAX9,0_PBX2,0_PCCA,0_PCDHGA1,0_PCGF3,0_PCID2,0_PCNA,0_PDCD1LG2,0_PDCD2,0_PDCD2L,0_PDCD5,0_PDCL2,0_PDE10A,0_PDIA3,0_PDK2,0_PDLIM1,0_PDP2,0_PDSS2,0_PECR,0_PELI1,0_PEX12,0_PEX26,0_PEX6,0_PFDN6,0_PFKM,0_PGAM2,0_PGLYRP2,0_PHB,0_PHC1,0_PHF10,0_PHF12,0_PHF14,0_PHF5A,0_PHIP,0_PHLDB1,0_PHLPP1,0_PIF1,0_PIGR,0_PIK3C3,0_PIK3R3,0_PILRB,0_PIWIL4,0_PKIB,0_PLCE1,0_PLCXD1,0_PLEKHJ1,0_PLK1,0_PLOD2,0_PLP2,0_PML,0_POC5,0_POLA2,0_POLD3,0_POLR2C,0_POMP,0_PON1,0_PON2,0_POTEE,0_POU2F1,0_POU2F2,0_POU5F1,0_PPAN-P2RY11,0_PPIE,0_PPIL3,0_PPP1R13B,0_PPP2R2C,0_PPP2R5A,0_PPRC1,0_PRAF2,0_PRDM4,0_PRDX3,0_PRDX4,0_PRDX5,0_PREP,0_PREX2,0_PRKACB,0_PRPF38B,0_PRPF39,0_PRTFDC1,0_PSKH1,0_PSMA6,0_PSMB1,0_PSMC3,0_PSMD14,0_PSMD8,0_PSMF1,0_PTGES2,0_PTGFRN,0_PTMA,0_PTPN22,0_PTPN3,0_PTPN7,0_PTPRA,0_PTPRE,0_PYCR1,0_PYGO2,0_RAB11FIP1,0_RAB22A,0_RAB32,0_RAB5C,0_RABGAP1,0_RAC2,0_RAD50,0_RAD51,0_RAD9A,0_RADIL,0_RANBP2,0_RANGAP1,0_RAP1GDS1,0_RAPGEF3,0_RASD2,0_RASL11A,0_RASSF4,0_RAVER2,0_RBBP7,0_RBBP8,0_RBL2,0_RBM10,0_RBM15,0_RBM17,0_RBM22,0_RBM25,0_RBM34,0_RBM38,0_RBM6,0_RBMX,0_RBMX2,0_RCC2,0_REC8,0_RELL1,0_RENBP,0_RFFL,0_RGMA,0_RGS1,0_RIC3,0_RIN3,0_RIOK1,0_RNASE3,0_RNASET2,0_RNF111,0_RNF17,0_RNF213,0_RNPEP,0_RPAP2,0_RPGR,0_RPL10,0_RPL10L,0_RPL23,0_RPL5,0_RPN2,0_RPP38,0_RPS25,0_RPS4X,0_RPS7,0_RRAGD,0_RRP15,0_RSPRY1,0_SAAL1,0_SARDH,0_SARNP,0_SCARA5,0_SCARB1,0_SCD,0_SDC3,0_SDC4,0_SDCBP2,0_SDCCAG8,0_SDF4,0_SEC63,0_SECISBP2,0_SEMA3A,0_SERBP1,0_SERPINA1,0_SERPINA3,0_SERPINA4,0_SETDB2,0_SF3A2,0_SF3A3,0_SFPQ,0_SGSM1,0_SH3GL1,0_SH3RF1,0_SHARPIN,0_SHC1,0_SHPK,0_SIK2,0_SIM2,0_SIPA1L1,0_SIRPA,0_SKP2,0_SLA,0_SLC1A5,0_SLC20A1,0_SLC25A11,0_SLC25A23,0_SLC25A5,0_SLC29A2,0_SLC2A5,0_SLC2A9,0_SLC30A9,0_SLC36A1,0_SLC38A6,0_SLC38A7,0_SLC39A8,0_SLC43A1,0_SLC46A2,0_SLC47A1,0_SLC7A5,0_SLMAP,0_SMARCA2,0_SMARCA5,0_SMOX,0_SMYD3,0_SNAI2,0_SNF8,0_SNRNP27,0_SNRNP48,0_SNRPB2,0_SNRPD1,0_SNX12,0_SOCS6,0_SP3,0_SPAG5,0_SPTY2D1,0_SRM,0_SRP54,0_SRR,0_SRRM2,0_SRRT,0_SSR1,0_SSR4,0_ST3GAL2,0_STAB1,0_STAP2,0_STAT3,0_STAT4,0_STRADB,0_STRN,0_STX17,0_STX6,0_SUB1,0_SUDS3,0_SUMO2,0_SUOX,0_SYNCRIP,0_SYNGR3,0_SYPL1,0_TACC2,0_TADA1,0_TADA2B,0_TAF1A,0_TAP1,0_TAP2,0_TAPT1,0_TARDBP,0_TBC1D1,0_TBCE,0_TBL1XR1,0_TBP,0_TCEA1,0_TCF3,0_TCIRG1,0_TCOF1,0_TFAM,0_TFB1M,0_TFDP2,0_TFE3,0_TGFBI,0_THBS2,0_THOC2,0_THOC3,0_TJP2,0_TLE2,0_TMCO1,0_TMED2,0_TMED9,0_TMEM115,0_TMEM116,0_TMEM132E,0_TMEM159,0_TMEM165,0_TMEM192,0_TMEM33,0_TMEM39A,0_TMEM51,0_TMEM59L,0_TMEM87B,0_TMEM9B,0_TMLHE,0_TMPPE,0_TNC,0_TNFRSF10B,0_TNFRSF11B,0_TNFRSF18,0_TNFRSF21,0_TNIP2,0_TNKS1BP1,0_TOE1,0_TOM1,0_TOMM6,0_TOP2A,0_TOR3A,0_TPD52L2,0_TPST1,0_TPT1,0_TPX2,0_TRABD,0_TRAF6,0_TRIAP1,0_TRIB3,0_TRIM17,0_TRIM28,0_TRIM35,0_TRIM4,0_TRIM52,0_TRIM65,0_TRIP4,0_TRMT1,0_TRMT2A,0_TSG101,0_TSHR,0_TST,0_TTC4,0_TTC9C,0_TUBA1B,0_TUBD1,0_TUSC1,0_TUSC3,0_TXN2,0_TXNDC5,0_TXNRD2,0_U2AF1L4,0_UBE2D3,0_UBE2D4,0_UBE2G2,0_UBQLN4,0_UBXN11,0_UBXN8,0_UCP2,0_UCP3,0_UGDH,0_UGT8,0_UPK3B,0_URGCP,0_USP1,0_USP15,0_USP22,0_USP39,0_USP45,0_UTP6,0_UXT,0_VAPA,0_VAPB,0_VEZF1,0_VGLL4,0_VIM,0_VPS35,0_VPS36,0_VPS41,0_VTI1B,0_WDFY1,0_WDR1,0_WDR17,0_WDR26,0_WDR31,0_WDR48,0_WDR54,0_WDR61,0_WDR7,0_WSB1,0_WT1,0_WWC1,0_WWP1,0_XK,0_XPO1,0_YWHAB,0_YWHAE,0_ZBTB12,0_ZBTB20,0_ZBTB4,0_ZBTB8OS,0_ZCCHC24,0_ZFP91,0_ZIC1,0_ZMYM2,0_ZNF131,0_ZNF133,0_ZNF143,0_ZNF146,0_ZNF251,0_ZNF267,0_ZNF37A,0_ZNF443,0_ZNF511,0_ZNF549,0_ZNF580,0_ZNF638,0_ZNF7,0_ZNF700,0_ZNF703,0_ZNF84,0_ZNHIT3,0_ZRANB2
0,0,0,0,0,0,0,249,0,0,0,133,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,59,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,51,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,315,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,153,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,18,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,8,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,354,0,0,0,0,0,201,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,253,294,0,0,0,0,0,0,0,0,245,430,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,126,0,0,0,0,0,0,68,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,76,0,0,0,71,0,0,0,0,256,0,0,354,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,107,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,90,146,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,66,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,1,0,1,0,10,298,0,0,0,63,0,0,2,0,0,1,0,0,1,11,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,166,0,0,0,0,0,1,1,0,0,5,0,97,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,16,5,0,2,0,0,2,0,0,0,0,1,49,0,0,0,0,62,6,0,0,1,0,16,386,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,2,68,0,0,0,0,0,0,1,2,1,0,6,0,27,0,0,1,2,0,3,357,0,2,3,0,14,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,368,1,0,3,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,66,0,5,0,0,0,0,2,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,123,0,456,451,0,0,0,0,0,0,1,4,3,0,0,6,1,1,1,0,0,0,5,0,3,0,1,0,0,0,0,0,104,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,260,0,2,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,6,2,0,0,0,0,1,4,0,260,0,0,37,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,2,0,0,272,0,1,0,0,0,0,0,35,69,2,222,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,1,1,0,0,0,0,0,0,0,263,0,0,0,0,0,0,1,304,0,0,17,0,1,5,0,0,0,0,0,0,2,0,1,6,0,0,0,0,2,2,0,1,0,0,2,454,1,0,0,1,0,2,462,410,0,1,0,0,0,0,0,0,0,210,0,0,6,1,0,1,0,1,1,0,2,0,27,428,0,0,1,0,0,0,4,0,0,1,1,99,0,307,0,0,0,0,15,0,0,2,2,1,0,0,0,0,0,278,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,57,31,0,0,2,3,0,0,0,1,90,23,77,0,0,2,1,0,1,1,0,346,0,2,2,0,0,47,0,0,177,0,0,0,0,111,7,147,181,0,0,0,0,0,0,1,0,30,0,2,0,4,2,0,4,0,2,0,0,0,7,75,46,2,0,0,0,1,5,0,58,2,0,6,0,1,1,0,0,8,1,0,0,0,0,3,1,1,0,0,1,1,0,1,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,277,0,1,0,0,3,0,1,32,1,15,0,0,0,0,2,0,0,0,1,1,0,19,21,1,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,0,14,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,133,0,309,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,4,0,1,1,4,0,194,0,17,0,0,0,12,0,0,154,2,0,0,0,1,0,0,1,1,0,0,1,0,5,0,0,0,2,6,2,0,0,0,0,127,0,0,0,0,0,0,0,0,1,1,0,0,0,172,0,0,0,0,1,0,1,6,9,0,0,3,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,8,279,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,78,0,0,0,0,2,0,0,0,5,153,0,0,3,0,23,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,1,5,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,4,0,1,0,6,0,1,0,0,18,0,0,0,0,0,0,0,0,254,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0
200,0,0,3,0,0,0,182,2,0,0,92,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,189,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,445,0,0,0,0,0,0,0,10,0,0,0,1,2,6,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,420,0,0,0,1,0,1,0,0,5,0,0,14,0,0,0,0,3,0,1,0,0,0,7,2,1,0,0,0,0,0,65,0,0,8,4,0,0,1,0,0,0,0,0,65,0,371,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,8,0,1,0,1,0,0,6,0,0,2,0,0,1,0,24,4,1,0,2,0,0,0,0,0,0,7,3,0,31,0,460,475,0,7,0,0,1,71,5,0,0,1,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,162,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,220,0,4,31,0,7,1,0,0,114,19,4,9,0,0,4,0,0,0,1,0,0,0,0,0,289,1,0,0,0,2,0,0,8,117,0,126,0,0,0,0,2,0,3,7,0,0,1,0,0,1,0,59,0,81,5,0,0,0,0,1,5,1,0,0,274,2,0,0,0,0,0,0,296,0,0,183,10,0,4,1,2,0,0,0,1,0,1,109,0,0,2,0,5,0,2,0,0,0,0,0,424,0,3,1,0,1,1,473,369,0,1,0,0,0,0,1,0,0,84,0,1,0,1,0,0,1,0,0,0,0,0,0,430,0,0,16,1,0,1,0,6,0,0,0,211,0,277,0,0,0,0,79,1,0,0,2,0,5,1,0,0,0,223,0,0,0,1,4,0,1,0,0,0,0,3,0,1,0,1,0,0,34,0,0,0,0,0,3,57,0,0,0,0,0,0,0,1,0,67,0,94,0,0,0,0,0,0,0,0,359,0,0,1,0,0,17,0,0,155,0,0,0,0,45,144,32,157,0,0,4,0,0,1,0,7,72,8,0,2,0,0,3,0,1,0,5,0,0,0,7,322,0,1,0,0,0,0,1,0,2,4,8,3,6,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,331,8,0,0,0,0,0,0,2,0,4,12,0,16,2,0,0,1,0,0,0,1,1,0,0,4,1,0,0,7,0,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,12,0,1,1,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,2,0,108,0,207,0,0,0,3,2,0,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,237,0,95,2,0,0,0,0,0,49,2,3,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,105,0,0,5,0,0,0,0,1,0,0,1,1,1,156,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,8,281,1,0,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,1,1,0,3,0,0,0,0,0,0,0,0,115,0,1,1,1,0,0,10,0,1,0,0,1,0,0,0,35,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,0,0,3,0,12,3,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,222,1,5,0,0,0,0,0,0,4,0,0,2,0,1,0,0,1,0,3
