gen,0_AAGAB,0_ABCA1,0_ABCB7,0_ABLIM3,0_ABR,0_ABTB2,0_ACAA1,0_ACAD9,0_ACADL,0_ACADS,0_ACAP1,0_ACOT2,0_ACOT9,0_ACSL1,0_ACTL6A,0_ACTN3,0_ACVRL1,0_ADAM17,0_ADAM8,0_ADAMTSL4,0_ADH5,0_AFAP1,0_AFF3,0_AGL,0_AIFM1,0_AKAP1,0_AKR1C1,0_AKTIP,0_ALAS1,0_ALDH16A1,0_ALDH18A1,0_ALDH1L2,0_ALDH6A1,0_ALG3,0_AMFR,0_AMT,0_ANAPC4,0_ANAPC7,0_ANKRD13D,0_ANKRD31,0_ANKRD39,0_ANKS6,0_ANP32A,0_ANP32E,0_ANXA2,0_ANXA5,0_AOAH,0_AP1G1,0_AP2B1,0_AP3B1,0_AP4B1,0_APBB1IP,0_APCS,0_APEH,0_API5,0_APOBEC3A,0_APOBEC3G,0_APOO,0_APOOL,0_APP,0_APTX,0_ARAF,0_ARFGEF1,0_ARHGAP5,0_ARNT2,0_ARPC5,0_ARSB,0_ATG16L1,0_ATM,0_ATP1A1,0_ATP1B1,0_ATP2A3,0_ATP2B3,0_ATP2B4,0_ATP6V1B1,0_ATP6V1E1,0_ATP6V1G1,0_ATXN1,0_ATXN2L,0_AUP1,0_AZI2,0_B3GNT9,0_BAK1,0_BAP1,0_BATF2,0_BCAR1,0_BCKDHA,0_BCL2,0_BCL2L1,0_BCL2L14,0_BCL7A,0_BDH2,0_BEX2,0_BHMT,0_BIRC3,0_BIRC5,0_BLZF1,0_BPHL,0_BRD3,0_BRD8,0_BRIP1,0_BST2,0_BTBD1,0_BTN3A3,0_C11orf45,0_C11orf54,0_C17orf75,0_C17orf97,0_C1orf116,0_C1orf159,0_C1orf162,0_C1orf174,0_C1orf54,0_C2orf88,0_C3orf14,0_C5orf24,0_CAB39L,0_CACYBP,0_CAD,0_CALHM2,0_CAMK4,0_CAP1,0_CAPG,0_CAPN1,0_CAPZA1,0_CARD11,0_CARD8,0_CARHSP1,0_CASP4,0_CASP8,0_CBWD5,0_CBX1,0_CBX4,0_CC2D2B,0_CCDC102B,0_CCDC127,0_CCDC25,0_CCDC28A,0_CCDC57,0_CCDC59,0_CCDC68,0_CCDC88B,0_CCT5,0_CCT6B,0_CD101,0_CD44,0_CD53,0_CDC20,0_CDC27,0_CDH2,0_CDH23,0_CDK11B,0_CDK17,0_CDK7,0_CDKN1A,0_CDKN2AIPNL,0_CDYL,0_CEBPB,0_CEP55,0_CES3,0_CFB,0_CFHR1,0_CHCHD10,0_CHD1,0_CHD1L,0_CHDH,0_CHEK2,0_CHI3L2,0_CHPF2,0_CHRD,0_CHRDL1,0_CHRNB1,0_CHST12,0_CIITA,0_CIR1,0_CITED2,0_CKS1B,0_CLDN2,0_CLDN7,0_CLEC4D,0_CLIC1,0_CLIC3,0_CLK2,0_CLN5,0_CLRN3,0_CLYBL,0_CMIP,0_CMPK1,0_CMPK2,0_CMTM3,0_CNIH4,0_CNOT8,0_CNTN2,0_CNTNAP1,0_COG8,0_COL13A1,0_COL1A1,0_COL1A2,0_COL4A1,0_COMMD8,0_COMT,0_COPS4,0_COQ4,0_COQ7,0_COQ9,0_COX5A,0_CP,0_CPNE5,0_CPNE8,0_CRAT,0_CREB3L4,0_CREBBP,0_CRHBP,0_CRISPLD2,0_CRP,0_CSF1R,0_CSNK1E,0_CTAGE1,0_CTDSPL,0_CTSD,0_CTSH,0_CTSZ,0_CTTNBP2,0_CYB5R3,0_CYC1,0_DAXX,0_DCBLD2,0_DCLK1,0_DCP1B,0_DCUN1D3,0_DDB1,0_DDX19B,0_DDX42,0_DENR,0_DFFA,0_DHX16,0_DHX29,0_DIAPH1,0_DIAPH2,0_DIRAS3,0_DLG2,0_DMP1,0_DMTF1,0_DNAJB1,0_DNAJB11,0_DNAJB12,0_DNAJB7,0_DNAJC25,0_DNAJC7,0_DNAL4,0_DNMT3A,0_DNMT3B,0_DOK1,0_DOK4,0_DPY30,0_DPYSL3,0_DSC2,0_DSG2,0_DUSP7,0_DUSP8,0_DZIP1L,0_EAPP,0_ECD,0_EDN1,0_EEF1D,0_EFHC2,0_EFNA5,0_EFS,0_EFTUD2,0_EIF2S2,0_EIF2S3,0_EIF3B,0_EIF3E,0_EIF4E,0_EIF4EBP1,0_EIF4ENIF1,0_ELOVL7,0_EML4,0_ENAH,0_ENO2,0_ENPP3,0_ENPP4,0_ENY2,0_EPB41L2,0_EPHA3,0_EPHB2,0_ERCC5,0_ERGIC3,0_ERLIN2,0_ERN2,0_ETV5,0_EVI5L,0_EWSR1,0_EXOSC1,0_EXOSC2,0_EXTL3,0_EYA4,0_F2,0_FABP7,0_FAM104B,0_FAM122A,0_FAM136A,0_FAM172A,0_FAM193B,0_FAM47E,0_FAM81A,0_FANCG,0_FBXO6,0_FCAR,0_FCHO1,0_FGB,0_FGF2,0_FGFR4,0_FIGN,0_FIS1,0_FKBP10,0_FKBP5,0_FLNA,0_FLOT1,0_FLRT3,0_FNBP1L,0_FOXK1,0_FOXO1,0_FOXP2,0_FRAT1,0_FRRS1,0_FSD1L,0_FXN,0_FXR1,0_FXR2,0_FXYD2,0_GAB2,0_GAB3,0_GABRG3,0_GALK1,0_GALNT7,0_GAS1,0_GBA2,0_GBP1,0_GBP2,0_GBP5,0_GCK,0_GDI1,0_GEN1,0_GGA2,0_GGTA1,0_GGTLC1,0_GIT2,0_GLB1,0_GLB1L,0_GLI2,0_GLIPR2,0_GLOD5,0_GLRX5,0_GLT8D2,0_GLUD1,0_GLUD2,0_GMPR,0_GNG5,0_GOT2,0_GPD2,0_GPR132,0_GPR143,0_GPR183,0_GPX3,0_GRAMD1B,0_GREM2,0_GRINA,0_GRK5,0_GSTA1,0_GSTA3,0_GSTK1,0_GSTO2,0_GSTZ1,0_GTF2B,0_GTF2H1,0_GTPBP2,0_GTSF1,0_GUSB,0_GYS1,0_HADH,0_HAPLN3,0_HBP1,0_HDAC10,0_HDAC3,0_HDAC5,0_HEG1,0_HELQ,0_HERPUD1,0_HESX1,0_HGF,0_HGSNAT,0_HHAT,0_HIBCH,0_HIF3A,0_HINT2,0_HKDC1,0_HLA-DMA,0_HLA-DQB1,0_HLA-DRB1,0_HMGA2,0_HMGB1,0_HMGB2,0_HNRNPA2B1,0_HNRNPF,0_HOXC13,0_HP1BP3,0_HPN,0_HPS5,0_HS2ST1,0_HSD17B11,0_HSD17B12,0_HSD17B6,0_HSD17B7,0_HSD17B8,0_HSPA8,0_HSPB8,0_HTATIP2,0_HTATSF1,0_HTT,0_ICA1,0_ICAM1,0_IDH3A,0_IDH3G,0_IDI1,0_IER3,0_IER5,0_IFFO2,0_IFNG,0_IKBIP,0_IL4I1,0_IMMT,0_IMPACT,0_INF2,0_INPP5B,0_INTS8,0_IP6K1,0_IRAK3,0_IRF1,0_IRF2,0_ISG20L2,0_ITGB3BP,0_ITGB5,0_IVD,0_JAKMIP2,0_JARID2,0_JTB,0_JUN,0_JUP,0_KCNA5,0_KCND1,0_KCNE3,0_KCNE4,0_KCNJ15,0_KCNJ2,0_KCNK6,0_KCNS3,0_KCTD16,0_KDELR2,0_KDM6B,0_KIAA0232,0_KIAA1671,0_KIF18A,0_KIF20A,0_KIF21B,0_KIF2A,0_KIF7,0_KLC4,0_KRBA1,0_KRT19,0_L2HGDH,0_LACTB2,0_LAMP1,0_LARS2,0_LBP,0_LBR,0_LCMT2,0_LEMD2,0_LEO1,0_LGALS9,0_LGI4,0_LIG3,0_LIMA1,0_LIN54,0_LMAN2,0_LNX1,0_LPAR2,0_LPAR5,0_LRCH2,0_LRRC59,0_LRRN4CL,0_LTV1,0_MACC1,0_MACF1,0_MAEA,0_MAF,0_MAGEA4,0_MAGI2,0_MAGOH,0_MAML3,0_MANSC1,0_MAP3K1,0_MAP3K14,0_MAP3K8,0_MAPK12,0_MAPK8,0_MAZ,0_MCCC1,0_MCL1,0_MCPH1,0_MDM4,0_MED12,0_MEGF9,0_MEP1A,0_MET,0_MFSD6,0_MGST1,0_MICAL2,0_MID1,0_MIOS,0_MLH1,0_MLX,0_MME,0_MMGT1,0_MMP14,0_MMP2,0_MOCS2,0_MOGS,0_MORC2,0_MORC3,0_MPV17L,0_MRPL1,0_MRPL4,0_MRPL44,0_MS4A6A,0_MSRB3,0_MST1R,0_MSTN,0_MSTO1,0_MT1A,0_MT1E,0_MTCH1,0_MTMR11,0_MYC,0_MYO5B,0_MYOF,0_N4BP1,0_N4BP2L2,0_N4BP3,0_NAA25,0_NARS2,0_NAT10,0_NCAM2,0_NCAPH,0_NCBP1,0_NCBP2,0_NCKAP5L,0_NDRG3,0_NDST2,0_NDUFA4L2,0_NDUFAF1,0_NDUFB1,0_NDUFB6,0_NFE2L1,0_NFIL3,0_NFIX,0_NFS1,0_NGEF,0_NID2,0_NIPSNAP3A,0_NIT1,0_NLN,0_NME2,0_NMNAT3,0_NMT1,0_NOL11,0_NOL7,0_NOP58,0_NPC2,0_NPEPL1,0_NRG2,0_NRSN2,0_NSUN6,0_NT5DC2,0_NTRK3,0_NUDCD3,0_NUDT1,0_NUDT14,0_NUDT9,0_NUP62,0_NXPH2,0_OCLN,0_OFD1,0_OGFOD2,0_OGFR,0_OGT,0_OLA1,0_ONECUT2,0_OSBPL1A,0_OSMR,0_OTP,0_OTUD1,0_OXSM,0_P2RX6,0_P4HA3,0_PA2G4,0_PABPC1,0_PADI1,0_PAFAH1B1,0_PAFAH2,0_PARP12,0_PARP3,0_PARP6,0_PATZ1,0_PBX2,0_PCBP3,0_PCCA,0_PCDHGA1,0_PCGF1,0_PCLO,0_PCYOX1,0_PDCD1,0_PDCD11,0_PDCL2,0_PDE10A,0_PDIA5,0_PDIA6,0_PEX3,0_PEX6,0_PFKM,0_PGK2,0_PGLYRP2,0_PGPEP1,0_PGS1,0_PHF8,0_PHKA2,0_PHLDB1,0_PIF1,0_PIGR,0_PINK1,0_PIP4K2A,0_PIWIL4,0_PKD2L2,0_PKP4,0_PLA2G15,0_PLA2G5,0_PLAU,0_PLEC,0_PLEKHG3,0_PLXDC1,0_PMPCB,0_PNPLA3,0_PNPLA8,0_PODNL1,0_POLA2,0_PON1,0_PON2,0_POU2F1,0_POU5F1,0_PPIG,0_PPIP5K1,0_PPP1R3B,0_PPP2CB,0_PPP2R2C,0_PPWD1,0_PRAM1,0_PRCC,0_PRDM1,0_PRELID1,0_PRKAA2,0_PRKAR1B,0_PRKCB,0_PRODH2,0_PROS1,0_PRPF39,0_PRTN3,0_PSEN1,0_PSMA5,0_PSMA6,0_PSMB10,0_PSMB2,0_PSMB8,0_PSMB9,0_PSMD14,0_PSMD3,0_PTER,0_PTGES2,0_PTGIS,0_PTMA,0_PTPN12,0_PTPN2,0_PTPN22,0_PTPN23,0_PTPN7,0_PTRH2,0_PWWP2B,0_PXDN,0_PYCARD,0_PYCR1,0_PYGO2,0_RAB11FIP1,0_RAB11FIP4,0_RAB11FIP5,0_RABEPK,0_RABGAP1,0_RABGGTB,0_RABIF,0_RACGAP1,0_RAD54L2,0_RAD9B,0_RALA,0_RANBP3L,0_RASGRF1,0_RASSF4,0_RAVER2,0_RBBP4,0_RBL1,0_RBM34,0_RBM8A,0_RCC2,0_RCN1,0_RCOR3,0_RELL1,0_RENBP,0_RFC5,0_RGL2,0_RNASEH2B,0_RNASET2,0_RNF139,0_RNF180,0_RNF181,0_RNF20,0_RNF38,0_RNF4,0_RNPEP,0_RPL10,0_RPL12,0_RPL19,0_RPL23,0_RPL24,0_RPL31,0_RPL37A,0_RPL7,0_RPLP2,0_RPRD1A,0_RPS10,0_RPS20,0_RPS27A,0_RPS4X,0_RPS5,0_RPS6KA1,0_RRP15,0_S100A10,0_S100A11,0_S1PR2,0_SAMM50,0_SART3,0_SCAPER,0_SCARA5,0_SCARB1,0_SCARF2,0_SCD,0_SCFD2,0_SCIN,0_SCYL3,0_SDC4,0_SDCBP2,0_SDHB,0_SDR39U1,0_SEC24B,0_SEC63,0_SECISBP2L,0_SEMA4D,0_SENP8,0_SERPINA3,0_SERPINB6,0_SERPINH1,0_SETD2,0_SETDB2,0_SF3A3,0_SFXN2,0_SFXN3,0_SH2D4A,0_SH3PXD2B,0_SHARPIN,0_SHC1,0_SHROOM2,0_SHROOM3,0_SIPA1L1,0_SIRPA,0_SIRT5,0_SIRT7,0_SLA,0_SLC12A9,0_SLC15A4,0_SLC16A3,0_SLC16A7,0_SLC17A4,0_SLC1A4,0_SLC26A2,0_SLC27A2,0_SLC38A6,0_SLC39A6,0_SLC41A3,0_SLC43A2,0_SLC44A3,0_SLC7A6OS,0_SLC9A2,0_SLK,0_SMARCC2,0_SMARCD1,0_SMU1,0_SNAI2,0_SNAPIN,0_SNN,0_SNRNP48,0_SNRNP70,0_SNRPA1,0_SNRPC,0_SNRPD1,0_SNRPD3,0_SNX10,0_SNX14,0_SNX15,0_SNX29,0_SOD2,0_SOS2,0_SOX30,0_SPAG5,0_SPTLC1,0_SPTY2D1,0_SREBF2,0_SRM,0_SRPX2,0_SRR,0_SSC5D,0_SSR4,0_SSX2IP,0_ST8SIA5,0_STARD13,0_STAT4,0_STBD1,0_STRADA,0_STRN,0_STT3A,0_STX17,0_SUB1,0_SUCLG2,0_SULT1C2,0_SUMO4,0_SUPT5H,0_SYNGR1,0_SYNGR2,0_SYNGR3,0_SYNJ2BP,0_SYTL1,0_TAF1,0_TAF15,0_TAF9B,0_TAP1,0_TBC1D15,0_TBC1D4,0_TBCE,0_TC2N,0_TCEA3,0_TCIRG1,0_TCP11L1,0_TGFBI,0_THAP5,0_THAP8,0_THG1L,0_THOC1,0_THOC7,0_THUMPD3,0_TIAM1,0_TIGD1,0_TJP2,0_TMBIM6,0_TMCO1,0_TMED8,0_TMEM132E,0_TMEM14A,0_TMEM165,0_TMEM176A,0_TMEM176B,0_TMEM25,0_TMEM72,0_TMEM8B,0_TMEM9B,0_TMPRSS2,0_TMX4,0_TNFRSF18,0_TNFRSF21,0_TNFRSF6B,0_TNFSF13B,0_TNFSF4,0_TNIP2,0_TOLLIP,0_TPM2,0_TPM3,0_TPX2,0_TRAF3IP2,0_TRAFD1,0_TRAM1,0_TRIM22,0_TRIM27,0_TRIM38,0_TRIM5,0_TRIM52,0_TRIM65,0_TRIP11,0_TSEN34,0_TSG101,0_TST,0_TTC17,0_TTC19,0_TTC32,0_TTC39C,0_TUBB6,0_TUFM,0_UACA,0_UBAC1,0_UBC,0_UBE2C,0_UBE2D2,0_UBE2F,0_UBE2L6,0_UBE2Z,0_UBXN4,0_UBXN6,0_UBXN8,0_UCP2,0_UGT1A6,0_UNC93B1,0_UPB1,0_UPK3B,0_UQCRFS1,0_UROC1,0_USF1,0_USP2,0_USP4,0_USP6NL,0_UTP6,0_VAC14,0_VEZF1,0_VIM,0_VPS16,0_VPS37C,0_VTI1A,0_VTI1B,0_WDFY1,0_WDR1,0_WDR17,0_WDR26,0_WDR33,0_WDR6,0_WDR90,0_WSCD2,0_WWP1,0_XIAP,0_XKR9,0_XPC,0_XPO1,0_XRCC1,0_ZBTB12,0_ZBTB4,0_ZC3H14,0_ZC3HC1,0_ZCCHC8,0_ZDHHC17,0_ZFC3H1,0_ZNF267,0_ZNF503,0_ZNF511,0_ZNF532,0_ZNF579,0_ZNF608,0_ZNF638,0_ZNF677,0_ZNF763,0_ZNHIT3,0_ZNHIT6,0_ZRANB1
0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1,0,0,134,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,17,0,0,0,0,183,0,0,0,0,157,0,0,110,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,96,0,0,0,0,0,192,0,32,0,156,93,0,0,0,0,0,0,111,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,101,0,211,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,92,82,0,0,0,0,0,0,0,0,83,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,62,0,57,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,4,0,0,0,0,0,0,0,0,0,9,0,44,84,0,0,0,0,0,0,0,124,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,69,0,0,0,0,59,0,0,0,0,155,0,116,93,62,0,0,71,0,0,50,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,0,0,0,236,0,177,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,163,0,0,0,0,99,0,0,0,232,0,60,60,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,220,0,56,0,166,0,0,0,346,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,146,0,0,111,0,0,0,0,0,0,0,0,168,0,0,0,0,205,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,11,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,95,0,0,0,0,0,16,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,98,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,85,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,235,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,77,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,45,0,128,0,143,0,93,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,99,0,0,63,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,79,216,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,140,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,15,20,0,0,1,0,0,336,16,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,2,0,1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,52,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,324,2,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,87,0,0,0,1,280,0,1,0,0,295,3,0,0,0,0,0,0,0,0,2,0,0,451,1,0,0,1,3,1,0,0,0,0,0,0,0,168,0,240,0,0,1,0,0,144,0,0,0,0,0,1,0,0,13,0,0,0,0,0,7,0,0,0,0,4,0,33,1,2,10,0,6,401,17,354,0,0,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,211,4,0,0,0,0,0,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,43,0,1,1,0,1,0,1,6,52,1,4,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,8,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,2,19,1,0,0,0,0,0,386,0,0,0,7,0,3,2,0,3,0,0,1,0,1,394,3,0,3,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,406,0,404,44,0,0,0,72,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,9,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0,43,0,5,2,0,0,0,7,413,0,335,0,0,43,1,96,0,0,0,9,0,0,1,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,11,1,0,0,0,1,0,1,0,0,0,0,2,9,0,1,0,64,5,6,0,387,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,415,18,33,0,10,16,0,0,396,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,1,1,2,3,1,0,403,0,1,1,0,239,0,0,2,0,3,0,0,2,0,0,2,0,0,5,2,0,0,0,0,2,0,0,0,0,1,0,0,7,0,0,0,0,1,62,3,6,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,3,4,212,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,2,0,2,0,0,1,22,0,0,0,1,0,0,148,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,337,1,0,0,0,61,0,1,0,205,0,0,3,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,3,0,5,0,0,0,20,0,0,0,0,85,268,1,0,0,0,0,6,1,0,0,3,4,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,134,1,274,0,0,0,0,1,0,0,0,0,0,17,2,4,1,0,0,0,1,6,4,0,0,0,0,0,1,0,0,0,3,119,0,6,4,0,0,3,0,0,0,0,0,0,0,0,330,0,1,4,0,0,0,0,0,3,4,0,2,0,0,426,0,1,2,0,2,1,0,2,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,42,0,1,0,49,3,0,0,0,0,0,8,2,0,1,19,0,353,0,0,411,0,1,1,222,1,4,1,1,0,0,0,0,0,4,0,414,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,175,0,0,0,0,0,1,0,0,0,0,1,0,2,1,3,0,0,0,2,1,0,0,1,0,0,1,2,0,0,0,0,21,0,0,0,0,0,0,62,3,0,0,0,3,0,0,0,1,0,0,0,422,2,0,1,40,0,0,1,24,4,1,0,1,1,354,0,0,46,0,0,0,1,404,1,2,0,6,19,0,413,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,5,0,0
200,0,0,0,0,0,0,0,0,236,0,5,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,18,1,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,7,0,1,0,0,0,0,0,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,284,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,37,1,0,0,0,0,2,1,0,2,0,0,0,0,1,185,0,0,0,0,383,1,0,0,0,0,0,0,0,0,0,0,0,462,0,1,1,0,0,0,0,0,1,0,0,3,0,228,2,187,0,0,1,3,0,171,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,220,0,0,0,0,0,465,15,228,8,16,0,2,2,0,5,1,0,1,0,0,0,0,0,15,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,0,12,0,2,1,0,0,0,0,77,0,1,0,1,1,1,0,0,0,0,89,0,1,2,0,0,2,25,0,0,0,0,0,4,0,0,0,0,0,1,8,1,0,1,0,0,1,141,0,0,0,0,0,0,3,16,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,400,0,1,1,0,0,0,0,0,0,0,0,1,4,0,432,0,2,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,3,430,5,423,0,0,0,0,38,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,11,1,0,0,1,1,0,1,0,1,0,3,1,0,0,2,0,1,0,0,0,0,1,0,393,2,265,0,0,0,0,73,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,10,322,0,0,0,2,0,0,0,0,0,1,0,0,0,0,87,0,0,0,0,2,2,428,0,0,2,0,12,0,0,377,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,13,0,51,1,376,1,0,0,0,257,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,124,0,0,6,0,1,0,0,0,1,0,0,199,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,1,152,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,267,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,2,1,0,0,0,0,0,0,90,0,3,0,0,1,7,0,2,0,0,0,0,0,0,1,0,0,0,5,0,1,1,0,0,1,0,0,0,312,0,0,3,0,0,1,0,0,0,1,24,2,0,0,0,1,3,0,5,0,0,0,0,2,0,0,0,2,3,0,65,0,0,2,0,0,1,0,0,0,1,0,4,0,0,235,0,0,1,0,1,1,2,0,0,74,1,0,1,0,441,0,0,0,1,0,0,0,0,0,4,56,0,0,0,246,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,7,18,0,1,2,0,0,0,0,0,1,0,2,1,0,0,2,236,2,1,397,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,430,2,1,2,14,0,3,0,1,2,0,0,1,0,4,1,229,29,0,0,1,4,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,1,144,3,0,0,1,0,0,0,1,0,0,0,0,413,0,2,1,0,1,3,0,0,0,0,0,0,1,374,0,0,2,0,4,1,0,438,0,0,0,0,11,2,410,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1
