gen,0_AAAS,0_ABCA2,0_ABCA3,0_ABCB6,0_ABHD14B,0_ACAD8,0_ACAD9,0_ACADM,0_ACAP2,0_ACAT2,0_ACBD5,0_ACIN1,0_ACO2,0_ACY1,0_ADAL,0_ADAM33,0_ADCY2,0_ADCY3,0_ADH5,0_ADK,0_AEBP1,0_AFP,0_AK3,0_AKAP8L,0_AKAP9,0_AKR1C1,0_ALDH4A1,0_ALG13,0_ALKBH3,0_ANAPC4,0_ANAPC5,0_ANK3,0_ANKRD13D,0_ANKRD22,0_ANKRD49,0_ANO10,0_ANP32A,0_ANP32B,0_ANXA5,0_AP2B1,0_APCS,0_APLP2,0_APOBEC3A,0_APP,0_AQP1,0_ARFIP1,0_ARHGAP24,0_ARHGEF12,0_ARHGEF16,0_ARL3,0_ARL6,0_ARL6IP5,0_ARPC1A,0_ARPC3,0_ARPC5,0_ARPC5L,0_ARSD,0_ATAD2,0_ATM,0_ATP10D,0_ATP1B3,0_ATPAF1,0_AUP1,0_AURKB,0_B3GNTL1,0_B4GALT3,0_B9D2,0_BANF1,0_BAP1,0_BCAR3,0_BCAS3,0_BCAT2,0_BCL2L12,0_BCL7A,0_BDH1,0_BICD1,0_BIRC2,0_BIRC3,0_BIRC5,0_BLM,0_BLZF1,0_BMP6,0_BNIP3L,0_BRAF,0_BRD4,0_BRF2,0_BRIP1,0_BRWD1,0_BST2,0_BTF3,0_BTF3L4,0_C11orf54,0_C12orf57,0_C17orf97,0_C19orf12,0_C1orf109,0_C1orf162,0_C1orf226,0_C1orf54,0_C3orf18,0_C4BPA,0_C4orf19,0_C5orf22,0_C5orf34,0_C5orf46,0_C6orf62,0_C8G,0_CAB39L,0_CAMSAP1,0_CAPZB,0_CARD11,0_CASP1,0_CASP2,0_CASP8,0_CBLC,0_CBWD1,0_CBX1,0_CBX3,0_CBX7,0_CCDC115,0_CCDC152,0_CCDC59,0_CCDC88C,0_CCM2,0_CCNA2,0_CCNB2,0_CCT6B,0_CD276,0_CD300C,0_CD53,0_CDC20,0_CDC6,0_CDCA5,0_CDH1,0_CDH11,0_CDH23,0_CDHR2,0_CDK1,0_CDK11A,0_CDK17,0_CDK20,0_CDK4,0_CDKN1A,0_CDKN2A,0_CDR2L,0_CDS2,0_CDT1,0_CEBPB,0_CENPA,0_CEP55,0_CEP72,0_CFHR1,0_CFHR5,0_CHAC1,0_CHAF1A,0_CHD1,0_CHD1L,0_CHDH,0_CHEK2,0_CHMP4C,0_CHP2,0_CHPF2,0_CHST12,0_CIB2,0_CIR1,0_CITED2,0_CKS2,0_CLDN4,0_CLEC11A,0_CLEC4D,0_CLIC1,0_CLK2,0_CMPK1,0_CNDP2,0_CNOT3,0_CNTNAP1,0_COBL,0_COG1,0_COG8,0_COIL,0_COL4A1,0_COPA,0_COPS2,0_COPS3,0_COQ9,0_COX18,0_COX19,0_CPE,0_CPNE1,0_CPNE5,0_CRTC1,0_CRTC2,0_CRY2,0_CRYZ,0_CSGALNACT2,0_CSNK1E,0_CSNK2B,0_CSPG4,0_CSRNP3,0_CTBP2,0_CTDSPL,0_CTNNA1,0_CTNNBL1,0_CYB5B,0_CYFIP2,0_CYP2R1,0_CYTH4,0_DCAF12L1,0_DCTN1,0_DCUN1D3,0_DCUN1D5,0_DDR1,0_DDX19B,0_DDX41,0_DDX59,0_DECR1,0_DEF8,0_DEK,0_DEPDC1,0_DERL1,0_DERL2,0_DFFB,0_DGCR8,0_DGUOK,0_DHX16,0_DIAPH1,0_DIAPH2,0_DKC1,0_DLD,0_DLGAP4,0_DLST,0_DMGDH,0_DMXL2,0_DNA2,0_DNAJA3,0_DNAJC1,0_DNAJC12,0_DNAJC2,0_DNAJC5,0_DNAL1,0_DNASE1L3,0_DNMT3B,0_DPYSL4,0_DSG2,0_DUSP14,0_DUSP7,0_DYRK4,0_E2F1,0_ECHS1,0_EDNRB,0_EFS,0_EGR1,0_EHBP1L1,0_EIF2AK2,0_EIF2B1,0_EIF3D,0_EIF3H,0_EIF4E3,0_EIF5A,0_ELF3,0_ELF4,0_ELMOD2,0_ELMOD3,0_ELOVL7,0_EME1,0_ENGASE,0_ENO2,0_ENY2,0_EP400,0_EPHA3,0_EPHB2,0_ERCC6L,0_ESF1,0_ESRRA,0_ETFDH,0_EWSR1,0_EXOSC1,0_EYA4,0_EZH2,0_F11R,0_F2,0_FABP7,0_FADS1,0_FAM104A,0_FAM111A,0_FAM122B,0_FAM136A,0_FAM156A,0_FAM160A1,0_FAM171A1,0_FAM47E,0_FAM83H,0_FAM91A1,0_FANCG,0_FBXL5,0_FCHSD1,0_FEN1,0_FGF9,0_FGR,0_FH,0_FKBP10,0_FLNA,0_FLRT3,0_FNIP2,0_FNTA,0_FOXJ2,0_FUCA1,0_FXR1,0_FXYD2,0_G3BP1,0_G6PC,0_GABPA,0_GALNT7,0_GAPDH,0_GBA2,0_GBP1,0_GBP5,0_GCSH,0_GDF15,0_GEM,0_GEN1,0_GGA3,0_GHITM,0_GIT2,0_GLI2,0_GLIPR2,0_GLOD5,0_GLRX2,0_GLRX5,0_GLT8D2,0_GMIP,0_GNRH1,0_GORAB,0_GPC4,0_GPR107,0_GPRC5C,0_GRAMD1C,0_GRB10,0_GRB7,0_GREM2,0_GRK5,0_GRSF1,0_GRTP1,0_GSK3B,0_GSTA1,0_GSTO2,0_GSTZ1,0_GTPBP2,0_GTSF1,0_GYS1,0_HAUS1,0_HBP1,0_HDAC1,0_HDAC10,0_HDGF,0_HDHD2,0_HERC3,0_HEYL,0_HGF,0_HIBADH,0_HIPK2,0_HLA-DMA,0_HMGCR,0_HMGN3,0_HNF1B,0_HNRNPA1,0_HNRNPA2B1,0_HNRNPF,0_HNRNPUL1,0_HOXC13,0_HP1BP3,0_HPS3,0_HSD17B11,0_HSD17B3,0_HSD17B6,0_HSD17B8,0_HTR1E,0_HUNK,0_HYLS1,0_IDH3A,0_IDH3G,0_IER3,0_IFRD1,0_IK,0_IKBKE,0_ILF2,0_ILF3,0_IMPA2,0_INPP5A,0_INPP5B,0_INTS3,0_IP6K1,0_IQCK,0_IRF1,0_IRF3,0_IRF7,0_ISCU,0_IVD,0_IWS1,0_JAKMIP2,0_JARID2,0_JPH2,0_JUP,0_KANK2,0_KCNA5,0_KCND1,0_KCNJ15,0_KCNK1,0_KCTD16,0_KHSRP,0_KIAA0319L,0_KIAA1671,0_KIF13B,0_KIF18A,0_KIF4A,0_KIF4B,0_KIF7,0_KIF9,0_KISS1R,0_KLC4,0_KLHDC2,0_KLHL36,0_KPTN,0_KRT4,0_KYNU,0_L2HGDH,0_LAPTM5,0_LEMD2,0_LGI4,0_LGR5,0_LIMK1,0_LIMK2,0_LINS1,0_LMCD1,0_LNX2,0_LPCAT1,0_LRBA,0_LRG1,0_LRPAP1,0_LRPPRC,0_LRRN4CL,0_LSM12,0_LSM2,0_LTV1,0_LUC7L2,0_LUZP1,0_LYPD6,0_MAGEA4,0_MAML1,0_MAP1LC3B,0_MAP3K9,0_MAPK11,0_MAPT,0_MBD4,0_MCAT,0_MCCC1,0_MCCC2,0_MCM6,0_MCM7,0_MCM9,0_MDM4,0_MECP2,0_MED12L,0_MED6,0_MEGF9,0_MEP1A,0_MFNG,0_MGST3,0_MIA2,0_MIER2,0_MKKS,0_MKNK1,0_MMP14,0_MOAP1,0_MON1B,0_MORC3,0_MORF4L2,0_MPND,0_MPV17L,0_MRPL18,0_MRPL24,0_MRPL44,0_MRPS18B,0_MSH6,0_MSN,0_MSRB3,0_MST1R,0_MTCH1,0_MTHFD1,0_MYO10,0_MYO1C,0_MYO9B,0_N4BP1,0_NAA25,0_NAIP,0_NAPSA,0_NASP,0_NAT10,0_NAV1,0_NBEA,0_NCAPH,0_NCBP2,0_NCEH1,0_NCL,0_NDRG2,0_NDST2,0_NDUFA4L2,0_NDUFA5,0_NDUFAF2,0_NDUFB6,0_NDUFS4,0_NDUFV1,0_NEK1,0_NEK8,0_NEU1,0_NEUROD1,0_NF2,0_NFIL3,0_NFX1,0_NIT1,0_NKIRAS1,0_NKX2-2,0_NLRP1,0_NME2,0_NME5,0_NMUR1,0_NNT,0_NOL11,0_NOP56,0_NOS1AP,0_NOTCH3,0_NPM1,0_NPR3,0_NRBP1,0_NRG2,0_NT5DC2,0_NUDT1,0_NUP35,0_NXF1,0_OCIAD2,0_OCLN,0_ODC1,0_OGDHL,0_OTP,0_OTUD6B,0_OXSM,0_P2RX6,0_P4HA2,0_P4HTM,0_PABPN1,0_PAFAH2,0_PAICS,0_PANK2,0_PAPOLG,0_PAQR7,0_PARD6A,0_PAX9,0_PBXIP1,0_PCBP3,0_PCDH18,0_PCDHB7,0_PCDHGA1,0_PCID2,0_PCK1,0_PCYOX1,0_PDCD1,0_PDCL2,0_PDE10A,0_PDK2,0_PDLIM2,0_PDP2,0_PDSS2,0_PFDN4,0_PFDN6,0_PGLYRP2,0_PGPEP1,0_PGS1,0_PHF8,0_PHLDB3,0_PHYH,0_PIF1,0_PIGL,0_PIGQ,0_PIGR,0_PIK3R6,0_PIN4,0_PINK1,0_PIR,0_PIWIL4,0_PJA1,0_PKP4,0_PLA2G15,0_PLCXD1,0_PLEKHA7,0_PLK1,0_PLTP,0_PMM2,0_PMPCA,0_PNN,0_POC5,0_POLA2,0_POMP,0_PON1,0_POU3F3,0_PPA2,0_PPAN,0_PPAN-P2RY11,0_PPARA,0_PPIE,0_PPIG,0_PPIH,0_PPM1A,0_PPME1,0_PPP1R13B,0_PPP1R3B,0_PPP1R8,0_PPP3R1,0_PPP3R2,0_PPRC1,0_PPWD1,0_PQBP1,0_PRC1,0_PRDM11,0_PRDX2,0_PRDX5,0_PRELID1,0_PRKAA2,0_PROC,0_PRPF39,0_PRPF40A,0_PRTFDC1,0_PSENEN,0_PSKH1,0_PSMA1,0_PSMA4,0_PSMA5,0_PSMB1,0_PSMB2,0_PSMB9,0_PSMC2,0_PSMD12,0_PSMD13,0_PSMD8,0_PSMF1,0_PSMG3,0_PTER,0_PTGIS,0_PTGR2,0_PTPN22,0_PTPN3,0_PUM1,0_PXMP4,0_PYCR1,0_PYGO2,0_RAB11FIP1,0_RAB11FIP4,0_RAB22A,0_RAB32,0_RAB9B,0_RAD54L2,0_RAD9A,0_RALBP1,0_RALGDS,0_RAP1GAP,0_RARB,0_RASEF,0_RASGRF1,0_RBM22,0_RBM28,0_RBM47,0_RBMX2,0_RBPMS,0_RCC1,0_RCC2,0_RCCD1,0_RCN1,0_RECQL4,0_REM1,0_RFC2,0_RFC3,0_RGMA,0_RIC8B,0_RIMS2,0_RIN2,0_RNASEH2B,0_RNASET2,0_RNF113A,0_RNF123,0_RNF17,0_RNF4,0_RNF40,0_RPA4,0_RPGR,0_RPL10L,0_RPL13A,0_RPL31,0_RPL7,0_RPP38,0_RPS10,0_RPS14,0_RPS15A,0_RPS25,0_RPS27A,0_RPS4X,0_RPS6KA2,0_RPS6KB2,0_RPS6KL1,0_RPTOR,0_RRP8,0_RRS1,0_RSL1D1,0_RTKN,0_S100A11,0_S100PBP,0_S1PR2,0_SACM1L,0_SAMD9,0_SAP30,0_SAP30BP,0_SARDH,0_SCARB1,0_SCD,0_SCGB1D2,0_SCIN,0_SCLT1,0_SCML4,0_SCYL3,0_SDCBP,0_SDF2L1,0_SDHA,0_SEC24B,0_SEC63,0_SECISBP2,0_SECISBP2L,0_SEMA3A,0_SEMA4D,0_SEPHS2,0_SERPINA3,0_SERPINA4,0_SERPINH1,0_SESTD1,0_SFPQ,0_SH3BGRL2,0_SH3GL1,0_SH3GLB1,0_SH3PXD2B,0_SH3RF1,0_SHC1,0_SHMT2,0_SHROOM3,0_SIK2,0_SIK3,0_SIPA1L2,0_SKA1,0_SLA,0_SLC13A1,0_SLC16A1,0_SLC1A1,0_SLC20A1,0_SLC25A23,0_SLC26A2,0_SLC29A1,0_SLC29A2,0_SLC30A9,0_SLC36A1,0_SLC39A8,0_SLC3A1,0_SLC41A3,0_SLC44A3,0_SLC47A1,0_SLC6A12,0_SLC7A5,0_SLC9A2,0_SLC9A9,0_SMAGP,0_SMARCA2,0_SMARCD1,0_SMC1A,0_SMC4,0_SMU1,0_SMYD3,0_SNN,0_SNRNP70,0_SNRPB2,0_SNRPC,0_SNRPD3,0_SNRPG,0_SNX14,0_SNX15,0_SNX16,0_SNX29,0_SOCS1,0_SOCS3,0_SOD2,0_SOS2,0_SP3,0_SPAG5,0_SPATA18,0_SPCS2,0_SPRYD3,0_SPTBN1,0_SQLE,0_SRM,0_SRP19,0_SRPX2,0_SSBP1,0_SSR4,0_SSX2IP,0_ST8SIA1,0_STAP2,0_STC1,0_STC2,0_STRADA,0_STRBP,0_STX3,0_STX6,0_STXBP5,0_SUCLG1,0_SUDS3,0_SUOX,0_SV2C,0_SYNGR1,0_SYNGR3,0_SYNJ2BP,0_SYTL1,0_TACC2,0_TAF1,0_TAF7,0_TAF9B,0_TARDBP,0_TBC1D14,0_TBC1D20,0_TBC1D4,0_TBCA,0_TBX2,0_TCEA1,0_TCIRG1,0_TERF2IP,0_TF,0_TFE3,0_TFRC,0_THBS2,0_THRSP,0_TIGD1,0_TM2D1,0_TM9SF4,0_TMBIM1,0_TMCO1,0_TMED9,0_TMEM115,0_TMEM192,0_TMEM8B,0_TMPO,0_TMX4,0_TNFRSF1B,0_TNFSF4,0_TNPO1,0_TNRC6B,0_TOB1,0_TOP1,0_TOPBP1,0_TPD52,0_TPD52L1,0_TPT1,0_TPX2,0_TRABD,0_TRAF6,0_TRAIP,0_TREM1,0_TRIB2,0_TRIM11,0_TRIM27,0_TRIM4,0_TRIO,0_TRIOBP,0_TRMT1,0_TRMT2A,0_TRMT61B,0_TSHZ3,0_TSKU,0_TSPAN1,0_TSTD1,0_TTC17,0_TTC19,0_TTC4,0_TTC7A,0_TTC9C,0_TTLL1,0_TTLL3,0_TUBA1C,0_TUBA8,0_TUBB,0_TUBB6,0_TUFM,0_TXLNA,0_U2AF1,0_U2AF1L4,0_UAP1L1,0_UBA2,0_UBE2D1,0_UBE2D4,0_UBE2G2,0_UBLCP1,0_UBXN8,0_UCP3,0_UFM1,0_UNC5B,0_UPK3B,0_UROC1,0_USP1,0_USP10,0_USP2,0_USP45,0_USP48,0_UXT,0_VAC14,0_VAMP1,0_VAMP8,0_VASP,0_VIM,0_VPS16,0_VPS37B,0_VRK2,0_VTI1B,0_WAS,0_WASL,0_WDR1,0_WDR17,0_WDR48,0_WDR7,0_WLS,0_WWC1,0_XK,0_XPA,0_XPO1,0_YWHAE,0_YWHAZ,0_ZBTB17,0_ZBTB3,0_ZBTB4,0_ZBTB8OS,0_ZCCHC8,0_ZFPM2,0_ZIC1,0_ZNF131,0_ZNF146,0_ZNF304,0_ZNF318,0_ZNF337,0_ZNF37A,0_ZNF511,0_ZNF514,0_ZNF532,0_ZNF610,0_ZNF677,0_ZNF7,0_ZNF707,0_ZNF763,0_ZNF83,0_ZRANB2
0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,15,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,40,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,169,98,0,0,0,0,0,0,159,0,0,0,0,0,0,0,204,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,311,215,38,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,229,80,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,70,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,252,0,0,0,0,238,0,0,0,0,0,0,0,241,0,0,0,0,0,0,44,0,0,0,0,0,0,72,0,157,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,61,0,0,0,0,271,0,0,41,0,88,0,0,0,0,107,0,0,0,0,212,45,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,165,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,80,108,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,80,0,0,0,0,0,0,90,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,276,0,138,0,0,0,138,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,203,0,0,0,0,0,0,0,0,36,0,0,104,143,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,77,0,86,0,0,0,0,0,0,0,0,2,0,0,151,149,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,313,205,0,0,0,0,0,0,20,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,97,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,21,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,351,0,0,0,0,7,0,0,0,0,1,0,0,3,39,2,1,0,0,0,2,0,0,0,0,10,0,0,5,1,0,0,14,3,0,0,0,0,82,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,158,0,2,2,0,0,3,1,1,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,10,20,1,1,0,1,0,0,0,18,0,2,1,8,0,0,2,0,9,282,0,4,1,1,0,0,8,11,377,0,0,0,0,1,1,5,40,0,1,1,0,0,0,0,172,0,174,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,12,124,0,0,17,1,0,0,0,0,0,0,5,0,0,0,374,1,1,2,2,1,0,4,0,0,9,60,0,0,0,1,1,38,0,0,292,1,1,2,0,2,1,0,6,0,5,0,0,1,1,0,0,4,0,0,0,0,3,0,0,0,1,1,2,0,1,2,0,378,0,0,183,0,0,1,9,0,0,2,50,1,0,0,0,0,0,0,3,1,0,0,138,1,0,0,1,0,0,0,0,0,0,0,0,1,288,0,0,0,0,7,0,1,0,0,4,3,0,32,1,8,8,1,0,0,403,20,0,0,21,288,1,0,1,0,0,0,1,230,0,0,1,1,0,0,0,0,5,1,1,0,0,0,0,3,0,0,4,0,4,1,0,0,0,0,0,1,0,0,0,1,1,0,6,0,0,55,0,5,0,1,0,71,0,0,0,0,1,0,0,0,0,5,0,1,1,0,20,4,0,0,0,5,0,3,1,11,0,1,3,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,4,39,0,13,0,2,2,3,0,16,0,0,0,0,3,1,395,0,0,0,0,0,0,11,0,0,134,1,0,1,2,374,2,0,1,0,0,5,0,88,0,1,1,3,0,1,1,2,1,229,420,0,2,0,0,3,0,0,0,0,0,8,0,0,1,0,2,0,7,0,1,0,0,0,1,0,0,0,0,0,0,328,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,1,1,1,2,0,0,1,0,261,0,0,0,133,13,0,0,0,1,0,0,2,1,0,0,4,0,0,273,0,0,0,5,0,0,37,3,13,1,10,0,1,0,256,3,0,0,0,0,0,0,0,5,0,1,2,0,3,0,0,0,1,0,0,287,0,169,107,1,1,0,0,0,0,0,3,0,235,0,1,1,1,0,0,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,0,13,1,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,1,1,0,1,1,1,0,40,0,0,0,0,1,102,0,0,0,0,0,0,16,0,2,0,0,2,3,4,10,0,3,1,5,0,1,0,0,1,1,0,5,0,1,1,0,285,0,0,0,0,1,4,2,1,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,4,3,0,1,0,67,26,0,0,1,1,2,1,0,0,0,0,0,241,0,1,3,1,5,0,0,0,1,14,299,3,0,0,0,0,0,0,21,0,0,4,0,0,1,0,0,0,1,1,0,159,8,0,0,1,0,0,3,0,0,0,0,1,0,0,1,4,0,1,0,0,0,83,0,0,0,103,18,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,4,1,2,0,7,0,99,0,0,0,0,0,0,1,2,1,0,0,3,0,1,0,0,60,0,0,1,431,2,0,0,2,6,0,1,0,2,0,47,0,0,0,0,2,0,0,0,1,0,0,2,0,148,0,0,1,1,0,5,0,1,8,1,0,0,0,0,5,0,0,0,2,0,0,7,0,0,0,1,9,0,0,0,0,1,0,0,5,0,0,3,0,183,0,0,12,0,0,0,1,1,0,0,0,1,0,0,0,0,88,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,5,0,0,0,1,1,0,0,0,2,1,0,0,0
200,0,0,365,1,4,1,0,0,0,0,0,1,0,0,18,0,0,0,0,0,8,0,0,0,2,0,32,2,2,1,0,0,0,3,5,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,16,1,1,0,0,0,2,2,0,0,0,0,0,4,0,1,0,0,2,14,0,0,0,0,4,0,1,1,0,0,3,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,1,0,0,0,0,375,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,210,0,122,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,51,0,1,2,0,0,0,4,0,1,4,0,0,0,0,366,0,0,0,1,0,0,0,0,0,0,56,0,0,1,0,0,0,0,0,310,0,0,0,1,1,0,0,111,0,0,0,0,0,0,0,0,4,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,367,0,0,196,0,0,0,0,1,0,0,0,0,1,1,4,0,0,0,50,0,0,1,133,1,1,3,0,0,1,0,0,1,0,0,0,0,332,1,2,2,0,0,1,4,0,1,0,8,3,308,0,12,0,0,1,2,415,0,0,6,102,311,0,1,0,0,1,2,0,180,0,0,0,0,0,1,0,1,2,0,1,1,1,0,3,0,0,0,0,1,0,0,4,0,3,0,1,0,0,1,0,0,24,0,0,0,0,22,0,0,0,0,0,20,0,3,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,430,0,0,0,2,0,1,0,7,35,106,0,0,0,0,330,0,1,0,4,0,1,0,43,3,0,0,1,0,0,0,0,0,262,428,1,0,2,4,0,1,0,0,0,1,1,43,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,357,1,0,0,0,1,2,0,0,2,1,0,0,1,1,0,11,0,0,2,0,1,1,0,0,0,0,0,310,0,2,0,141,4,0,5,4,0,1,1,0,0,1,0,0,7,0,309,0,2,1,0,1,1,0,0,2,0,0,0,1,0,298,0,4,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,352,1,145,227,0,0,0,0,1,1,0,0,3,269,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,3,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,12,0,1,0,0,0,151,0,0,0,4,1,6,0,0,0,0,0,0,1,9,39,2,0,0,0,1,0,2,0,0,2,0,0,1,0,3,0,311,13,0,0,2,0,0,17,0,0,6,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,4,0,3,64,37,0,0,0,3,26,18,1,2,0,0,11,0,0,0,0,0,0,297,16,0,0,0,4,0,0,0,1,0,329,0,0,1,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,145,185,0,2,0,2,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,10,0,0,0,0,7,1,5,0,1,0,0,1,0,0,0,1,0,31,3,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,437,0,0,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,150,0,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,6,0,0,2,0,0,8,0,4,3,0,1,0,0,0,96,0,0,0,0,1,1,0,0,0,5,5,2,33,8,2,0,178,1,0,0,1,0,0,5,0,4,8,0,0,0,0,0,0,0,6,2,0,2,17,0,1,0,0,0,0,0,0,0,32,22,0,1
