1_hsa.miR.130b.3p,1_hsa.miR.20a.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.3200.3p,1_hsa.miR.3605.3p,1_hsa.miR.590.5p,1_hsa.miR.7706,1_hsa.miR.940,2_AG2.387763,2_ALAD.210,2_AP2B1.163,2_ASB2.51676,2_B3GALT4.8705,2_BAT3.7917,2_BECN1.8678,2_C19orf66.55337,2_C20orf160.140706,2_C6orf129.154467,2_C9orf140.89958,2_CCDC99.54908,2_CCNDBP1.23582,2_CD59.966,2_CDK5R1.8851,2_CHD4.1108,2_CLEC10A.10462,2_DHRS12.79758,2_DNAJC24.120526,2_DNASE1L3.1776,2_DOCK7.85440,2_DUSP3.1845,2_E2F3.1871,2_EIF4G3.8672,2_FZD2.2535,2_GJA4.2701,2_GMEB1.10691,2_HMGB3.3149,2_HMGCR.3156,2_HMGN2.3151,2_HMGXB3.22993,2_HNRNPA2B1.3181,2_HNRNPH1.3187,2_HNRNPR.10236,2_HOXC6.3223,2_KCND3.3752,2_KCNK7.10089,2_KIAA1524.57650,2_LGI4.163175,2_LIMS2.55679,2_LIN7C.55327,2_LMNB2.84823,2_LOC100240734.100240734,2_LOC286467.286467,2_LOC400804.400804,2_LRFN5.145581,2_LRGUK.136332,2_LRRC1.55227,2_LYL1.4066,2_LZIC.84328,2_MARCKSL1.65108,2_METTL9.51108,2_MEX3A.92312,2_MFAP2.4237,2_MMP10.4319,2_MOB2.81532,2_MSH2.4436,2_MURC.347273,2_MYBL2.4605,2_NKX3.2.579,2_NUDT7.283927,2_P2RY13.53829,2_PDE2A.5138,2_PEX11G.92960,2_PHF13.148479,2_PIK3C2B.5287,2_PLA2G16.11145,2_PLCG1.5335,2_PPAP2A.8611,2_PPP2R5D.5528,2_PRKCDBP.112464,2_PTBP1.5725,2_RAMP3.10268,2_RASGRP2.10235,2_RBMX.27316,2_RCC2.55920,2_SDR42E1.93517,2_SELM.140606,2_SERBP1.26135,2_SFPQ.6421,2_SFRS13A.10772,2_SOX11.6664,2_SQLE.6713,2_TARDBP.23435,2_TRIM61.391712,2_XPO5.57510,2_ZBTB47.92999,2_ZNF146.7705
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
