1_hsa.miR.3648,2_AARS2.57505,2_ADCY2.108,2_ALAD.210,2_ALDH1A1.216,2_ATP2A3.489,2_AURKB.9212,2_B3GALT4.8705,2_BCL2L14.79370,2_BPHL.670,2_BTG2.7832,2_C14orf145.145508,2_C1orf95.375057,2_C22orf26.55267,2_C22orf46.79640,2_C5orf4.10826,2_CAMK2G.818,2_CCDC69.26112,2_CCNDBP1.23582,2_CCR7.1236,2_CD1C.911,2_CDCA4.55038,2_CFP.5199,2_CHD4.1108,2_CIDEB.27141,2_CREG2.200407,2_CX3CR1.1524,2_DHRS12.79758,2_DNASE1L3.1776,2_DOCK7.85440,2_DUSP22.56940,2_EIF2C2.27161,2_FBXW5.54461,2_FCRLA.84824,2_FLJ42875.440556,2_FMO4.2329,2_GALNT12.79695,2_GGPS1.9453,2_GLIS2.84662,2_GNL3.26354,2_HDAC2.3066,2_HES5.388585,2_HIST1H3I.8354,2_HNMT.3176,2_HNRNPA3P1.10151,2_IDO2.169355,2_ITGA7.3679,2_ITM2B.9445,2_KDM1A.23028,2_KIAA1524.57650,2_KRCC1.51315,2_LIMS2.55679,2_LOC100101266.100101266,2_LOC728743.728743,2_LRRC1.55227,2_MAGEA6.4105,2_MAP3K8.1326,2_MRO.83876,2_MSH2.4436,2_NMUR1.10316,2_P2RX1.5023,2_PEX11G.92960,2_PFKFB4.5210,2_PHF6.84295,2_PLCG1.5335,2_PRIM2.5558,2_PRKCDBP.112464,2_PRSS27.83886,2_PTBP1.5725,2_RAI2.10742,2_RCC1.1104,2_RGMA.56963,2_RIPPLY2.134701,2_RNF8.9025,2_RPL7L1.285855,2_SDR42E1.93517,2_SERBP1.26135,2_SFRS1.6426,2_SH3BGR.6450,2_SIGLECP3.284367,2_SLC39A2.29986,2_SLC48A1.55652,2_SLC5A6.8884,2_SMOC2.64094,2_SYNCRIP.10492,2_TBPL1.9519,2_TMEM129.92305,2_TMEM176A.55365,2_TMEM176B.28959,2_TMEM48.55706,2_TPSD1.23430,2_TRADD.8717,2_TUBB.203068,2_UBE2O.63893,2_USP24.23358,2_WDR43.23160,2_WISP1.8840,2_YWHAQ.10971,2_ZNF688.146542
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
