1_hsa.miR.148b.5p,1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3605.3p,1_hsa.miR.3648,2_ADIPOR1.51094,2_AKNA.80709,2_AP3S2.10239,2_ARL8A.127829,2_B3GALT4.8705,2_BCL2L14.79370,2_BNIP3.664,2_C12orf23.90488,2_C17orf44.284029,2_C1S.716,2_C22orf26.55267,2_C5orf20.140947,2_C8G.733,2_CCDC138.165055,2_CCDC41.51134,2_CCDC69.26112,2_CCNDBP1.23582,2_CD40LG.959,2_CDC25B.994,2_CMA1.1215,2_CPSF6.11052,2_CREBL2.1389,2_CTAGE9.643854,2_DHH.50846,2_DHRS12.79758,2_DHRS7B.25979,2_DNASE1L3.1776,2_ETV7.51513,2_FAM120AOS.158293,2_FLJ36777.730971,2_FUBP1.8880,2_GALNT12.79695,2_GGPS1.9453,2_GIMAP2.26157,2_GLIS1.148979,2_GPR114.221188,2_GPR18.2841,2_HDAC2.3066,2_HMGXB3.22993,2_HNMT.3176,2_HNRNPR.10236,2_ITGB7.3695,2_KIAA0125.9834,2_LAPTM4B.55353,2_LOC100130581.100130581,2_LOC728743.728743,2_LRRC17.10234,2_MAP3K8.1326,2_MAP4K1.11184,2_MARCH2.51257,2_MCOLN1.57192,2_MOB2.81532,2_MORC4.79710,2_MRO.83876,2_MSH2.4436,2_NAALADL1.10004,2_NASP.4678,2_NUDT13.25961,2_NUDT7.283927,2_OR2A7.401427,2_ORC1L.4998,2_OSTalpha.200931,2_PEX11G.92960,2_PFKFB2.5208,2_PGRMC1.10857,2_PIK3C2B.5287,2_PPP2R5D.5528,2_PRPF38A.84950,2_PRPS1L1.221823,2_PUS7.54517,2_RAB7L1.8934,2_RAD54L.8438,2_RARRES3.5920,2_RASGRP2.10235,2_RBM34.23029,2_RBMX.27316,2_RELB.5971,2_RELL1.768211,2_RLF.6018,2_RPL7L1.285855,2_SERPING1.710,2_SH2D1A.4068,2_SIPA1.6494,2_SLC25A28.81894,2_SRPK1.6732,2_SYNCRIP.10492,2_TADA2B.93624,2_TIFAB.497189,2_TLR1.7096,2_TPSD1.23430,2_TRADD.8717,2_VPS18.57617,2_YWHAQ.10971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
