1_ADI1.55256,1_ALDH1A1.216,1_ALS2CL.259173,1_ARMCX5.64860,1_BCL2L14.79370,1_C10orf128.170371,1_C17orf44.284029,1_C22orf26.55267,1_C6orf129.154467,1_CA9.768,1_CCDC69.26112,1_CLEC14A.161198,1_CMAH.8418,1_COL15A1.1306,1_DHH.50846,1_DLX1.1745,1_DOCK7.85440,1_EIF2C2.27161,1_FAM167B.84734,1_FASN.2194,1_GALNT12.79695,1_GIMAP5.55340,1_GPR18.2841,1_HDAC2.3066,1_JUB.84962,1_LIG3.3980,1_LTF.4057,1_MSH6.2956,1_NKAP.79576,1_NKRF.55922,1_NUDCD1.84955,1_PLCG1.5335,1_PPP1R11.6992,1_PSMD10.5716,1_RAD21.5885,1_RAMP3.10268,1_RIPK3.11035,1_SEMA3G.56920,1_SERPING1.710,1_SLC16A1.6566,1_SLC25A28.81894,1_SMARCC1.6599,1_SQLE.6713,1_TARDBP.23435,1_THOC2.57187,1_TNFSF12.8742,1_XPO1.7514,1_ZNF643.65243
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
