0_age_at_initial_pathologic_diagnosis,1_AP1G1.164,1_ATP11C.286410,1_B3GAT1.27087,1_BCL6B.255877,1_BOD1.91272,1_C17orf49.124944,1_C17orf77.146723,1_C6orf122.401288,1_CCDC76.54482,1_CDC20B.166979,1_COL29A1.256076,1_DAZAP1.26528,1_DCP2.167227,1_DDX60.55601,1_EFHB.151651,1_ELK1.2002,1_EVX2.344191,1_FABP7.2173,1_FADS3.3995,1_FAIM2.23017,1_FLJ36000.284124,1_FRMD8.83786,1_GNAI3.2773,1_GPR139.124274,1_HGSNAT.138050,1_HILS1.373861,1_HIST1H1T.3010,1_IQGAP2.10788,1_KLF16.83855,1_LAMB2.3913,1_LOC650368.650368,1_LYRM4.57128,1_METAP2.10988,1_MLLT3.4300,1_MTA3.57504,1_NR2E1.7101,1_OTUB1.55611,1_PACSIN2.11252,1_PLCXD3.345557,1_POU6F1.5463,1_PPP5C.5536,1_PPP6C.5537,1_PTGFRN.5738,1_RPS27A.6233,1_SCFD1.23256,1_SIAH2.6478,1_SLBP.7884,1_SLC2A6.11182,1_SPHKAP.80309,1_SULF2.55959,1_TDH.157739,1_TMED5.50999,1_WEE1.7465,1_ZNF311.282890,1_ZNF32.7580,1_ZNF534.147658,1_ZNF546.339327,1_ZNF630.57232
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
