0_ACLY,0_ADAMTSL2,0_AKR1C3,0_ANP32A,0_ANXA3,0_ATP6V1A,0_CAND2,0_CDKN1A,0_CECR2,0_CLTCL1,0_CTSC,0_EFHC1,0_ERAL1,0_ERLIN2,0_FZD7,0_GABARAPL1,0_GJA4,0_GNL3L,0_GOLM1,0_GSTA4,0_HNRNPD,0_HUNK,0_JARID2,0_KIF13B,0_LGI4,0_LIPT2,0_NEURL1B,0_NLGN1,0_NOL3,0_NR3C1,0_ODC1,0_OGFOD2,0_OTP,0_PDIA3,0_PJA1,0_PPARA,0_PPIB,0_PPP4R2,0_PRTFDC1,0_PTPRJ,0_PXMP4,0_RBM15,0_REN,0_SERTAD2,0_SLC15A4,0_SLC25A11,0_SNAI2,0_SPRY1,0_SQSTM1,0_TPP1,0_TRIOBP,0_TRMT61B,0_TSSC4,0_TUBGCP5,0_UBE2D2,0_YAF2,0_ZFPM2,0_ZKSCAN4
0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1
0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1
0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1
0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1
0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1
