0_race_WHITE,1_ADCY2.108,1_AIG1.51390,1_ANKRD33.341405,1_APOA1BP.128240,1_ARHGEF35.445328,1_ARMCX5.64860,1_C11orf17.56672,1_C18orf19.125228,1_C5orf45.51149,1_C9orf140.89958,1_CCL23.6368,1_CCPG1.9236,1_CNNM1.26507,1_CTSW.1521,1_DHRS12.79758,1_EML4.27436,1_HMGXB3.22993,1_HTR1A.3350,1_INMT.11185,1_KIAA0146.23514,1_KLHL12.59349,1_LRFN5.145581,1_MARCH10.162333,1_MCHR2.84539,1_MEIS3P1.4213,1_MMP27.64066,1_MPEG1.219972,1_MRPS18C.51023,1_NKAP.79576,1_NUDT13.25961,1_PC.5091,1_PFKFB2.5208,1_PHF6.84295,1_PLA2G2D.26279,1_PLCG1.5335,1_RAD18.56852,1_RGL3.57139,1_RTP4.64108,1_S100A9.6280,1_SFTA2.389376,1_SHISA4.149345,1_SIP1.8487,1_SKP2.6502,1_THOC2.57187,1_TMEM63B.55362,1_TMEM79.84283,1_TNIP2.79155,1_TPK1.27010,1_VAMP8.8673,1_ZNF679.168417,1_ZNF703.80139,1_ZNF883.169834
0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1
0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
